Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Down-regulated by MHV-A59 in murine spleen 5d from GSE146074	60/500	1.08016733786938e-08	2.03211139692328e-06	0	0	2.42045454545455	44.399764733067	CYFIP2;TRIR;CIITA;CLIC4;BTG1;DGKD;CD81;DOCK8;RRP1;GDI2;GIMAP1;IKZF1;GIMAP8;FAM107B;ELK4;AKAP13;ADGRE5;SNRNP70;TBC1D10C;CCNL2;DDX17;SUN2;TPM4;GPX4;SWAP70;ACTN1;ARAP1;LAX1;APBB1IP;DDX39B;CD47;PABPC1;LTB;UTRN;BLK;UBA7;SRSF1;MYCBP2;UBR4;CXCR4;OAZ1;INPP5D;RPL17;EIF4B;LYN;VASP;IVNS1ABP;PTPN1;EDEM1;IL10RA;ARPC5;SORL1;HNRNPL;SON;WNK1;CCDC88C;SMAP2;NOP53;EIF4G2;ITM2C
Down-regulated by MHV-A59 in murine spleen 3d from GSE146074	59/500	2.64050454730334e-08	2.03211139692328e-06	0	0	2.37230684781117	41.3960682539047	TRIR;DENND1C;CIITA;BTG1;DGKD;CD81;DOCK8;GIMAP1;IKZF1;GIMAP8;FAM107B;ELK4;AKAP13;ADGRE5;SNRNP70;TBC1D10C;PIP4K2A;CCNL2;RPS10;YWHAH;DDX17;SUN2;GPX1;GPX4;FNBP1;SWAP70;ACTN1;SAFB;TLE5;APBB1IP;DDX39B;SLTM;EHBP1L1;PABPC1;LTB;UTRN;BLK;SELPLG;ODC1;SRSF1;CXCR4;OAZ1;HNRNPDL;INPP5D;RPL17;EIF4B;IVNS1ABP;CD72;EDEM1;ARPC5;SORL1;CDK11B;HNRNPL;RPS26;SON;CCDC88C;SMAP2;NOP53;ITM2C
COVID-19 patients BALF down	44/325	3.12632522603581e-08	2.03211139692328e-06	0	0	2.76082443653618	47.7093169816056	DAZAP1;CD81;SLC38A10;DDX41;TM9SF3;HK1;RIC8A;TGOLN2;ADGRE5;SNRNP70;MICAL1;ALOX5;LMAN2;KHSRP;TBC1D10C;PIEZO1;NLRP1;ACAA1;RELT;VASP;TOR3A;KHNYN;HLA-B;TMC8;TYK2;ARAP1;MIF4GD;LEMD2;UNC13D;IFFO1;SUMF2;HLA-E;PDIA4;TLE5;SLC6A6;ACER3;EHBP1L1;ITGA5;GART;FBP1;PPP1R12C;PNPLA2;SRSF9;EIF3B
Down-regulated genes from COVID-19 infected bronchoalveolar lavage from patients	44/384	3.39287612732934e-06	0.000159932106873638	0	0	2.27450980392157	28.6447956747298	CLIC4;BTG1;CAB39;BCL2A1;CLEC12A;CD81;ADPGK;COPB1;AMD1;CIB1;AATF;AGPAT2;CNDP2;CLN3;ALCAM;ABHD16A;ADGRE5;ALOX5;ARL6IP5;BNIP2;ACAA1;CD33;CCT5;CCT4;CD53;CMTM7;CCZ1B;CMTM3;C1ORF43;ARPC5;ARAP1;CCT6A;APBB1IP;APEX1;ACKR3;CHMP4A;ADSS2;CALM1;ATP6V0C;ABCG1;ARL8A;AVPI1;ARL8B;COPS9
SARS perturbation Down Genes PBMCs GDS1028:GPL201	30/220	4.10082325317022e-06	0.000159932106873638	0	0	2.76094441711756	34.2476458130279	KHDRBS1;IFITM1;IFITM2;BTG1;CD81;GDI2;TCF7;RNF6;IKZF1;CST7;GABARAP;TBX21;RPL17;EIF4B;CAP1;CD53;CAST;TIA1;IL10RA;HLA-A;FOS;ARL4C;RBL2;SON;LPAR6;EEF1D;OAS2;ATM;LTB;EIF4G2
Up-regulated by MHV-A59 in murine spleen 3d from GSE146074	52/500	7.87229370181693e-06	0.00025584954530905	0	0	2.04365458015267	24.0173578366934	CYFIP2;IFITM3;CLIC4;HSP90AB1;RPLP0;GDI2;ADAR;SMCHD1;RPS18;FTH1;CAP1;CD53;ZBP1;TPM4;DDX58;ARAP1;LAX1;MPEG1;PDIA4;OAS2;IRF1;OAS3;RPL26;CD47;FKBP4;PPP1R12C;UBA7;MYCBP2;ITPR1;UBR4;CST3;TNFRSF14;GBP2;CCT5;CCT4;LYN;VASP;PTPN1;USP25;IL10RA;RPL23A;PARP14;HNRNPAB;PSMB8;CCT6A;WNK1;P4HB;VIM;CALM1;EIF4G2;ITM2B;EIF3B
SARS-CoV perturbation Up Genes bronchial epithelial 2B4 from GSE17400:GPL570:6	43/402	2.41684125383237e-05	0.000648109135894999	0	0	2.10102961290034	22.3349197561904	IFITM3;IFITM1;PXK;IFITM2;CAB39;UBA7;BCL2A1;ADAR;TAPBPL;TMEM140;ETS2;SMCHD1;ARL5B;SLC25A28;AZI2;GBP2;MARK2;CDK17;ZBP1;TIA1;RABGAP1L;BTN3A1;MLKL;DDX58;LYSMD2;HLA-B;BAZ1A;KLF4;HLA-F;PARP14;PSMB8;HLA-E;ETV7;OAS1;OAS2;IRF1;OAS3;SIDT1;TRIM14;CD47;HLA-DRB1;MYD88;IL18R1
Up-regulated by MERS-CoV in Calu-3 6hr from GSE139516	50/500	3.32363659433333e-05	0.000648109135894999	0	0	1.95238095238095	20.1326906091732	AMD1;ZMIZ1;DDI2;PHACTR2;TLK1;EPC1;EP300;CCNL2;ABCC4;BRD1;TLE1;MIOS;DST;ATMIN;SENP2;RUNX1;ETV6;ARL4C;DDX39B;SLTM;GFOD1;RFX7;ZNF639;NUP50;SPECC1L;ANKRD40;NCBP3;CCDC82;TRAK1;CDKN2AIP;SCAF8;AFG3L1P;HNRNPDL;DHX33;TDG;FEM1C;MAP4K5;PCNT;FEM1B;PLK2;TRAPPC10;MYO5A;TRAPPC8;MED13L;SNX18;GCLC;APC;MFAP3;CDK13;LGR4
Up-regulated by MERS-CoV in Calu-3 from GSE122876	50/500	3.32363659433333e-05	0.000648109135894999	0	0	1.95238095238095	20.1326906091732	NRP1;MIDN;SRXN1;AMD1;ETS2;HERPUD1;ARL5B;SART3;PIP4K2A;EPC1;EP300;MB21D2;RNF111;PELP1;PARP6;BRD1;DDX58;PRKAB1;RUNX1;ARL4C;RFX7;IRF1;ANKRD40;TNKS;KMT2C;ODC1;UBR4;CDKN2AIP;STRN4;SCAF8;FXR2;DHX34;TDG;TRIM47;ZNF227;MAP4K5;E2F6;PTPN1;ZNF184;PLK2;AP3D1;ELP3;RRP1B;KLF4;QKI;TNFRSF10D;MED13L;SON;RBAK;TAF3
Up-regulated by SARS-CoV-2 in A549-ACE2 treated with Trifluoperazine from GSE154613	50/500	3.32363659433333e-05	0.000648109135894999	0	0	1.95238095238095	20.1326906091732	DAZAP1;MIDN;IFITM2;PTPN23;ZMIZ1;SNRNP70;FTH1;PIEZO1;DLGAP4;PELP1;MAP2K2;IGFBP4;TPM2;MINK1;SSU72;ARAP1;GTF2F1;SAFB;ATAD3A;PDIA4;NCOR2;CDC34;EHBP1L1;PHLDB3;PPP1R12C;ATP6V0C;ARL8A;RABL6;LRPAP1;DNMT1;PRCC;FBF1;SLC38A10;AGAP3;OAZ1;BAG6;ERICH1;MICAL1;DVL1;MICALL2;UBE2I;SMOX;WDR18;LIMK1;SUPT5H;NR2F6;SLC6A6;LSM6;TRIP10;SSBP4
