Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
acute myeloid leukemia	6/20	0.000543081173636111	0.0445326562381611	0	0	7.39853747714808	55.6240673953845	MLLT10;CHIC2;ETV6;RUNX1;PICALM;SH3GL1
hermansky-pudlak syndrome	4/10	0.00146266484987275	0.0599692588447829	0	0	11.492700729927	75.0185496236539	BLOC1S3;AP3D1;DTNBP1;HPS5
neoplasm of stomach	3/8	0.00754134269347911	0.206130033621762	0	0	10.334548769371	50.5086089806034	APC;CASP10;IRF1
non-hodgkin lymphoma	2/5	0.027039444032211	0.316747772948757	0	0	11.4735883424408	41.4249155771303	CASP10;BCL10
chronic granulomatous disease	2/5	0.027039444032211	0.316747772948757	0	0	11.4735883424408	41.4249155771303	NCF2;NCF4
familial adenomatous polyposis 1	2/5	0.027039444032211	0.316747772948757	0	0	11.4735883424408	41.4249155771303	APC;MSH2
malignant tumor of esophagus	2/5	0.027039444032211	0.316747772948757	0	0	11.4735883424408	41.4249155771303	WWOX;RNF6
peroxisome biogenesis disorders, zellweger syndrome spectrum	3/14	0.0383114707728895	0.392692575422118	0	0	4.69603049639513	15.3184793250555	PEX16;PEX3;PEX6
hereditary hemochromatosis	2/7	0.0527687944139587	0.398404199252144	0	0	6.88342440801457	20.2499007560846	TFR2;FTH1
peroxisome biogenesis disorders	3/16	0.0543491014253808	0.398404199252144	0	0	3.9731435383213	11.5710939908463	PEX16;PEX3;PEX6
neoplasm of the breast	4/27	0.0583030535490942	0.398404199252144	0	0	2.99539828625833	8.51322389718097	RAD51C;XRCC3;ATM;BRCA1
familial cancer of breast	4/27	0.0583030535490942	0.398404199252144	0	0	2.99539828625833	8.51322389718097	RAD51C;XRCC3;ATM;BRCA1
dyskeratosis congenita	2/8	0.0678446334222823	0.405793349168143	0	0	5.73588342440801	15.4325950551638	NHP2;WRAP53
disorder of organic acid metabolism	3/18	0.0730643268667773	0.405793349168143	0	0	3.44302643573382	9.00838613544768	MCCC2;MMAB;IVD
diamond-blackfan anemia	3/19	0.0833553384536852	0.405793349168143	0	0	3.22766636280766	8.01959741850684	RPS26;RPL26;RPS10
xeroderma pigmentosum	2/9	0.0841278894616881	0.405793349168143	0	0	4.91621129326047	12.1696737206609	POLH;DDB2
hepatocellular carcinoma	2/9	0.0841278894616881	0.405793349168143	0	0	4.91621129326047	12.1696737206609	APC;AXIN1
parkinson disease	3/22	0.117564249616006	0.516254541033177	0	0	2.71760303219306	5.8177638302426	NR4A2;PINK1;FBXO7
systemic lupus erythematosus	2/11	0.119619954629638	0.516254541033177	0	0	3.82331511839709	8.11856345785995	CTLA4;DNASE1
fanconi anemia	2/14	0.177952252413854	0.585343617815047	0	0	2.86703096539162	4.94918356104947	RAD51C;FANCA
