Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
RCOR1 CH12.LX mm9	183/2000	1.64365282551118e-12	4.47073568539042e-10	0	0	1.87625113357488	50.9103859178543	SCARB2;DCLRE1C;PANK3;CIB1;SPINT2;APEH;GBA2;ETS2;CDC14A;SMCHD1;CNST;IPO9;RPS18;TRAPPC12;SNIP1;MLYCD;RPS10;SH3GL1;MAP2K3;KHNYN;PRKCE;CMC1;METTL3;GTF3A;IMP4;PRKAB1;KNSTRN;LEMD2;MIF4GD;RUNX2;MPEG1;OXA1L;DDX39B;MAPKAPK3;ORAI3;RPP21;NHP2;YME1L1;ANKRD40;FKBP4;DUS3L;ABCG1;RNASEH2B;POM121;MYCBP2;MTMR9;BCL10;AAAS;BAG6;PTDSS1;BCL2L11;NTHL1;PMVK;DVL2;DVL3;AMZ2;CEP76;VASP;PRELID1;UBE2I;SLC37A1;PLK2;SETDB2;FANCA;MYO5A;CNOT10;TBCB;HPS5;GPN2;PARP14;PHC3;ARHGAP25;SMARCA4;FAM220A;GGCT;TBCK;POLA2;GCLC;IRAK1BP1;UBXN11;ACER3;CDC16;JMY;REL;SPRTN;UNC119;PLEKHM2;MPHOSPH10;PSMG1;CLPTM1L;AVL9;CALM1;GPR18;MYD88;EIF4G2;ARHGAP11A;DENND1C;HSP90AB1;PHF1;FAF1;ZFAND2A;DOCK8;RPLP0;NAGPA;ARL5B;ING2;ABHD16A;SMPD1;MFSD1;RAC1;DLAT;SPG11;PELP1;LRRC47;CD53;TGIF1;DFFB;ABCC4;RBM14;GPX1;ITGA3;DDX58;DCAKD;HAUS4;TFEB;FOS;ARAP1;SAFB;MED29;ARL4C;APBB1IP;RPUSD4;RBL2;PLSCR1;RAD51C;SLTM;GFOD1;PEX3;IRF1;PEX6;CTDSP2;CD47;LTB;GART;ATP6V0C;RNF166;GTF3C5;SFSWAP;USP12;RNF6;TSPAN32;SRM;TM9SF3;RXRB;CST3;NT5C;CLN3;SCAF8;CHRAC1;SERTAD1;LMAN2;RAB24;FYN;MAP4K5;RELT;METTL9;CMTM3;SPAG4;DONSON;LYSMD2;ELP2;TTC39C;TMCO1;POLE4;RAB10;MFAP3;TTC3;STUB1;ESYT2;LAMTOR1;TAF3;LGR4;FRA10AC1
RELA GM19193 hg19	183/2000	1.64365282551118e-12	4.47073568539042e-10	0	0	1.87625113357488	50.9103859178543	SCARB2;PANK3;NCF2;CEP19;NCF4;DCAF8;APEH;IFI30;WDR89;CDC14A;ZDHHC4;TIAL1;HERC4;SMCHD1;CNST;FTH1;ARL6IP5;LONP1;EPC1;ZNF569;ARFIP1;CHAC2;ACAA1;IER5;PSPH;MAP3K5;TMPO;PLEKHJ1;ZBP1;MCCC2;TOR3A;PRKAB2;HLA-H;C17ORF49;ANGEL2;CMC1;RFX3;ACOT13;IMP4;MOGS;PRKAB1;MIF4GD;SCAMP3;HLA-E;RUNX1;PDIA4;THAP6;DDX39B;EHBP1L1;PPIF;CHMP4A;UBA52;INO80B;IDI1;DNMT1;INO80D;TXNDC9;ANKRD16;ITPR1;UBR4;MTMR9;ITPR2;UBR2;TAPBPL;BCL10;AAAS;MBTD1;SNX3;CHST11;MICAL1;INPP5D;BLOC1S3;VTI1A;TNFRSF17;ZNF668;AMZ2;TNFRSF14;LTA4H;KCNN4;IVNS1ABP;CDK17;UVRAG;CDK19;RABGAP1L;GADD45B;MLKL;MTHFS;TRAPPC8;QKI;SMARCA4;EHD1;CCT6A;NR4A2;MLLT10;ARHGAP31;UBXN11;NDUFAF4;HNRNPD;REL;MPHOSPH10;ATM;CALM1;CDK13;RGL2;MYD88;CEP57;C2ORF42;CIITA;CLIC4;HSP90AB1;BTG1;PHF1;GBE1;RPLP0;GDI2;PTPN23;MRPL34;CDC73;HERPUD1;LMNB1;LMBR1;ARL5B;SNRNP70;PPP2R5E;SMPD1;RFK;FLVCR2;PDE4A;PGLS;SPG11;POLH;UPF2;CAP1;MIOS;MMD;IFNGR2;C1ORF43;TIMM21;TRAF1;TYK2;SIRT3;ETV6;APBB1IP;NCOR2;PLSCR1;RILPL2;SLTM;AEBP2;PEX3;IRF1;PEX6;OAS3;PIGG;PPP1R12C;AGPAT5;SELPLG;UHRF2;CAB39;PRCC;USP12;RNF6;RCHY1;SCAF8;PDE6D;STX4;METTL9;EIF4B;PTPN1;WWOX;FEM1B;DTNBP1;PTPN11;PSMB8;BYSL;WDR11;ASXL1;FMNL3;TMEM59;ESYT2;P4HB;RTN4IP1;VIM;TRMT61B
RELA GM18505 hg19	183/2000	1.64365282551118e-12	4.47073568539042e-10	0	0	1.87625113357488	50.9103859178543	SLC35B3;DCLRE1C;PANK3;TMEM41B;MAML2;NCF2;PDCD7;UXS1;UBE2D3;DCAF8;CISD2;IFI30;WDR89;CDC14A;DCAF6;TIAL1;HERC4;SMCHD1;ARL6IP5;LONP1;EPC1;ZNF569;DIP2A;CHAC2;ACAA1;RPS10;MAP3K5;TMPO;SH3GL1;MYLIP;TOR3A;ZNF561;KHNYN;STARD7;IGFBP4;C17ORF49;PIH1D1;USP3;GTF3A;RFX3;ACOT13;IMP4;FBXO11;LAX1;SCAMP3;THAP2;HLA-E;RUNX1;DDX39B;YME1L1;BLK;INO80B;METTL2B;TXNDC9;SEH1L;ITPR2;UBR2;TAPBPL;BCL10;OAZ1;SNX3;DHX34;MICAL1;INPP5D;TNFRSF17;ZNF668;TNFRSF14;NUP88;LYN;IVNS1ABP;NAA50;VASP;CDK19;RABGAP1L;GADD45B;SLC35E1;EDEM1;NEK7;SETDB2;IRF2BP2;IFT122;TRAPPC8;HPS5;PARP15;ARHGAP25;QKI;EHD1;TBCK;POLA2;ARHGAP31;SON;NDUFAF4;CNOT3;CCDC88C;HNRNPD;REL;MPHOSPH10;PSMG1;ATM;CDK13;RGL2;MYD88;GALK2;WRAP53;CEP57;KDM5A;CIITA;HSP90AB1;BTG1;MAST3;AMD1;GDI2;SRP54;DDX41;HERPUD1;LMNB1;ARL5B;CHAF1A;SMPD1;ME2;PGLS;SPG11;POLH;UPF2;CAP1;CD53;ABCC4;PLEKHG2;TTC32;GPX4;DCAKD;TMC8;C1ORF43;BAZ1A;TIMM21;TYK2;RABGGTB;SAFB;MED29;ETV6;APBB1IP;IRF3;PEX3;OAS2;TRAPPC6B;IRF1;GART;AGPAT5;SELPLG;GTF3C5;BCL2A1;SRSF1;CXCR4;RNF6;SCAF8;SERTAD1;TDG;RSBN1L;PSMB1;PDSS2;PCNT;RPL17;CYB5A;ZNF184;TRAPPC10;RFTN1;ELP2;GTF2H1;MCOLN2;SORL1;GATAD2B;PSMB8;BYSL;WDR11;RAB10;TMEM59;CAPN10;TTC3;TRIP10;TSR1;CENPN;PDE7A;EIF3B
UBTF MEL cell line mm9	182/2000	3.10311572947068e-12	6.33035608812019e-10	0	0	1.86283138117733	49.362450527541	SCARB2;PI4K2B;ANKRD37;DGKD;PANK3;PDCD7;CD81;WIPF1;UBE2D3;PREP;PPP2R2A;CIB1;ZDHHC2;ETS2;DCAF6;CNDP2;TIAL1;HERC4;SMCHD1;RASSF2;ZMIZ1;PIEZO1;EP300;MLYCD;MAP3K5;TMPO;MAP2K3;TLE4;TLE1;KHNYN;FNBP1;ACTN1;PRKCE;USP3;FBXO11;LEMD2;DEXI;WDR77;RFX7;STIM2;ANKRD40;TNIK;FKBP4;PHLDB3;SLC27A4;KHDRBS1;LRPAP1;POM121;PXK;INO80D;SLC35D1;ITPR1;ITPR2;AGAP3;BCL10;MBTD1;BCL2L11;CHST11;MAN2A1;VTI1A;DVL3;AP4S1;SNX9;CEP76;SLC15A4;MARK2;CDK17;VASP;UBE2I;EDEM1;XRCC3;EXOC6B;IRF2BP2;TRAPPC8;PHC3;NR2F6;MED13L;EHD1;GCLC;SON;STK24;WNK1;GKAP1;CCDC88C;HNRNPD;PLEKHM2;CDK13;RAB5A;EIF4G2;ITM2B;CDS2;ITM2C;CEP57;PHF2;CLIC4;BTG1;RNPEPL1;FAF1;GBE1;DOCK8;INTS10;CDC73;PITPNC1;LMNB1;EEA1;LFNG;AUH;SMPD1;DDI2;GATAD1;PGLS;RAC1;PGM1;CCDC50;HTATIP2;ABCC4;BRD1;CNOT6L;ATMIN;GPX4;DCAKD;GLRX5;TBC1D8;TFEB;AXIN1;IQCE;CBFA2T2;SENP2;ZDHHC17;MED29;NCOR2;KAT2B;SLTM;GFOD1;AEBP2;OAS2;IRF1;NUP50;PEX6;ITGA5;GART;SOS2;RNF166;AGPAT5;GTF2A2;CAB39;ZDHHC20;PRCC;USP12;RNF6;FAM214A;SRM;TM9SF3;SCAF8;SERTAD1;SAP30L;FEM1C;LRIG2;EXOSC3;MAP4K5;RELT;RNF130;SLC12A2;RWDD1;USP25;CMTM3;FEM1B;SMOX;DONSON;HNRNPAB;DCBLD1;RAB10;SNX18;PINK1;SLCO3A1;APC;AGGF1;CCNYL1;CHPT1;SSBP3;LGR4;PNPLA2
MYC K562 hg19	479/6800	8.70294298906333e-12	1.42032029581514e-09	0	0	1.53498536815018	39.0920247702628	CYFIP2;PI4K2B;CHIC2;RRP1;GHITM;ACCS;WDR89;ELK4;ALCAM;CNST;WDR92;ZMIZ1;PIP4K2A;DIP2A;MLYCD;UBASH3A;SBDSP1;IER5;VPS39;CDK5RAP2;DDX17;PRKAB2;STARD7;DDX11;PIH1D1;SYTL1;RFX3;ARMC7;PRKAB1;SCAMP3;CLPX;GANC;UNC13D;WDR77;BCR;DDX39B;TFR2;BIN1;ORAI3;YME1L1;RPL26;DUS3L;UBA52;ZNF276;POM121;SEH1L;MAPKAP1;MTMR9;AAAS;OAZ1;GABARAP;MTMR6;MRPL11;CHST11;NUP85;BLOC1S3;VTI1A;AMZ2;NUP88;NR2C2AP;NAA50;PRELID1;CCZ1B;EXOC6B;IRF2BP2;CDC7;MTHFS;WDR54;EHD1;HNRNPL;SLC6A6;TRIP6;NAPEPLD;HNRNPD;PSMG4;PSMG1;AVL9;CEP57;PHF2;OGG1;RPLP0;SRP54;TMEM51;MRPL34;ABCC10;FARS2;EEA1;SMPD2;ING2;CHAF1A;RFK;UPF2;DFFB;NSUN6;C1ORF43;BAZ1A;TIMM21;PTGR2;TERF2;SUMF2;SUMF1;FAM210A;KAT2B;PLSCR1;RILPL2;AEBP2;PIGG;GART;RNF166;ODC1;GPS2;PROCA1;RNF138;ALOX5;PSMB1;MICALL2;STX4;ZNF227;METTL7B;RNF130;RPL17;WWOX;HSPA1L;TRAPPC10;WDR18;ELP2;ELP3;GTF2H1;RRP1B;DCBLD1;GATAD2B;BYSL;TMCO1;NUDT22;SNX18;LYRM4;NFIA;CCDC9;APEX1;TSR1;LAMTOR1;LGR4;ANKRD37;TOR2A;DGKD;CEP19;UBE2D3;APEH;CDC14A;BEST1;SMCHD1;IPO9;PLEKHJ1;TLE4;TOR3A;ZNF561;MAP2K2;MREG;USP3;GTF3A;LEMD2;MAPKAPK3;MSH2;NHP2;SRSF4;ANKRD40;SNRPF;FKBP4;ARL8A;ARL8B;SLC27A4;INO80B;KHDRBS1;METTL2B;RNASEH2B;ANKRD16;ITPR1;UBR4;CREBL2;UBR2;BCL2L11;PMVK;DVL3;ANKRD28;NEK9;UVRAG;SLC37A1;CCDC12;TNK1;FANCA;TNFRSF10A;TRAPPC8;HPS5;GGCT;IRAK1BP1;G6PC3;SON;LSM6;ZNF778;CLPTM1L;NIT1;RAB5A;EIF4G2;WRAP53;ARHGAP11A;HSP90AB1;RNPEPL1;ADPGK;CEP164;PTPN23;NAGPA;CDC73;SNRNP70;DDI2;ME2;SPG11;PELP1;PDCD6IP;GPX4;ACTR5;VPS13A;HAUS4;RABGGTB;ITGA5;MTRF1L;RAB1A;GTF2A2;GTF3C5;UHRF2;PRCC;SRSF1;RCHY1;SRM;RAB24;FYN;ZNF622;DCAF11;E2F6;UBQLN4;EIF4B;TRIM44;PTPN1;MMAB;DONSON;RPL23A;HNRNPAB;TTC39B;ASXL1;RAB10;SLC25A37;PINK1;RAD50;MFAP3;STUB1;P4HB;TRMT61B;EIF3B;SLC35B3;PANK3;TMEM41B;PITPNA;PREP;CISD2;IKZF1;GBA2;CYB5D2;ZDHHC4;TIAL1;TCL1B;LONP1;EPC1;ARFIP1;CHAC2;CCNL2;RPS10;TMPO;MCCC2;C17ORF49;ARRDC2;CMC1;METTL3;NSMCE1;IMP4;MOGS;MFSD11;MIF4GD;HLA-E;FLJ37453;THAP6;KATNAL1;TRIM14;KDELR3;KCTD17;ANKRA2;CCDC82;MGST3;FBF1;MYCBP2;OSGEP;MBTD1;SNX3;TGOLN2;PTDSS1;FXR2;DHX33;DHX34;DPH3;KCNN4;BANP;VASP;GADD45B;SLC35E1;XRCC3;MICAL2;SMARCA4;CCT6A;RPS26;POLA2;GKAP1;NDUFAF4;ZNF814;ACER3;CDC16;CCDC88C;MPHOSPH10;ATM;ITM2C;CLIC4;DAZAP1;CCDC126;FAF1;GBE1;INTS10;GDI2;AATF;TRAM2;PPCDC;HERPUD1;RPTOR;NUDCD2;AUH;BBS7;DLAT;CD33;HTATIP2;PRORSD1P;CAMLG;MMD;PABPC4;ACAD9;TYK2;UCHL3;RPUSD4;PRPF18;RAD51C;SLTM;CD47;PABPC1;RAB7A;SELPLG;CAB39;DERL2;NT5C;CHRAC1;EXOSC3;PCNT;RELT;METTL9;CCT5;CCT4;PEX16;AP3D1;TTC3;AGGF1;ESYT2;RTN4IP1;FRA10AC1;SCARB2;DCLRE1C;CIB2;TMEM140;ETS2;CNDP2;KHSRP;EP300;SNIP1;AZI2;PSPH;SH3GL1;ANGEL2;PAM16;SSU72;ACOT13;UBE4B;TRNT1;ATAD3B;ATAD3A;PDIA4;SHQ1;TMX2;EHBP1L1;GEMIN4;PPIF;IDI1;YTHDC2;COPB1;CLEC16A;MARK2;KLHDC10;IVNS1ABP;UBE2I;IFT122;CNOT10;TBCB;SUPT5H;NR4A2;TBCK;GCLC;DAP;JMY;PHF14;TCF3;PICALM;KDM5A;C2ORF42;MAST3;DOCK8;ADAR;DDX41;PPP2R5E;GATAD1;UQCRFS1;POLH;YWHAH;ABCC4;RBM14;TTC32;DDX58;DCAKD;GLRX5;AKTIP;AXIN1;SAFB;SENP2;DCK;EEF1D;PEX3;IRF1;NUP50;PEX6;OAS3;NAA35;B4GALT4;AGPAT5;VAC14;SFSWAP;C2ORF68;ASAP1;RNF6;PPOX;AURKC;TBRG1;CLN3;RAB40C;ERICH1;TDG;TGS1;LRIG2;RWDD1;CDK11A;TTC13;TMED7-TICAM2;CDK11B;POLE4;CAPN10;BRMS1L;CHPT1;GALM;SSBP4
CUX1 GM12878 hg19	179/2000	2.00168509570955e-11	2.72229173016499e-09	0	0	1.82282884981048	44.9043800513955	CHIC2;IFITM1;TMEM41B;CEP19;PREP;ACCS;IFI30;TMEM140;ETS2;HERC4;ABHD13;CNST;TRAPPC12;EPC1;ZNF569;ACAA1;FBXO7;IER5;RPS10;RNF111;VPS39;PSPH;TMPO;CAST;ZBP1;TLE4;GABARAPL1;PRKAB2;PIH1D1;ARRDC2;ANGEL2;ARMC7;ACYP2;PRKAB1;LEMD2;SCAMP3;THAP2;MSH2;SIDT1;YME1L1;RPL26;UBA52;ACOT4;ABCG1;ARL8B;LRPAP1;RNASEH2B;PXK;INO80D;TXNDC9;CUL5;YTHDC2;FBF1;UBR4;MTMR9;SLC38A10;TAPBPL;BCL10;MTMR6;CDKN2AIP;PTDSS1;CHST11;DHX34;NTHL1;BLOC1S3;SLC38A6;TNFRSF17;ZNF668;TNFRSF14;NLRP1;KCNN4;BTN2A2;CCDC12;GADD45B;TNFSF13;EXOC6B;IFT122;CNOT10;ARPC5;HPS5;SUPT5H;GPN2;ARHGAP25;TNFRSF10D;GGCT;CCT6A;GCLC;SON;NDUFAF4;TBXAS1;PSMG4;ZNF778;MPHOSPH10;AVL9;LSM14B;GALK2;EIF4G2;PICALM;CEP57;DENND1C;DAZAP1;OGG1;FAF1;RPLP0;AMD1;CEP164;MRPL34;ABCC10;LMNB1;FARS2;RPTOR;NUDCD2;SART3;SNRNP70;PPP2R5E;SMPD1;GATAD1;PDE4A;BBS7;UBXN4;POLH;LRRC47;CAP1;RBM14;PRORSD1P;TMC8;NSUN6;C1ORF43;BAZ1A;TIMM21;RABGGTB;PTGR2;SLTM;IRF3;OAS2;IRF1;CTDSP2;OAS3;PIGG;GART;B4GALT4;AGPAT5;GTF2A2;SELPLG;BCL2A1;C2ORF68;TM2D1;SRSF1;CXCR4;PROCA1;PPOX;SCAF8;GNA15;SERTAD1;RNF138;LMAN2;GCNT2;ZNF622;CNNM2;MAP4K5;RELT;METTL9;CCT4;ZNF286A;PEX16;RWDD1;CYB5A;PTPN1;CD72;TTC13;FEM1B;WDR18;TMED7-TICAM2;GTF2H1;TMEM59;SNX18;NFIA;CCDC9;P4HB
UBTF CH12.LX mm9	176/2000	1.21120880390803e-10	1.4119234056985e-08	0	0	1.78320802005013	40.7181857366508	SCARB2;ZFAND4;UBE2D3;PITPNA;PREP;CISD2;CIB1;ACCS;APEH;WDR89;GBA2;TIAL1;ALCAM;CNST;TBC1D10C;EP300;SNIP1;DIP2A;ARFIP1;MLYCD;RPS10;CDK5RAP2;TLE4;SH3GLB2;IAH1;KHNYN;CMC1;PRKCA;PRKAB1;FBXO11;BCR;RFX7;ORAI3;RIN3;ANKRD40;KDELR3;ANKRA2;ARL8A;ARL8B;LRPAP1;INO80D;SLC35D1;YTHDC2;COPB1;CUL2;ITPR1;MTMR9;AK3;CREBL2;AAAS;CDKN2AIP;FXR2;MICAL1;INPP5D;DVL3;SNX9;KDSR;KLHDC10;IVNS1ABP;NAA50;PRELID1;MLKL;PLK2;SETDB2;FANCA;TRAPPC8;HPS5;PARP14;ZZEF1;NR2F6;MED13L;FAM220A;GGCT;EHD1;NR4A2;SLC6A6;NDUFAF2;HNRNPD;REL;PSMG1;STRN;AVL9;RGL2;RCOR1;EIF4G2;PICALM;SLC48A1;DAZAP1;ADPGK;DOCK8;INTS10;GDI2;TMEM51;SLC2A6;CDC73;HERPUD1;IMPA2;PPP2R5E;SMPD1;DDI2;PHACTR2;ME2;PGLS;BBS7;SPG11;PGM1;PELP1;YWHAH;ABCC4;ITGA3;MMD;DCAKD;GLRX5;IFNGR2;MINK1;VPS13A;HAUS4;AXIN1;ZDHHC17;ETV6;ARL4C;APBB1IP;RAD51C;RILPL1;PEX3;TRAPPC6B;IRF1;NUP50;CD47;PABPC1;MTRF1L;SOS2;RNF166;AVPI1;GRAMD1B;VAC14;GOSR2;PRCC;GPS2;RNF6;HSD17B11;AGPAT2;RXRB;SCAF8;TGS1;LMAN2;SAP30L;RAB24;PDSS2;LRIG2;CNNM2;DCAF11;TRIM44;CCT4;RWDD1;PTPN1;USP25;TTC13;TRAPPC10;IL10RA;DONSON;FOXJ2;LYSMD2;PTPN11;KLF4;PSMB8;TMCO1;TSPAN15;SNX18;BRMS1L;CARM1;TTC3;CCNYL1;ESYT2;VIM;TAF3
GATA1 erythroblast hg19	192/2266	3.59716632409647e-10	3.6691096505784e-08	0	0	1.71548732152643	37.3044804130851	CHIC2;ZFAND4;RRP1;ROGDI;CIB1;GHITM;APEH;TMEM140;CYB5D2;BEST1;ABHD13;WDR92;ZMIZ1;FTH1;ARL6IP5;EPC1;ARFIP1;CHAC2;UBASH3A;AZI2;IER5;RNF111;PSPH;MAP3K5;CDK5RAP2;PLEKHJ1;CAST;DDX17;TLE4;MYLIP;GABARAPL1;PRKAB2;STARD7;DDX11;PIH1D1;USP3;ARRDC2;IFRD1;SSU72;ACOT13;IMP4;MOGS;PRKAB1;LEMD2;THAP2;UNC13D;PDIA4;FLJ37453;MAPKAPK3;KATNAL1;TFR2;BIN1;ORAI3;EHBP1L1;SPECC1L;NHP2;ANKRD40;UHRF1BP1;CHMP4A;UBA52;IDI1;RNASEH2B;ANKRD16;CLEC16A;MTMR9;CREBL2;UBR2;OAZ1;CDKN2AIP;OSGEP;PTDSS1;MAN2A1;PMVK;VTI1A;KDSR;IVNS1ABP;NAA50;APOBEC3D;TIA1;RABGAP1L;UBE2I;NEK7;IFT122;SUPT5H;GPN2;HNRNPL;CCT6A;GCLC;IRAK1BP1;NDUFAF4;NAPEPLD;PSMG1;ATM;LSM14B;GALK2;SLC35E2B;EIF4G2;CDS2;ZNF254;HSP90AB1;ADPGK;OGG1;GBE1;DOCK8;AMD1;CEP164;GDI2;SRP54;BRCA1;DDX41;MRPL34;NAGPA;LMNB1;RPTOR;SMPD2;SPRED2;SNRNP70;DDI2;ME2;BBS7;DLAT;CCDC50;ABCC4;TTC32;MIOS;DDX58;PABPC4;GLRX5;MINK1;BAZ1A;FOS;RABGGTB;SENP2;TERF2;ZDHHC17;DCK;PRPF18;SLTM;IRF3;EEF1D;TRAPPC6B;IRF1;NAA35;PABPC1;PIGG;MTRF1L;B4GALT4;AVPI1;RAB1A;GTF2A2;UHRF2;CAB39;SRSF1;PPOX;TSPAN32;CLN3;RNF138;TGS1;SAP30L;PDSS2;FEM1C;DCAF11;E2F6;RELT;METTL9;CCT5;CBR4;CCT4;PEX16;RWDD1;PTPN1;WWOX;USP25;TRAPPC10;TMED7-TICAM2;DONSON;ELP2;ELP3;PTPN11;RRP1B;BYSL;TTC39B;MAPK13;RAB10;SLC25A37;SNX18;RAD50;NFIA;APEX1;CHPT1;FRA10AC1;EIF3B
RELA GM10847 hg19	173/2000	6.87025381554392e-10	6.22903012609315e-08	0	0	1.74396458728565	36.7952982283308	SLC35B3;IFITM1;PANK3;NCF2;CEP19;NCF4;DCAF8;APEH;WDR89;TMEM140;DCAF6;TIAL1;CNST;WDR92;ARL6IP5;LONP1;TRAPPC12;PIP4K2A;DIP2A;IER5;RPS10;SH3GL1;PLEKHJ1;CAST;ZBP1;TLE4;MCCC2;MYLIP;PRKAB2;C17ORF49;SWAP70;ACOT13;IMP4;SCAMP3;THAP2;RUNX1;PDIA4;OXA1L;ACAP2;SRSF4;RPL26;ANKRA2;CCDC82;UBA52;FAM8A1;INO80B;LRPAP1;METTL2B;IDI1;DNMT1;INO80D;ANKRD16;MYCBP2;ITPR1;MTMR9;SDR39U1;TAPBPL;OAZ1;CDKN2AIP;SNX3;TGOLN2;PTDSS1;BCL2L11;PMVK;VTI1A;DVL2;TNFRSF17;AMZ2;TNFRSF14;NUP88;LTA4H;SLC15A4;BANP;KLHDC10;LYN;UVRAG;RABGAP1L;UBE2I;MLKL;SLC35E1;EDEM1;SETDB2;TRAPPC8;TBCB;HPS5;SUPT5H;IRAK1BP1;ARHGAP31;NDUFAF4;REL;MPHOSPH10;NIT1;CALM1;RGL2;GALK2;EIF4G2;PICALM;C2ORF42;CIITA;HSP90AB1;BTG1;RPLP0;INTS10;AMD1;GDI2;MRPL38;SRP54;DDX41;PTPN23;MRPL34;ABCC10;CDC73;ARL5B;SNRNP70;SMPD1;ME2;SPG11;POLH;UPF2;RBM14;TTC32;PABPC4;DCAKD;ACAD9;C1ORF43;TIMM21;TYK2;RABGGTB;SAFB;MED29;SIRT3;PLSCR1;RILPL2;OAS2;TRAPPC6B;IRF1;OAS3;PABPC1;GART;SELPLG;UHRF2;BCL2A1;TM2D1;TM9SF3;SERTAD1;TGS1;LMAN2;RSBN1L;PDSS2;STX4;ZNF622;CNNM2;EXOSC3;PCNT;RWDD1;CYB5A;PTPN1;HSPA1L;TRAPPC10;ELP2;ELP3;GTF2H1;HNRNPAB;PSMB8;BYSL;RAB10;TMEM59;RAD50;TTC3;ESYT2;VIM;TAF3;SSBP3
ATF3 GM12878 hg19	130/1394	1.38047198982732e-09	1.12646514369909e-07	0	0	1.86992692157119	38.1480806392145	PI4K2B;PANK3;UBE2D3;RRP1;DCAF8;CISD2;GHITM;CYB5D2;LONP1;EPC1;SNIP1;RNF111;PDK2;SSU72;GTF3A;MFSD11;ATAD3B;MIF4GD;DEXI;SCAMP3;THAP6;CHMP4A;ANKRA2;DUS3L;UBA52;KHDRBS1;UBR4;CLEC16A;GABARAP;OSGEP;MBTD1;RIC8A;PTDSS1;DHX33;NTHL1;DPH3;DVL2;SLC38A6;BPTF;UVRAG;PRELID1;SLC35E1;TRAPPC8;ARPC5;HPS5;FBXO33;PHC3;QKI;ZZEF1;CDK8;G6PC3;TRIP6;JMY;HNRNPD;ZNF778;CLPTM1L;PICALM;ADPGK;FAF1;ZFAND2A;ADAR;BRCA1;PTPN23;AATF;NAGPA;LMNB1;LMBR1;SART3;DDI2;UQCRFS1;MFSD1;DLAT;PELP1;UPF2;SLC36A1;DENND2D;PARP6;PDCD6IP;ATMIN;CAMLG;ACAD9;TFEB;TMC8;C1ORF43;TIMM21;ARAP1;DCK;SUMF1;RPUSD4;FAM210A;EEF1D;PIGG;BDP1;PPP1R12C;ATP6V0C;RNF166;RAB7A;HDAC4;VAC14;RCHY1;SRM;CLN3;AFG3L1P;TDG;PSMB1;RAB24;PDSS2;STX4;EIF4B;CCT4;SPAG9;CDK11A;TRAPPC10;ELP3;GTF2H1;PTPN11;KIAA2013;RRP1B;CDK11B;BYSL;RAD50;CCDC9;CAPN10;APEX1;TTC3;CCNYL1;P4HB;LAMTOR1;TRMT61B;EIF3B
