Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
cellular response to type I interferon (GO:0071357)	18/65	7.84108398680817e-09	1.26947149746424e-05	0	0	6.67310339402997	124.546059353534	IFITM3;IFNAR2;IFITM1;IFITM2;HLA-B;ADAR;TYK2;HLA-A;HLA-F;PSMB8;HLA-E;OAS1;IRF3;OAS2;IRF1;OAS3;GBP2;MYD88
type I interferon signaling pathway (GO:0060337)	18/65	7.84108398680817e-09	1.26947149746424e-05	0	0	6.67310339402997	124.546059353534	IFITM3;IFNAR2;IFITM1;IFITM2;HLA-B;ADAR;TYK2;HLA-A;HLA-F;PSMB8;HLA-E;OAS1;IRF3;OAS2;IRF1;OAS3;GBP2;MYD88
regulation of cellular response to heat (GO:1900034)	16/78	4.29014243522595e-06	0.0046304937350872	0	0	4.48470420188073	55.4273141228095	POM121;HSP90AB1;SEH1L;HSPA1L;HIKESHI;AAAS;CCAR2;RPTOR;NUP85;NUP50;EP300;NUP88;ATM;FKBP4;IER5;NUP58
polyamine metabolic process (GO:0006595)	6/12	1.89394090219881e-05	0.00979050721618851	0	0	17.2705667276051	187.804730925015	SMOX;ODC1;AMD1;SAT2;OAZ1;SRM
RNA processing (GO:0006396)	26/193	2.18545218204198e-05	0.00979050721618851	0	0	2.71556328683415	29.1409885452477	PDCD7;YTHDC2;SRSF1;BICD1;CCAR2;DHX33;DHX34;SNRNP70;KHSRP;PRKACA;DDX17;IVNS1ABP;PABPC4;METTL3;SUPT5H;HNRNPL;PRPF18;LSM6;SON;DDX39B;HNRNPD;MPHOSPH10;AGGF1;SRSF4;SNRPF;SRSF9
interferon-gamma-mediated signaling pathway (GO:0060333)	14/70	2.28644832820827e-05	0.00979050721618851	0	0	4.33793738489871	46.3548770189901	CIITA;IFNGR2;HLA-B;HLA-A;IFI30;HLA-F;HLA-E;OAS1;IRF3;OAS2;IRF1;OAS3;GBP2;HLA-DRB1
regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process (GO:1902959)	5/8	2.42921191047158e-05	0.00979050721618851	0	0	28.7625570776256	305.612482538272	LYN;EFNA3;BIN1;SORL1;PICALM
endosomal transport (GO:0016197)	29/229	2.47254998865688e-05	0.00979050721618851	0	0	2.53174603174603	26.8559402589954	DENND1C;GOSR2;CLEC16A;PTPN23;TRAK1;TGOLN2;EEA1;BLOC1S3;TBC1D10C;VTI1A;MICALL2;SNX9;VPS39;PLEKHJ1;SPAG9;AKTIP;VPS13A;EHD1;ARL4C;RAB10;SNX18;BIN1;CHMP4A;LAMTOR1;UBA52;RAB5A;CHMP7;RAB7A;PICALM
cellular modified amino acid biosynthetic process (GO:0042398)	8/24	2.72126513112096e-05	0.00979050721618851	0	0	8.64652014652015	90.8907375164559	GGCT;GCLC;PLSCR1;PTDSS1;ST20-MTHFS;MTHFS;CHAC2;CNDP2
response to interferon-beta (GO:0035456)	7/19	4.19425460853581e-05	0.013580996422439	0	0	10.0805123513266	101.603599147926	IFITM3;IFNAR2;IFITM1;PLSCR1;IFITM2;CDC34;IRF1
