Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
nuclear chromosome part (GO:0044454)	40/392	0.000128760680381231	0.0418472211238999	0	0	1.98842195540309	17.8113991628371	INO80B;DCLRE1C;TNKS;BRCA1;AURKC;CDC73;CCAR2;SMCHD1;CHAF1A;CHRAC1;DVL3;BPTF;DFFB;STN1;DDX11;USP3;ACTR5;XRCC3;RFX3;KLF4;TERF2;GATAD2B;RUNX2;SMARCA4;NCOR2;ASXL1;POLE4;ETAA1;RAD50;POLA2;MSH2;NASP;APEX1;IRF1;BRMS1L;NHP2;ATM;TCF4;TCF3;COPS9
ficolin-1-rich granule (GO:0101002)	22/184	0.000509214346010845	0.0827473312267623	0	0	2.36054421768708	17.8991605902291	SERPINA1;HSP90AB1;CAB39;CD300A;COPB1;UBR4;ARPC5;APEH;ATAD3B;CST3;FTH1;ALOX5;PSMB1;COTL1;TBC1D10C;LTA4H;RAC1;LAMTOR1;CDK13;ATP6V0C;ARL8A;PGM1
lytic vacuole membrane (GO:0098852)	25/233	0.00110131915681517	0.100384771031666	0	0	2.08989266547406	14.2347742790873	SCARB2;SLC48A1;PI4K2B;SEH1L;ABCC10;NAPG;RPTOR;CLN3;SLC15A4;SPG11;VPS39;SLC36A1;MIOS;SPNS3;AP3D1;MCOLN2;LAMTOR1;LAMTOR4;UBA52;ATP6V0C;HLA-DRB1;ARL8A;RAB7A;SIDT2;ARL8B
early endosome (GO:0005769)	24/222	0.00123550487423588	0.100384771031666	0	0	2.10679283541737	14.1076654314954	NRP1;UVRAG;VAC14;PTPN1;RABGAP1L;MAP2K2;HLA-B;MYO5A;CXCR4;HLA-A;PTPN23;HLA-F;TRAK1;SORL1;HLA-E;SNX3;EHD1;EEA1;CLN3;KCNQ1;RIN3;RAB5A;PLEKHJ1;PICALM
vacuole (GO:0005773)	10/62	0.00192124964882542	0.108510045484225	0	0	3.32533521524347	20.7992383550187	CLN3;UVRAG;GABARAPL1;RAB24;VTI1A;PIP4K2A;STX4;WIPI2;UBQLN4;GABARAP
lysosome (GO:0005764)	38/422	0.00200326237817031	0.108510045484225	0	0	1.72534133709981	10.7195081810077	SLC48A1;SCARB2;PI4K2B;SEH1L;CXCR4;BCL10;ABCC10;IFI30;NAPG;TIAL1;RPTOR;CLN3;SMPD1;SLC15A4;SPG11;VPS39;SLC36A1;UVRAG;MIOS;FUCA1;SPNS3;AP3D1;GLMP;MYO5A;MCOLN2;UNC13D;TMEM59;KCNQ1;LAMTOR1;LAMTOR4;UBA52;ATP6V0C;HLA-DRB1;ARL8A;ARL8B;ITM2C;RAB7A;SIDT2
centrosome (GO:0005813)	40/461	0.00301574349365349	0.140016662205341	0	0	1.65634383543226	9.61326869641619	CEP57;CLIC4;TNKS;PHF1;CEP19;CEP164;FBF1;UBR4;SPATC1L;CIB1;AAAS;BICD1;AURKC;CDC14A;ODF2L;BBS7;PRKACA;PCNT;CEP76;CCT5;CDK5RAP2;CCT4;UVRAG;NEK9;DDX11;PLK2;HAUS4;CDC25B;KAT2B;NIN;RILPL2;APC;RILPL1;ZFYVE19;APEX1;CDC16;CCDC88C;UNC119;CALM1;RABL6
late endosome membrane (GO:0031902)	8/48	0.00432576628947004	0.145190439257367	0	0	3.45421245421245	18.8018517099509	SCARB2;VAC14;GOSR2;VTI1A;LAMTOR1;VPS39;HLA-DRB1;RAB7A
late endosome (GO:0005770)	16/140	0.00440361480248919	0.145190439257367	0	0	2.23497202713963	12.125459736049	SCARB2;UVRAG;VAC14;MAP2K2;GOSR2;CLEC16A;MYO5A;CXCR4;CLN3;TMEM59;KCNQ1;VTI1A;LAMTOR1;VPS39;HLA-DRB1;RAB7A
microtubule organizing center (GO:0005815)	42/507	0.005469153951112	0.145190439257367	0	0	1.57381547655345	8.19742462280022	CEP57;CLIC4;PXK;PHF1;CEP19;CEP164;FBF1;UBR4;SPATC1L;CIB1;AAAS;BICD1;CDC14A;ODF2L;BBS7;PRKACA;PCNT;CEP76;CCT5;CDK5RAP2;CCT4;SPAG9;UVRAG;NEK9;DDX11;PLK2;HAUS4;CDC25B;KAT2B;NIN;RILPL2;APC;RILPL1;DDAH2;ZFYVE19;APEX1;CDC16;CCDC88C;SPECC1L;UNC119;CALM1;RABL6
lysosomal membrane (GO:0005765)	27/291	0.0056478845256757	0.145190439257367	0	0	1.77628569007879	9.19489708945656	SCARB2;SLC48A1;PI4K2B;SEH1L;CLEC16A;ABCC10;NAPG;RPTOR;CLN3;SLC15A4;SPG11;VPS39;BORCS5;SLC36A1;MIOS;SPNS3;AP3D1;MCOLN2;LAMTOR1;LAMTOR4;UBA52;ATP6V0C;HLA-DRB1;ARL8A;RAB7A;SIDT2;ARL8B
ficolin-1-rich granule membrane (GO:0101003)	9/61	0.00586035929016702	0.145190439257367	0	0	2.9900585207643	15.3675384212874	CD300A;COPB1;TBC1D10C;UBR4;RAC1;LAMTOR1;ATAD3B;ATP6V0C;ARL8A
lytic vacuole (GO:0000323)	19/183	0.00587092691952547	0.145190439257367	0	0	2.00798718440468	10.3165215981301	UVRAG;FUCA1;GLMP;MYO5A;CXCR4;BCL10;IFI30;UNC13D;TIAL1;RPTOR;CLN3;TMEM59;KCNQ1;SMPD1;LAMTOR1;LAMTOR4;SIDT2;ITM2C;RAB7A
nuclear chromatin (GO:0000790)	24/253	0.00669725862977118	0.145190439257367	0	0	1.81857437379263	9.10388696676103	DFFB;INO80B;UHRF2;DDX11;USP3;ACTR5;RFX3;KLF4;CCAR2;RUNX2;GATAD2B;SMARCA4;NCOR2;ASXL1;RAD50;CHAF1A;NASP;IRF1;BRMS1L;DVL3;TCF4;TCF3;BPTF;COPS9
