Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
adenyl ribonucleotide binding (GO:0032559)	34/279	1.17922922081661e-05	0.00460780915418272	0	0	2.42857142857143	27.559585074935	POPDC2;HSP90AB1;AK3;TDG;PMVK;LONP1;PDE4A;TLK1;NLRP1;MAP4K5;PDK2;MARK2;MAP3K5;CDK11A;HSPA1L;MLKL;PDE2A;MINK1;TNK1;MTHFS;TRNT1;CDK11B;CLPX;TBCK;GCLC;PINK1;MSH2;OAS1;WNK1;OAS2;OAS3;PEX6;FBP1;ABCG1
ATPase activity, coupled (GO:0042623)	17/94	1.29251308672727e-05	0.00460780915418272	0	0	3.83723663225048	43.1932287292972	DDX17;SMARCAL1;HSPA1L;DDX11;YTHDC2;XRCC3;GTF2H1;CLPX;SMARCA4;RAD51C;MSH2;DDX39B;KATNAL1;PEX6;LONP1;YME1L1;BPTF
RNA binding (GO:0003723)	111/1387	3.71755849047287e-05	0.00883539734569052	0	0	1.55017417295581	15.8115569539545	RTCA;RRP1;CISD2;APEH;CCAR2;TIAL1;RPS18;KHSRP;LONP1;SNIP1;RPS10;CAST;DDX17;ACTN1;DDX11;METTL3;IMP4;HLA-A;TRNT1;GTF2F1;PDIA4;DDX39B;NHP2;SRSF4;RPL26;SNRPF;FKBP4;DUS3L;SRSF9;KHDRBS1;KMT2C;YTHDC2;HNRNPLL;MRPL11;FXR2;HNRNPDL;DHX33;DHX34;LTA4H;MARK2;APOBEC3D;TIA1;UBE2I;MYO5A;SUPT5H;QKI;ANKHD1;HNRNPL;CCT6A;RPS26;SON;LSM6;TRIP6;HNRNPD;MPHOSPH10;LSM14B;CDK13;EIF4G2;WRAP53;DAZAP1;HSP90AB1;RPLP0;GDI2;SRP54;ADAR;BRCA1;DDX41;AATF;YBX3;FARS2;SART3;SNRNP70;LRRFIP1;PELP1;LRRC47;RBM14;DDX58;PABPC4;NSUN6;SAFB;RPUSD4;SLTM;OAS1;EEF1D;OAS2;OAS3;NCBP3;PABPC1;SRSF1;MRM3;ZNF622;EXOSC3;RPL17;EIF4B;CCT4;PTPN1;RFTN1;GATB;RPL23A;RRP1B;HNRNPAB;CDK11B;BYSL;CCDC9;APEX1;TSR1;AGGF1;P4HB;VIM;NOP53;EIF3B
kinase activity (GO:0016301)	32/280	7.44775743692982e-05	0.0132756276313274	0	0	2.25347348072973	21.4192935871383	DGKD;ADPGK;AURKC;RASSF2;RFK;PMVK;PRKACA;MAP4K5;PDK2;MAP3K5;CDK17;LYN;CDK11A;MMD;DCAKD;MINK1;LIMK1;PRKCA;CDC7;GTF2H1;PRKAB1;CDK11B;BCR;TBCK;CDK8;PINK1;STK24;WNK1;ATM;TNIK;CDK13;GALK2
phosphotransferase activity, alcohol group as acceptor (GO:0016773)	29/254	0.00016153504241293	0.0205484854620619	0	0	2.24743230625584	19.6218560394903	DGKD;ADPGK;AURKC;HK1;RASSF2;RFK;PRKACA;MAP4K5;PDK2;MAP3K5;CDK17;CDK11A;MMD;DCAKD;MINK1;LIMK1;PRKCA;CDC7;GTF2H1;PRKAB1;CDK11B;TBCK;CDK8;PINK1;STK24;WNK1;TNIK;CDK13;GALK2
ATP binding (GO:0005524)	29/255	0.000172918531237548	0.0205484854620619	0	0	2.23736810358362	19.3816262795242	HSP90AB1;AK3;TDG;PMVK;LONP1;TLK1;NLRP1;MAP4K5;PDK2;MARK2;MAP3K5;CDK11A;HSPA1L;MLKL;MINK1;TNK1;MTHFS;TRNT1;CDK11B;CLPX;TBCK;PINK1;MSH2;OAS1;WNK1;OAS2;OAS3;PEX6;ABCG1
double-stranded RNA binding (GO:0003725)	11/59	0.000324937483351476	0.0330972036613718	0	0	3.96717171717172	31.8638382577062	HSP90AB1;OAS1;DHX33;DDX58;OAS2;ACTN1;OAS3;RFTN1;LRRFIP1;VIM;EIF4B
ubiquitin protein ligase binding (GO:0031625)	30/284	0.000483115819075279	0.0430576973750842	0	0	2.05820884538965	15.7149476118847	ZFAND4;CUL5;FAF1;CUL2;CXCR4;BCL10;BRCA1;GABARAP;BAG6;CASP10;SNX9;TNFRSF14;PRKACA;FBXO7;CCDC50;USP25;GABARAPL1;HSPA1L;DDX58;AKTIP;AXIN1;TRAF1;SCAMP3;PINK1;CDC34;APC;STUB1;ANKRA2;UBA52;ATP6V0C
protein serine/threonine kinase activity (GO:0004674)	36/368	0.000606350613624671	0.0447620710777849	0	0	1.89229096838482	14.0181902124659	CAB39;MAST3;PELI2;AURKC;NRBP2;TLK1;RAC1;PRKACA;MAP4K5;MARK2;MAP3K5;CDK17;MAP2K3;PRKAB2;CDK19;CDK11A;MAP2K2;PRKCE;PLK2;MINK1;NEK7;LIMK1;PRKCA;CDC7;GTF2H1;CDK11B;MAPK13;CDK8;PINK1;MAPKAPK3;STK24;WNK1;CAMK4;ATM;TNIK;CDK13
purine ribonucleoside triphosphate binding (GO:0035639)	38/396	0.000627799033349017	0.0447620710777849	0	0	1.8532441161927	13.6645071495601	HSP90AB1;SRP54;AK3;TDG;PMVK;LONP1;TLK1;RAC1;NLRP1;MAP4K5;PDK2;MARK2;MAP3K5;CDK11A;HSPA1L;MLKL;TNK1;MINK1;MTHFS;TRNT1;CDK11B;CLPX;RAB10;TBCK;PINK1;MSH2;OAS1;WNK1;OAS2;OAS3;PEX6;TSR1;RAB5A;ARL8A;ABCG1;RABL6;ARL8B;RAB7A
kinase binding (GO:0019900)	39/418	0.000917543866657973	0.0594735251751941	0	0	1.7962816977064	12.5628532022037	MIDN;BTG1;HSP90AB1;CAB39;MAPKAP1;FAF1;BCL10;PTPN23;BICD1;RPTOR;TCL1B;SPRED2;RNF138;DVL1;RAC1;PRKACA;FBXO7;CDK5RAP2;MAP2K3;IFNAR2;SLC12A2;NEK9;PTPN1;PIH1D1;FCRL3;AXIN1;LAX1;CDC25B;KAT2B;TIAM1;MSH2;APC;WNK1;TRIP6;STUB1;UTRN;ANKRA2;CALM1;ARHGEF7
ubiquitin-like protein ligase binding (GO:0044389)	30/297	0.00100418850094832	0.0596655334313463	0	0	1.95663131366166	13.5077520492002	ZFAND4;CUL5;FAF1;CUL2;CXCR4;BCL10;BRCA1;GABARAP;BAG6;CASP10;SNX9;TNFRSF14;PRKACA;FBXO7;CCDC50;USP25;GABARAPL1;HSPA1L;DDX58;AKTIP;AXIN1;TRAF1;SCAMP3;PINK1;CDC34;APC;STUB1;ANKRA2;UBA52;ATP6V0C
small GTPase binding (GO:0031267)	10/63	0.00217339768486664	0.111984420005173	0	0	3.26241994114592	20.0034090601173	ACAP2;RILPL2;RILPL1;MAPKAP1;CIB1;ASAP1;ARAP1;AGAP3;SMAP2;SORL1
MAP kinase kinase kinase kinase activity (GO:0008349)	4/11	0.0021988525667215	0.111984420005173	0	0	9.85036496350365	60.28245672111	STK24;MINK1;TNIK;MAP4K5
protein kinase activity (GO:0004672)	44/513	0.0023995863502576	0.114060337848911	0	0	1.63743781094527	9.87777631309559	BLK;CAB39;MAST3;PELI2;AURKC;NRBP2;RASSF2;TLK1;FYN;RAC1;PRKACA;MAP4K5;PDK2;MARK2;MAP3K5;CDK17;LYN;MAP2K3;CDK11A;MAP2K2;MMD;PRKCE;PLK2;NEK7;TNK1;MINK1;LIMK1;PRKCA;CDC7;GTF2H1;TYK2;PRKAB1;CDK11B;MAPK13;BCR;CDK8;TBCK;PINK1;MAPKAPK3;STK24;WNK1;ATM;TNIK;CDK13
