Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Primary sclerosing cholangitis	10/36	1.66301409209909e-05	0.0158152640158624	0	0	6.65984474241355	73.2868881472548	BCL2L11;BCL2A1;SLCO3A1;CLEC16A;HLA-B;TNFRSF14;PSMG1;UBASH3A;STRN4;HLA-DRB1
Sum eosinophil basophil counts	21/173	0.000552748489902003	0.229913151856428	0	0	2.40054143700307	18.0055190349178	IFITM2;GPX4;BCL2A1;NCF4;TCF7;CLEC16A;IKZF1;RUNX1;APBB1IP;SPRED2;DAP;RAD50;BCL2L11;AUH;INPP5D;ELMO1;ST20-MTHFS;RIN3;ATM;IL18R1;BPTF
QRS duration	10/55	0.000739843112050822	0.229913151856428	0	0	3.84403669724771	27.7119388778806	NFIA;FAF1;GOSR2;SAP30L;VTI1A;DLEC1;PRKCA;STRN;SENP2;CCDC141
Rheumatoid arthritis	21/182	0.00107266297456991	0.229913151856428	0	0	2.26526171575936	15.4889783373584	BLK;CEP57;PXK;FCRL3;IFNGR2;PDE2A;PTPN11;TRAF1;ARAP1;TYK2;RUNX1;ETV7;SPRED2;ELMO1;REL;CTLA4;TNFRSF14;ATM;UBASH3A;HLA-DRB1;CDK5RAP2
Eosinophil percentage of white cells	19/160	0.00129218049525972	0.229913151856428	0	0	2.33839825220934	15.553678679941	IFITM3;GPX4;BCL2A1;NCF4;HLA-B;CLEC16A;CDC7;RUNX1;APBB1IP;RAD50;BCL2L11;WNK1;GKAP1;INPP5D;ELMO1;ST20-MTHFS;ATM;IL18R1;BPTF
Eosinophil counts	22/199	0.00145055616313204	0.229913151856428	0	0	2.15876859218264	14.1092975429149	IFITM2;GPX4;BCL2A1;NCF4;HLA-B;CLEC16A;IKZF1;UNC13D;RUNX1;APBB1IP;RAD50;BCL2L11;AUH;WNK1;INPP5D;ELMO1;ST20-MTHFS;RIN3;ATM;IL18R1;BPTF;PELP1
Rheumatoid arthritis (ACPA-positive)	11/74	0.0022901927431928	0.311139042682336	0	0	3.02020202020202	18.3601683837354	BLK;SPRED2;PXK;FCRL3;ACTN1;REL;CTLA4;UBASH3A;TYK2;TRAF1;RUNX1
IgA nephropathy	7/36	0.00306304843991972	0.345636160335963	0	0	4.16749219169006	24.1228810763495	FCRL3;TNFSF13;HLA-B;HLA-A;ACCS;PSMB8;HLA-DRB1
Psoriasis vulgaris	8/46	0.00329517004599682	0.345636160335963	0	0	3.63639868903027	20.7831003548781	ZMIZ1;DDX58;CARM1;HLA-B;ELMO1;REL;TYK2;KLF4
Nasopharyngeal carcinoma	5/20	0.00386575597926629	0.345636160335963	0	0	5.74885844748858	31.9383466074453	CIITA;HLA-B;HLA-A;CLPTM1L;HLA-F
Eosinophil percentage of granulocytes	17/152	0.00424145915211344	0.345636160335963	0	0	2.18190212373038	11.9193994985369	IFITM3;GPX4;BCL2A1;NCF4;CLEC16A;IKZF1;RUNX1;APBB1IP;RAD50;BCL2L11;AUH;GKAP1;INPP5D;ELMO1;ST20-MTHFS;IL18R1;BPTF
Hematological parameters	4/13	0.0043613395625989	0.345636160335963	0	0	7.66058394160584	41.6350900959891	TFR2;AK3;PTPN11;BYSL
Celiac disease or Rheumatoid arthritis	4/14	0.00584283765962284	0.427426047253947	0	0	6.89416058394161	35.4534876037157	SPRED2;ELMO1;TRAF1;UBASH3A
Functional impairment in major depressive disorder, bipolar disorder and schizophrenia	3/8	0.00754134269347911	0.483423886691723	0	0	10.334548769371	50.5086089806034	FCGR3A;ZZEF1;CYB5D2
Dementia and core Alzheimer's disease neuropathologic changes	4/15	0.00762498243993254	0.483423886691723	0	0	6.26708692767087	30.5603542885765	SLCO3A1;SMOX;BIN1;ABCG1
Heart failure	4/17	0.0121797784352666	0.648010847873207	0	0	5.30235822571589	23.372679508537	RPUSD4;GNA15;BTG1;USP3
Survival in pancreatic cancer	5/27	0.0146418799378831	0.648010847873207	0	0	3.91822332918223	16.5500634956871	GTF2H1;HPS5;RUNX2;LGR4;B4GALT4
White matter hyperintensity burden	5/27	0.0146418799378831	0.648010847873207	0	0	3.91822332918223	16.5500634956871	ZDHHC20;FBF1;TRIM47;CDC73;UNC13D
Cold sores	3/10	0.0148778755954734	0.648010847873207	0	0	7.38103919781221	31.0585274329363	HLA-B;HLA-A;HLA-DRB1
Plantar warts	3/10	0.0148778755954734	0.648010847873207	0	0	7.38103919781221	31.0585274329363	HLA-B;HLA-A;HLA-DRB1
Plasma omega-3 polyunsaturated fatty acid level (eicosapentaenoic acid)	4/18	0.0149907872273507	0.648010847873207	0	0	4.92335766423358	20.6796749633386	NFIA;FTH1;RUNX1;BEST1
Response to fenofibrate (adiponectin levels)	4/18	0.0149907872273507	0.648010847873207	0	0	4.92335766423358	20.6796749633386	ZBP1;OAS1;OAS2;OAS3
Systemic lupus erythematosus	30/365	0.0186779881874046	0.701510335108587	0	0	1.55377319012415	6.18465364563595	BLK;PXK;CIITA;NCF2;TNKS;TCF7;ICA1;CLEC16A;MTMR9;CREBL2;IKZF1;PPCDC;SPRED2;FCGR3A;RASSF2;SLC15A4;LYN;RABGAP1L;ZNF184;CMC1;HLA-B;ELP3;HLA-A;TYK2;LRRC63;ETV7;BIN1;UHRF1BP1;HLA-DRB1;SSBP4
Rheumatoid arthritis (ACPA-negative)	3/11	0.019632520996019	0.701510335108587	0	0	6.45806745670009	25.3838723395137	RNASEH2B;HLA-B;HLA-DRB1
Feeling fed-up	5/29	0.0196796620188045	0.701510335108587	0	0	3.59132420091324	14.1073304109553	NEK9;KIAA1109;ACBD4;ACTN1;TCF4
Chronic lymphocytic leukemia	9/74	0.0198767167705957	0.701510335108587	0	0	2.39039695409998	9.36606827066099	GRAMD1B;BCL2L11;CASP10;RFX7;OAS3;CLPTM1L;TSPAN32;STRN4;HLA-DRB1
Alzheimer's disease (late onset)	8/64	0.0235447717211751	0.701510335108587	0	0	2.46520146520147	9.24167418784538	BIN1;INPP5D;RIN3;ATM;SORL1;CD33;HLA-DRB1;PICALM
Itch intensity from mosquito bite	8/64	0.0235447717211751	0.701510335108587	0	0	2.46520146520147	9.24167418784538	KIAA1109;RAD50;IRF1;MAPKAP1;HLA-B;IKZF1;FBXO11;RUNX2
Peripheral arterial disease (traffic-related air pollution interaction)	3/12	0.025124836494471	0.701510335108587	0	0	5.74020054694622	21.1463157271395	WWOX;NSMCE1;UTRN
Polymyositis	3/12	0.025124836494471	0.701510335108587	0	0	5.74020054694622	21.1463157271395	BLK;MMAB;IL18R1
Platelet distribution width	16/170	0.025363174581478	0.701510335108587	0	0	1.79671251257967	6.60194282677475	ANKRD28;TPM4;RNPEPL1;BRF1;ACTN1;SWAP70;DOCK8;TPM1;FAM107B;CLN3;ZMIZ1;ELMO1;EPC1;TLK1;SNX9;SSBP3
Celiac disease	13/130	0.026835506454272	0.701510335108587	0	0	1.91996320147194	6.9464833110559	CIITA;CLEC16A;KIAA1109;ARHGAP31;NFIA;ZMIZ1;ELMO1;REL;CTLA4;TNFRSF14;UBASH3A;IL18R1;CCR2
Amyloid A serum levels	2/5	0.027039444032211	0.701510335108587	0	0	11.4735883424408	41.4249155771303	GTF2H1;HPS5
Extraversion	2/5	0.027039444032211	0.701510335108587	0	0	11.4735883424408	41.4249155771303	GBE1;MTMR9
Type 1 diabetes	10/91	0.0276864226960742	0.701510335108587	0	0	2.13149847094801	7.6452867263225	PSMB1;CLEC16A;CTLA4;PTPN11;IKZF1;UBASH3A;TYK2;DEXI;PGM1;HLA-DRB1
Atopic dermatitis	8/67	0.0300839021270792	0.701510335108587	0	0	2.33947972931024	8.19698734196025	RAD50;NCF4;HLA-B;CLEC16A;DEXI;RNF111;IL18R1;HLA-DRB1
Gut microbiota (bacterial taxa)	8/67	0.0300839021270792	0.701510335108587	0	0	2.33947972931024	8.19698734196025	TGS1;KDM8;NSMCE1;BNIP2;DLEC1;ACAA1;NAPG;MYD88
Platelet count	29/366	0.0313271737427957	0.701510335108587	0	0	1.49151213403264	5.16550831470388	IFITM2;SERPINA1;RNPEPL1;DOCK8;AK3;IRS2;ASAP1;SPINT2;RIC8A;PIEZO1;CD33;ABCC4;BRF1;TPM4;ACTN1;TPM1;HLA-B;PTPN11;TYK2;ARHGAP25;RUNX1;SIRT3;ETV7;TFR2;IRF1;NHP2;UHRF1BP1;RCOR1;PICALM
Airway responsiveness in chronic obstructive pulmonary disease	3/13	0.0313538973973267	0.701510335108587	0	0	5.16590701914312	17.8865227375313	RPTOR;ABCC4;PDSS2
Objective response to lithium treatment	3/13	0.0313538973973267	0.701510335108587	0	0	5.16590701914312	17.8865227375313	SESTD1;TCF3;CCDC141
Neutrophil percentage of granulocytes	14/148	0.0336275056437223	0.701510335108587	0	0	1.80536543800335	6.12454143830009	IFITM3;GPX4;BCL2A1;NCF4;CLEC16A;RUNX1;APBB1IP;BCL2L11;GKAP1;INPP5D;ELMO1;ST20-MTHFS;IL18R1;BPTF
Myositis	3/14	0.0383114707728895	0.701510335108587	0	0	4.69603049639513	15.3184793250555	DDX39B;HLA-B;HLA-DRB1
Neurofibrillary tangles	3/14	0.0383114707728895	0.701510335108587	0	0	4.69603049639513	15.3184793250555	BIN1;RASSF5;HLA-DRB1
Shingles	3/14	0.0383114707728895	0.701510335108587	0	0	4.69603049639513	15.3184793250555	HLA-B;HLA-A;HLA-DRB1
Asperger disorder	2/6	0.0390957389702998	0.701510335108587	0	0	8.60473588342441	27.8943319540071	SLTM;RNF111
Blood pressure measurement (high sodium and potassium intervention)	2/6	0.0390957389702998	0.701510335108587	0	0	8.60473588342441	27.8943319540071	ARL4C;IRAK1BP1
Blood pressure measurement (high sodium intervention)	2/6	0.0390957389702998	0.701510335108587	0	0	8.60473588342441	27.8943319540071	IRAK1BP1;KCNQ1
Erectile dysfunction in type 1 diabetes	2/6	0.0390957389702998	0.701510335108587	0	0	8.60473588342441	27.8943319540071	ALCAM;PHACTR2
