Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
RNA transport	22/165	0.000106493692666535	0.0292857654832971	0	0	2.67689453403739	24.4866914432399	CYFIP2;UPF2;POM121;SEH1L;UBE2I;PABPC4;TRNT1;AAAS;SENP2;FXR2;DDX39B;NUP85;NUP50;TGS1;RPP21;GEMIN4;NUP88;PABPC1;EIF4G2;NUP58;EIF4B;EIF3B
Influenza A	21/171	0.000473048521511193	0.065044171707789	0	0	2.43280815569972	18.6263397170305	MAP2K3;IFNAR2;IVNS1ABP;CIITA;MAP2K2;HSPA1L;DDX58;IFNGR2;PRKCA;TNFRSF10A;ADAR;TYK2;MAPK13;DDX39B;OAS1;IRF3;OAS2;OAS3;EP300;MYD88;HLA-DRB1
Epstein-Barr virus infection	22/201	0.00164974822955958	0.143892690834672	0	0	2.13442024854635	13.6755135370488	LYN;MAP2K3;IFNAR2;GADD45B;DDX58;HLA-B;HLA-A;TYK2;HLA-F;HLA-E;DDB2;MAPK13;NCOR2;BCL2L11;OAS1;IRF3;OAS2;OAS3;RAC1;VIM;HLA-DRB1;MYD88
Endocytosis	25/244	0.00209298459395887	0.143892690834672	0	0	1.98375278751195	12.2380966710117	WIPF1;CXCR4;ASAP1;AGAP3;SNX3;EEA1;SH3GL1;SH3GLB2;PDCD6IP;HSPA1L;HLA-B;HLA-A;ARPC5;ARAP1;HLA-F;HLA-E;EHD1;RAB10;ACAP2;BIN1;CHMP4A;SMAP2;RAB5A;CHMP7;RAB7A
Viral carcinogenesis	21/201	0.00363238269930386	0.149808360209466	0	0	2.02409638554217	11.371103186111	LYN;HDAC4;VAC14;HDAC5;GTF2A2;ACTN1;HLA-B;UBR4;GTF2H1;HLA-A;TRAF1;HLA-F;HLA-E;RBL2;KAT2B;IRF3;REL;EP300;RAC1;PRKACA;YWHAH
Fc epsilon RI signaling pathway	10/68	0.00386164153077866	0.149808360209466	0	0	2.98038595381208	16.5610001134528	MAP2K3;LYN;MAP2K2;ALOX5;INPP5D;PRKCA;FYN;RAC1;SOS2;MAPK13
Notch signaling pathway	8/48	0.00432576628947004	0.149808360209466	0	0	3.45421245421245	18.8018517099509	LFNG;NCOR2;KAT2B;MAML2;DVL1;DVL2;EP300;DVL3
NOD-like receptor signaling pathway	19/178	0.00435806138791173	0.149808360209466	0	0	2.07168414989615	11.2611114502163	IFNAR2;GABARAPL1;HSP90AB1;NEK7;ITPR1;ITPR2;TYK2;GABARAP;MAPK13;DHX33;OAS1;IRF3;NLRP7;OAS2;OAS3;TRIP6;NLRP1;GBP2;MYD88
B cell receptor signaling pathway	10/71	0.00528942377295861	0.161621281951513	0	0	2.83335839975936	14.8525949715382	LYN;IFITM1;MAP2K2;CD72;CD81;INPP5D;RAC1;FOS;BCL10;SOS2
FoxO signaling pathway	15/132	0.00602601391938468	0.165715382783079	0	0	2.21942573555477	11.3449709029571	PRKAB2;GABARAPL1;MAP2K2;GADD45B;PLK2;IRS2;PRKAB1;GABARAP;MAPK13;RBL2;BCL2L11;G6PC3;EP300;ATM;SOS2
Kaposi sarcoma-associated herpesvirus infection	19/186	0.0069683182572908	0.169216842930215	0	0	1.97159981609399	9.79171658855167	IFNAR2;LYN;GABARAPL1;MAP2K2;HLA-B;ITPR1;ITPR2;HLA-A;TYK2;FOS;HLA-F;GABARAP;HLA-E;MAPK13;PREX1;IRF3;EP300;RAC1;CALM1
Colorectal cancer	11/86	0.00738400769150031	0.169216842930215	0	0	2.53535353535354	12.4446275128751	MAP2K2;BCL2L11;MSH2;GADD45B;APC;TCF7;AXIN1;RAC1;FOS;SOS2;DDB2
Phosphatidylinositol signaling system	12/99	0.00807018466560879	0.170715444849417	0	0	2.38501521298174	11.4947690300251	PI4K2B;DGKD;PIP4P1;IMPA2;INPP5D;ITPR1;PIP4K2A;ITPR2;PRKCA;CALM1;MTMR6;CDS2
Glutathione metabolism	8/56	0.0110763499072105	0.204527224043124	0	0	2.87728937728938	12.9562702983753	GGCT;GCLC;GPX1;GPX4;MGST3;ODC1;CHAC2;SRM
