Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Interferon Alpha Response	17/97	1.98526216899799e-05	0.000972778462809014	0	0	3.69275161588181	39.9820660730357	IFITM3;IFITM1;IFITM2;UBA7;ADAR;TMEM140;IFI30;PARP14;PSMB8;PLSCR1;SLC25A28;OAS1;LPAR6;IRF1;TRIM14;CD47;GBP2
Interferon Gamma Response	26/200	4.07351678306874e-05	0.00099801161185184	0	0	2.60534258010659	26.3358938237861	IFITM3;CIITA;IFITM2;BTG1;ADAR;IFI30;SLC25A28;METTL7B;ZBP1;IFNAR2;PTPN1;DDX58;IL10RA;HLA-B;LYSMD2;HLA-A;PARP14;PSMB8;PLSCR1;OAS2;IRF1;OAS3;TRIM14;GPR18;HLA-DRB1;MYD88
heme Metabolism	23/200	0.000666869456141278	0.0108922011169742	0	0	2.25898997529232	16.5198044969438	MAP2K3;CAST;MARCHF2;ARHGEF12;KHNYN;CROCCP2;SMOX;MGST3;GLRX5;NEK7;FOXJ2;PPOX;HEBP1;KAT2B;SLC25A37;GCLC;PGLS;DCAF11;FBXO7;KDM7A;HTATIP2;SIDT2;PICALM
IL-2/STAT5 Signaling	22/199	0.00145055616313204	0.0177693129983675	0	0	2.15876859218264	14.1092975429149	IFITM3;NRP1;GABARAPL1;RABGAP1L;GADD45B;GPX4;CD81;IL10RA;SWAP70;ODC1;TRAF1;CST7;TTC39B;TIAM1;SPRED2;PLSCR1;ALCAM;CTLA4;SNX9;GALM;LTB;IL18R1
TNF-alpha Signaling via NF-kB	21/200	0.0034252414748469	0.0259182835466804	0	0	2.03551291543484	11.5547586352066	MAP2K3;TGIF1;BTG1;GADD45B;BCL2A1;DDX58;PLK2;IFNGR2;IRS2;FOS;TRAF1;KLF4;SLC2A6;ETS2;EHD1;NR4A2;IRF1;REL;TRIP10;ACKR3;IER5
p53 Pathway	21/200	0.0034252414748469	0.0259182835466804	0	0	2.03551291543484	11.5547586352066	CYFIP2;POM121;BTG1;SLC35D1;CD81;PLK2;FUCA1;FOS;IFI30;RCHY1;KLF4;PRKAB1;CDKN2AIP;PITPNC1;DDB2;RAD51C;MAPKAPK3;RAB40C;ANKRA2;IER5;POLH
DNA Repair	17/150	0.00370261193524006	0.0259182835466804	0	0	2.21494872916363	12.4008706166729	RFC5;POM121;GTF2A2;GPX4;GTF3C5;AK3;GTF2H1;GTF2F1;AAAS;SUPT5H;DDB2;NT5C;POLE4;POLA2;POLR1D;NELFB;POLH
Mitotic Spindle	20/199	0.00684307859770031	0.0419138564109144	0	0	1.93678874405131	9.65395750710385	CEP57;SUN2;ARHGEF12;PLEKHG2;DST;LMNB1;BCR;PREX1;TIAM1;AKAP13;NIN;BCL2L11;APC;BIN1;GEMIN4;TLK1;ARHGEF7;PCNT;ARL8A;CDK5RAP2
PI3K/AKT/mTOR  Signaling	12/105	0.0126443698653629	0.0645446567565415	0	0	2.23043168880455	9.74819812375733	MAP2K3;RPTOR;TIAM1;CAB39;MAPKAP1;CAMK4;UBE2D3;ITPR2;CXCR4;PTPN11;RAC1;MYD88
UV Response Up	16/158	0.013595001219179	0.0645446567565415	0	0	1.9497947092147	8.380321216179	LYN;H2AX;BTG1;AMD1;FOS;HLA-F;RXRB;CDC34;BCL2L11;IRF1;PPIF;ACAA1;PRKACA;FKBP4;MARK2;NUP58
Xenobiotic Metabolism	19/200	0.0144896168228971	0.0645446567565415	0	0	1.81774088857769	7.69690199300252	CYFIP2;MCCC2;CYB5A;GABARAPL1;SLC35D1;IGFBP4;SMOX;SPINT2;ETS2;CNDP2;SLC6A6;GCLC;PINK1;SERTAD1;DDAH2;LONP1;GCNT2;GART;FBP1
KRAS Signaling Up	18/200	0.0276140520592314	0.112757379241862	0	0	1.71093416749609	6.14127928984977	NRP1;RABGAP1L;MMD;FUCA1;IL10RA;TMEM176A;USP12;CXCR4;IKZF1;TRAF1;KLF4;PSMB8;NIN;ZNF639;STRN;KCNN4;AVL9;CBR4
mTORC1 Signaling	17/200	0.0499258166926794	0.163091001196086	0	0	1.60548264535368	4.81197994436273	MAP2K3;IDI1;RAB1A;EDEM1;GBE1;IFRD1;UBE2D3;CXCR4;GTF2H1;IFI30;CCT6A;SLC6A6;GCLC;PSMG1;LTA4H;PSPH;PGM1
E2F Targets	17/200	0.0499258166926794	0.163091001196086	0	0	1.60548264535368	4.81197994436273	H2AX;DNMT1;SRSF1;DONSON;BRCA1;DCK;CDC25B;LMNB1;POLE4;POLA2;RAD50;RAD51C;MSH2;NASP;BRMS1L;HNRNPD;TMPO
Myc Targets V1	17/200	0.0499258166926794	0.163091001196086	0	0	1.60548264535368	4.81197994436273	HSP90AB1;STARD7;PABPC4;IFRD1;RPLP0;ODC1;SRSF1;SRM;APEX1;HNRNPD;NHP2;PABPC1;RPS10;CCT5;EIF4G2;CCT4;EIF3B
Wnt-beta Catenin Signaling	5/42	0.0790321009362113	0.242035809117147	0	0	2.32790324571147	5.90798836647894	NCOR2;HDAC5;TCF7;DVL2;AXIN1
G2-M Checkpoint	16/200	0.085519478266424	0.246497319709105	0	0	1.50136370928927	3.69187004580318	H2AX;SLC12A2;RBM14;CUL5;ODC1;AMD1;SRSF1;CDC7;CDC25B;LMNB1;POLA2;CHAF1A;NASP;NUP50;HNRNPD;TMPO
UV Response Dn	12/144	0.0993388088007255	0.270422312846419	0	0	1.56818181818182	3.62127518807102	NRP1;SCAF8;MIOS;ZMIZ1;PRKCE;NEK7;ICA1;AGGF1;PRKCA;FYN;CDK13;RUNX1
IL-6/JAK/STAT3 Signaling	8/87	0.105425806000564	0.271887604948824	0	0	1.74535169471878	3.92660119498513	PTPN1;IFNGR2;IRF1;PTPN11;TYK2;LTB;MYD88;IL18R1
Pperoxisome	9/104	0.118612398837202	0.290600377151146	0	0	1.63292971199768	3.48123347112029	IDI1;MSH2;PEX6;MLYCD;BCL10;PABPC1;ACAA1;HSD17B11;YWHAH
Protein Secretion	8/96	0.15800045093691	0.368667718852791	0	0	1.56610056610057	2.88970203604334	DST;COPB1;GOSR2;ICA1;ARFIP1;RAB5A;SCAMP3;NAPG
TGF-beta Signaling	5/54	0.174516951443721	0.388696846397379	0	0	1.75668623613829	3.06670583419006	TGIF1;NCOR2;APC;IFNGR2;UBE2D3
Hypoxia	14/200	0.21241853141297	0.417873536450579	0	0	1.29703558486307	2.00936330714408	BTG1;GBE1;CXCR4;PRKCA;IRS2;FOS;HK1;SLC6A6;EFNA3;GCNT2;ACKR3;KDELR3;FBP1;PGM1
Glycolysis	14/200	0.21241853141297	0.417873536450579	0	0	1.29703558486307	2.00936330714408	CYB5A;SPAG4;CXCR4;AK3;IRS2;EFNA3;GCLC;NASP;KDELR3;PGLS;ME2;FKBP4;GALK2;B4GALT4
Myc Targets V2	5/58	0.213200783903357	0.417873536450579	0	0	1.62376152321875	2.50955738674802	NDUFAF4;MPHOSPH10;IMP4;SRM;BYSL
Notch Signaling	3/32	0.256711793259136	0.483802994988372	0	0	1.7795555276145	2.41984183154224	LFNG;MAML2;PRKCA
Apoptosis	11/161	0.272525977712778	0.48642056615295	0	0	1.26262626262626	1.64144108379607	IFITM3;DAP;GNA15;BCL2L11;GPX1;GADD45B;GPX4;IRF1;BCL10;BRCA1;CDC25B
Unfolded Protein Response	8/113	0.282525614563321	0.48642056615295	0	0	1.31135531135531	1.65753483520797	H2AX;KHSRP;EDEM1;GOSR2;NHP2;GEMIN4;KDELR3;HERPUD1
Estrogen Response Late	13/200	0.307537516667901	0.48642056615295	0	0	1.19678357250737	1.41119715567171	SERPINA1;IGFBP4;METTL3;XRCC3;FOS;KLF4;MAPK13;NCOR2;TIAM1;IMPA2;PPIF;CHPT1;FKBP4
Allograft Rejection	13/200	0.307537516667901	0.48642056615295	0	0	1.19678357250737	1.41119715567171	LYN;IFNAR2;IFNGR2;NCF4;HLA-A;BCL10;BRCA1;DARS1;HLA-E;CD47;LTB;GBP2;CCR2
Androgen Response	7/100	0.311439300921924	0.48642056615295	0	0	1.29513325266358	1.51083875835234	ELK4;IDI1;ABCC4;UBE2I;ZMIZ1;ACTN1;CENPN
Hedgehog Signaling	3/36	0.317662410548865	0.48642056615295	0	0	1.56352034474186	1.79299206882811	NRP1;TLE1;ETS2
Fatty Acid Metabolism	10/158	0.370422413540283	0.550021159499208	0	0	1.16241011653856	1.15440258282233	IDI1;GABARAPL1;AUH;NTHL1;APEX1;ODC1;MLYCD;ACAA1;HSD17B11;YWHAH
Estrogen Response Early	12/200	0.42066481004507	0.572571547005789	0	0	1.09777847309136	0.950587169667291	NCOR2;TIAM1;MREG;SLC37A1;IGFBP4;PPIF;UNC119;CHPT1;FOS;FKBP4;KLF4;MED13L
Apical Junction	12/200	0.42066481004507	0.572571547005789	0	0	1.09777847309136	0.950587169667291	TIAL1;VASP;CAP1;CDK8;ITGA3;ACTN1;STX4;TRAF1;GTF2F1;SORBS3;YWHAH;MAPK13
Oxidative Phosphorylation	12/200	0.42066481004507	0.572571547005789	0	0	1.09777847309136	0.950587169667291	OXA1L;CYB5A;GPX4;MGST3;UQCRFS1;DLAT;MRPL34;COX5B;ACAA1;ATP6V0C;ATP5F1D;MRPL11
Apical Surface	3/44	0.438689181922733	0.580966754438214	0	0	1.2579095982391	1.03647238837398	LYN;CRYBG1;BRCA1
