Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Ebola Virus Pathway on Host WP4217	19/129	8.11465754499935e-05	0.0194435007968624	0	0	3.0023547220587	28.2799401193329	CD300A;DDX58;ITGA3;ACTN1;HLA-B;HLA-A;HLA-F;HLA-E;TIAM1;IRF3;REL;EP300;RAC1;ITGA5;RAB5A;VPS39;HLA-DRB1;HAVCR2;RAB7A
Interferon type I signaling pathways WP585	11/54	0.000142927350590216	0.0194435007968624	0	0	4.42964529011041	39.2164209308051	RPTOR;MAP2K3;IFNAR2;MAPKAP1;REL;IRS2;FYN;PTPN11;RAC1;TYK2;EIF4B
The human immune response to tuberculosis WP4197	7/23	0.000168099430520425	0.0194435007968624	0	0	7.55878316559927	65.6930436311512	IFNAR2;IFITM1;OAS1;IFNGR2;IRF1;TYK2;PSMB8
Hematopoietic Stem Cell Gene Regulation by GABP alpha/beta Complex WP3657	6/20	0.000543081173636111	0.0471122918129326	0	0	7.39853747714808	55.6240673953845	DNMT1;EP300;ATM;TERF2;ETV6;SMARCA4
Regulation of Microtubule Cytoskeleton WP2038	9/46	0.000777036634579227	0.0539263424397983	0	0	4.20558872346223	30.1121122406867	TIAM1;APC;CAMK4;DVL1;LIMK1;PRKCA;RAC1;PRKACA;MARK2
Androgen receptor signaling pathway WP138	13/90	0.00125030470381911	0.0723092887042053	0	0	2.92355942125951	19.542147024954	TGIF1;UBE2I;RNF6;BRCA1;RUNX2;NCOR2;KAT2B;ZMIZ1;CARM1;EP300;STUB1;RAC1;FKBP4
Regulation of Wnt/B-catenin Signaling by Small Molecule Compounds WP3664	5/17	0.0017703518188303	0.0744671098478251	0	0	7.18721461187215	45.5423386918727	APC;TNKS;AXIN1;DVL2;TCF4
Ciliary landscape WP4352	23/216	0.00188439781686404	0.0744671098478251	0	0	2.06994578107485	12.9871440497123	POM121;RBM14;CNOT6L;WHRN;NEK7;EXOC6B;IFT122;CNOT10;AGPAT2;MSH2;APC;WNK1;GID8;CDH23;DVL3;NUP88;BBS7;RAC1;VIM;CALM1;DCAF11;MAPRE2;ARL8B
Wnt Signaling Pathway WP363	9/52	0.00193142359835858	0.0744671098478251	0	0	3.61761132308742	22.6082544832839	APC;DVL1;AXIN1;DVL2;DVL3;PRKCA;TCF4;RAC1;TCF3
Angiopoietin Like Protein 8 Regulatory Pathway WP3915	16/132	0.00244111987081632	0.0847068595173262	0	0	2.39012597022522	14.3773208803228	MAP2K3;CAP1;PTPN1;PRKAB2;MAP2K2;MAPKAP1;MINK1;IRS2;PRKAB1;MAPK13;RPTOR;TRIP10;MAP4K5;SOS2;FBP1;MAP3K5
