Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Down-regulated by MHV-A59 in murine spleen 5d from GSE146074	206/500	7.88124204081114e-27	1.59201089224385e-24	0	0	2.81987249937336	169.48931637505	CYFIP2;EIF4A2;JPT1;TRAF3IP3;RTCB;ARPC5L;IKZF1;MKI67;FGFR1OP2;CCNL2;KIF21B;PRKCB;SP110;ACTN1;COX7A2L;BIN2;DDX39B;EWSR1;PRKAR1A;XRN2;PRR13;MACF1;ZC3HAV1;PIK3R1;PPP4C;INPP5D;PLCG2;MLEC;NCKAP1L;SNX5;SPTBN1;LYN;PRPF38B;EDEM1;RCC2;LNPEP;EIF1;PRRC2A;HNRNPL;HNRNPM;HNRNPK;PARVG;WNK1;CCDC88C;GRB2;ANP32B;CD22;ITM2C;BTG2;TCF25;GDI2;LIMD1;VSIR;AKAP13;ANXA6;CTSH;CD37;SPTAN1;JAK1;DBNL;PARP1;SYK;PAX5;VAV1;APBB1IP;ITPKB;CSDE1;RAPGEF1;TAX1BP1;PABPC1;ARF5;ARF6;GRAMD1A;SF3B2;SP100;SF3B3;WDR26;AHNAK;ADCY7;PTPA;NSD1;UCP2;RPS3;STAT6;RPL17;SF3B1;CD55;RANBP2;CD74;MAP3K1;PLEKHA2;IL10RA;LAPTM5;KLHL6;ETNK1;STK17B;CTNNB1;RPL22L1;HDGF;PKN1;ESYT1;CRLF3;TARDBP;SIPA1;RIPOR2;DGKD;NCF1;MRFAP1;GIMAP4;NUCKS1;TMEM131L;ETS1;GIMAP8;FAM107B;DOCK10;STK10;CCND2;BNIP3L;PNISR;USP7;TPM4;TPM3;SWAP70;TAP2;ARHGAP45;EEF1A1;MORF4L1;DOK3;KAT6A;NCL;SRSF2;SRSF3;ANAPC5;SELENOT;SRSF6;SRSF7;NOTCH2;DDX6;AK2;UBR4;RASAL3;ZFP36L2;EMG1;GRK6;BTLA;IVNS1ABP;DSTN;ARPC5;NFKB1;MOB1A;DIAPH1;SON;MAN2B1;LSM14A;EIF4G2;LAT;ITGB1;RNF10;YWHAB;DOCK8;ATP2A3;PIK3CD;ARRB2;LSP1;CHD2;LBH;ADGRE5;SNRNP70;ACTR3;ACTR2;GPX4;ITGA4;ARHGEF18;TENT5C;YWHAZ;PTBP3;RASA3;EVL;TMBIM6;LTB;DOCK2;LUC7L2;UNC93B1;LENG8;CDC42;HECTD1;CYTH4;POLR2A;MAT2A;U2AF2;FAM120A;MKNK2;PTK2B;EIF4B;CYTH1;NOP56;PTPN1;SORL1;KLF2;MYO1C;PDCD4;ACIN1;EIF3E;EIF3F;NOP53;EIF3A
Down-regulated by MHV-A59 in murine spleen 3d from GSE146074	191/500	1.84757888153414e-20	1.86605467034948e-18	0	0	2.47566502528525	112.488836134761	ITSN2;EIF4A2;JPT1;RIPOR2;DGKD;TRAF3IP3;ARPC5L;MRFAP1;TMEM131L;IKZF1;ETS1;GIMAP8;FAM107B;STK10;PNN;GOLGA4;CHCHD2;FGFR1OP2;BSG;PIP4K2A;CCNL2;KIF21B;TMEM14C;BNIP3L;PNISR;USP7;CSNK2A1;FNBP1;PRKCB;RPS8;SWAP70;ACTN1;RPL22;PRPF4B;SDHA;TLE5;ARHGAP45;EEF1A1;MORF4L1;COX7A2L;DOK3;DDX39B;PRKAR1A;SRSF2;SRSF3;ANAPC5;RBCK1;SRSF6;SRSF7;PRR13;SF1;NOTCH2;CSF1R;MACF1;DDX6;PIK3R1;RASAL3;ARHGAP15;PRPF8;CNN2;UGCG;EMG1;PPP4C;HNRNPDL;INPP5D;GRK6;SAFB2;MLEC;TXNDC5;IVNS1ABP;PRPF38B;EDEM1;RCC2;ARPC5;CLK4;NFKB1;WAPL;EIF1;PRRC2A;HNRNPL;SETX;GLUD1;HNRNPM;DIAPH1;HNRNPK;SON;PARVG;CCDC88C;GRB2;MAN2B1;LSM14A;LAT;ITM2C;DENND1C;ITGB1;RNF10;BTG2;TCF25;YWHAB;COX4I1;DOCK8;HP1BP3;ATP2A3;PIK3CD;TCF20;ARRB2;LSP1;LIMD1;CHD2;VSIR;AKAP13;LBH;CAPZB;GM2A;ADGRE5;SNRNP70;ANXA6;UBTF;CTSH;CD37;SPTAN1;JAK1;ACTR3;DBNL;GPX4;ITGA4;PARP1;SYK;ARHGEF18;SAFB;TENT5C;VAV1;DNM2;APBB1IP;ITPKB;RASA3;IRF2;RAPGEF1;LUC7L3;TMBIM6;PABPC1;LTB;ARF6;GRAMD1A;SF3B2;WDR26;SELPLG;AHNAK;LENG8;ADCY7;FGD2;CDC42;PTPA;HECTD1;CYTH4;POLR2A;U2AF2;NSD1;UCP2;FAM120A;MKNK2;RPS3;RPL13;PTK2B;STAT6;RPL15;RPL17;WASF2;EIF4B;CD55;CYTH1;CD74;MAP3K1;PLEKHA2;LAPTM5;MYO9B;SORL1;KLF2;SOD1;MYO1C;STK17B;PDCD4;CTNNB1;ACIN1;RPL22L1;PKN1;EIF3F;ESYT1;CRLF3;NOP53;SIPA1
Down-regulated by SARS-CoV-2 in A549-ACE2 treated with Trifluoperazine from GSE154613	179/500	5.65586210162827e-16	3.80828048176304e-14	0	0	2.22482199625658	78.1105389181322	GOLT1B;CSE1L;SPPL2A;MSMO1;NUCKS1;NR3C1;IPO7;TOMM20;FAM107B;PTAR1;CAPN7;SACS;CPNE3;KNTC1;PRKACB;KPNA3;B2M;SLC35A5;TMPO;BIVM;BNIP3L;PRKAB2;GIN1;RALGAPA1;SACM1L;SLC30A5;ATP11B;SCAMP1;UHMK1;ARMC1;TMX3;LACTB2;SUB1;GPD2;HAT1;ANAPC4;PHIP;KDELR2;ARL8B;TMEM87A;UBA6;ANKRD12;IREB2;NMD3;TXN;ARPP19;RLF;GSPT1;RTN4;ORC5;MBTD1;NPAT;SDCBP;PPP3R1;SCFD1;FIGNL1;RAD21;ESD;DHX36;SNX5;TRMT1L;ANKRD28;NDFIP1;XRCC4;PAICS;SMAD5;FBXO30;PUM2;AIMP1;PAN3;ARL2BP;UBLCP1;OSTC;SP3;ACER3;CHMP2B;DNAJC10;CDK1;RAD17;DHX29;STT3B;FBXL5;TMEM19;ITM2B;ATR;CEP57;ARF4;RNF14;YWHAB;HEXB;PAK1IP1;SNX13;PIK3C2A;MRPL42;EPM2AIP1;XPO1;IMPA1;XPO4;YWHAQ;AP1G1;UBE2Q2;PGM3;POLI;UQCRFS1;ME2;ZNF765;ARL5A;METTL15;SPG11;SCYL2;ACTR3;TTC37;USP47;PDCD6IP;LRRC40;C6ORF62;PLRG1;PTBP3;RAP2A;KIF2A;POC5;HEATR5B;MED21;ZNF638;AGPS;G2E3;TAX1BP1;TMEM106B;STRAP;EXOC6;BIRC6;DLD;SOS2;PAFAH1B1;VAMP3;USP14;PCNA;NUFIP2;MRPS35;RAP1GDS1;TUBD1;HSD17B12;TFPI;FAM214A;HSPA13;NR2C1;MALT1;TM9SF3;RAD54B;EXTL2;ERMP1;CAND1;HECTD2;MAT2A;RAB23;PERP;TDG;EMC2;POC1B;CHML;SF3B1;RANBP2;SUZ12;RRM1;SLC35A3;C1GALT1;LRPPRC;RAB11A;NEDD1;SPCS3;DPY19L1;MPHOSPH9;KLHL5;ETNK1;MGAT4A;CAPZA2;EIF3E;ATXN10;NUP37
SARS perturbation Down Genes PBMCs GDS1028:GPL201	93/220	1.26009745099369e-13	6.36349212751812e-12	0	0	2.89429814012357	85.967650711211	EIF4A2;SPON2;DAZAP2;ITK;IFITM2;CELF2;GDI2;PLEK;CTSW;IKZF1;CD3D;MYOM2;LAPTM4A;RGS2;XPO1;CCND2;CASP8;GNLY;TNFSF10;CCR7;JAK1;CAP1;CD53;CAST;ACTR3;ACTR2;ST6GAL1;PRKCH;ITGA4;RPL22;DYRK1A;ADAM10;HLA-A;BTN3A2;RUNX3;YWHAZ;TGFBR2;ARL4C;RBL2;MORF4L1;PRKAR1A;OAS2;CSDE1;ARHGEF3;KLRF1;LUC7L3;CD48;LCP1;LTB;PPIA;CD44;MACF1;KHDRBS1;TCF7;LEF1;GATA3;MAT2B;RASGRP1;ZFP36L2;IFI16;CCL5;TBX21;RAB29;SNRPB2;RPL15;BUB3;RPL17;SF3B1;EIF4B;SMARCE1;CD74;CD164;HSPA8;NPM1;GCH1;STAT1;IL10RA;RSRC2;KLF2;PUM2;GZMK;HNRNPK;SON;CLEC2B;NACA;IL2RB;HLA-DPB1;PDCD4;HLA-DRA;EIF3E;CRLF3;IL7R;EIF4G2
Down-regulated genes from COVID-19 infected bronchoalveolar lavage from patients	140/384	1.77971568236181e-13	7.1900513567417e-12	0	0	2.2777830848912	66.869225581842	CD86;ACAA2;CD83;AQP3;ACTB;ACTG1;CCDC28A;CNDP2;ALKBH5;CHCHD2;BSG;ARHGDIB;ARL6IP5;AKT1;BANF1;CIAO2A;B2M;AP2M1;ARRDC4;ATG3;BNIP3L;ACOT7;APLP2;CIRBP;ADAM10;ANXA11;ACTN4;CFDP1;BIN2;CDC37;ACOT2;CMPK1;ANAPC5;CD101;ARL8B;CD151;BRI3;C9ORF78;CIAO1;ACAT1;CNN2;CLEC7A;BLOC1S2;ALDH3B1;ATP6V1H;ATP6V1D;AKIRIN2;CD164;AKIRIN1;CCZ1B;ADA2;ARPC5;CCT6A;CDK9;BST1;COQ2;ARL2BP;ARPC2;CCPG1;CDK4;BHLHE40;CHMP2B;ANP32B;COPS9;ARF4;BTG2;ACADVL;B4GALT1;ADPGK;CALCOCO2;ARPC1B;AMD1;APIP;AKR1B1;ALAD;ADGRE5;CAPZB;C1QBP;CD37;ACADM;COLGALT1;CD53;ACTR3;CBR1;ACTR2;ANXA1;ANXA2;AGTRAP;COMMD3;AHSA1;AP3B1;C1ORF43;C6ORF62;COMMD1;ARFGAP3;APRT;APBB1IP;CAT;ATP6V1B2;AIDA;CD302;ALDOA;ARF5;CD44;ARF6;BECN1;ASAH1;CDC123;AHNAK;CAB39;ATF6B;BCL2A1;CLEC12A;CAPG;AIF1;CDC42;APOL4;CLN3;ATP5F1A;ATP5F1B;ALOX5;CLPTM1;BNIP2;BAK1;BUB3;CCT7;CCT5;CD55;CMTM7;CCL24;CD74;CHURC1;CMTM3;CLCN7;APEX1;CAPZA1;CAPZA2;BAX;CD68;C1QC
COVID-19 patients BALF down	119/325	8.34347032856103e-12	2.80896834394888e-10	0	0	2.28665855974006	58.3316122939527	VKORC1L1;CYBC1;EMC10;ZDHHC7;NADSYN1;AQP3;FCGRT;KHSRP;RPS6KA1;AKT1;PIEZO1;BANF1;CMTR1;SLC12A9;CHID1;IL4R;NUP210;SLC11A1;HLA-B;CYBA;TBC1D2B;LEMD2;UNC13D;HLA-E;PDIA4;TLE5;STIM1;HGS;CD101;SF1;GLYR1;SNRPB;TBC1D9B;SEL1L;SYNGR2;DPP7;SYMPK;PIP5K1C;NLRP1;AP1M1;EDEM2;RMDN3;ADA2;TOR1B;IFFO1;SLC6A6;PARVG;TOLLIP;ACER3;OGDH;STT3A;GPR107;MAN2B1;RETREG2;LRP10;ITGB1;LGALS3BP;DAZAP1;ACADVL;ITGAM;PRKCSH;ITGB2;LSP1;HK1;ADGRE5;SIN3B;SNRNP70;PPP6R2;PSD4;ITGAX;CD37;COLGALT1;TRIM65;POLG;ITPK1;VPS37C;TMC8;TMC6;TYK2;KCNAB2;SUMF2;DDOST;DDB1;ITPKB;GORASP1;ATG4B;TMBIM6;MAN1B1;TKT;GART;SMARCD1;TOMM40;UNC93B1;MVP;ATP10A;SLC3A2;ADCY7;PRAM1;AKAP1;TM9SF3;PTPA;GGA1;NCLN;SH3TC1;ALOX5;LMAN2;LMNA;PTK2B;APOL2;LRRC25;MBD1;XAB2;DHRS7;SHKBP1;NUCB1;BAX;PNPLA6;LTBR;C1QC
SARS Perturbation Up Genes Mouse Lung from GSE19137:GPL1261:4	102/276	1.38251594352117e-10	3.98954600844681e-09	0	0	2.31525981049626	52.5609030623689	GLTP;IFITM3;IFI30;COX6A1;ACTB;ICAM1;ACTG1;CNDP2;PNP;BASP1;FAM53B;PXDC1;B2M;RSAD2;TPM3;RNASE6;ACSL5;HLA-A;MPEG1;TYROBP;TMEM259;RPL28;SNRPB;CSF1R;LXN;GNS;AGER;MYL12A;MYL12B;HELZ2;PLAC8;PRPSAP1;CNN2;RNF213;SYNGR2;CLEC7A;UBC;HLA-DQA1;EGR1;HSPA8;HLA-DRB5;PRELID1;PHF11;TMA7;HOPX;ISG20;ARPC2;REEP5;FXYD5;XAF1;ITM2B;RNF187;RTP4;YWHAB;COX4I1;ITGB2;MS4A7;SIRPB1;MAP1LC3B;TUBA1B;LASP1;GM2A;EFHD2;CTSH;TSPO;SPTAN1;ANXA2;PRMT2;TUBB;SERPINB9;KIF22;TAPBP;MS4A6A;TUBB2A;OAS1;COL6A2;IRF1;IRF8;TMBIM6;MFGE8;HLA-DQB1;SAMHD1;COX5A;HLA-DMA;IFI16;MKNK2;GBP2;GBP4;GBP3;MAPK3;CD74;STAT1;LAPTM5;KLF2;PSMB9;FKBP1A;FCGR2A;EIF3F;VIM;LIMS2;SIPA1;RAN
Up-regulated by MHV-A59 in murine spleen 3d from GSE146074	160/500	5.17478607929659e-10	1.30663348502239e-08	0	0	1.86617534714421	39.9026600473902	CYFIP2;IFITM3;FCMR;NCF1;RPL31;GIMAP4;NUCKS1;ENO1;IFIT1;MKI67;ACTB;ACTG1;DOCK10;LAPTM4A;RNF114;CCND2;PSMD2;GPBP1;ARHGDIB;EPSTI1;AKT1;B2M;HERC6;ZBP1;DAXX;IK;MAP2K1;NUP210;TPM4;RSAD2;TPM3;SP110;TAP2;CYBA;MPEG1;PDIA4;TYROBP;BIN2;KAT6A;NCL;XRN2;PHIP;SELENOT;FKBP4;RPL28;PPIA;SNRPB;ILRUN;SP140;ITPR1;UBR4;ZC3HAV1;GNS;ZFP36L2;HSP90B1;PLAC8;HELZ2;STIP1;LDHA;RNF213;SNX2;UBC;PLCG2;BTLA;TNFRSF14;SNX5;SPTBN1;GSDMD;LYN;CD164;HSPA8;HSPA4;DSTN;ISG15;PA2G4;PARP14;CCT6A;MOB1A;ARPC2;WNK1;ANP32B;EIF4G2;ITM2B;OGFR;DAZAP2;WDR1;ARPC1B;ITGB2;GDI2;PLEK;PTPN22;TUBA1B;CASP8;SUMO2;CNTRL;CTSC;CTSB;EIF5A;CAP1;CD53;ACTR2;PAX5;YWHAZ;PTBP3;TAPBP;OAS2;CSDE1;IRF1;IRF8;BIRC6;EVL;LCP1;MFGE8;DOCK2;GAPDH;ARF5;SLFN5;SP100;SF3B3;NUFIP2;UNC93B1;MVP;DDX21;U2AF1;SAMHD1;AIF1;COX5A;PSMA7;MAT2A;CCT7;GBP2;SF3B1;CCT5;GBP4;GBP3;NOP56;RANBP2;PTPN1;USP25;NPM1;STAT1;IL10RA;MX1;SSRP1;HNRNPAB;PML;DNAJA1;ZNFX1;ETNK1;POU2AF1;CAPZA1;CAPZA2;EIF3E;HDGF;P4HB;VIM;PIK3AP1;EIF3A;MYO1F;C1QC
Down-regulated by SARS-CoV-2 infection in Vero E6 from GSE153940	146/447	6.21094766949257e-10	1.39401269915278e-08	0	0	1.92149150130538	40.7347310261293	SCARB2;VPS29;ACAA2;NCF2;ECI2;NDUFA10;BCCIP;CISD2;MSMO1;NUCKS1;GHITM;MICOS13;FAM107B;PAIP2B;TFG;MAGOH;ARL6IP5;CPNE3;FAM3C;HMGN3;SLC39A1;MCCC2;DDX18;BNIP3L;IK;PHYH;APLP2;TMOD3;CIRBP;ATP11A;PLPP5;TMX4;MSH2;LACTB2;HAT1;CMPK1;ANAPC5;SELENOT;PPIA;XPR1;PRR13;IFNAR1;COX15;CCDC25;SEL1L;VPS26A;GNS;NDRG1;ACAT1;GNG10;G3BP2;THEM4;LTA4H;BBS2;NEK9;NDFIP1;NRDC;EPHX1;CYBRD1;LYZ;ACADSB;SLC6A6;CCDC88A;ARL2BP;FMC1;MKRN1;SPATS2L;SFXN1;TPP1;STT3B;ITM2B;MRS2;PIGT;PIGN;CALCOCO2;HEXB;SNAP23;SRP54;EFCAB14;MRPL42;SCPEP1;PTER;CASP6;ACADM;CTSB;TPI1;TSC22D1;STRADB;BCKDHB;CKAP2;AP3B1;COMMD7;DDOST;UCHL5;DARS1;TGFBR1;DDB1;PSMA5;RBL2;RNF167;PSMA3;BDH2;RRM2B;IVD;AGPS;CAT;MCM3;TMEM106B;STRAP;EAPP;CD44;B4GALT4;PFDN6;VAMP3;ASAH1;AHCY;WBP2;ATP10D;SRBD1;GBA;POMP;NDUFB2;SELENOF;MAT2B;ERMP1;RAB29;CTNNA1;RBBP9;PAIP1;CYB5B;NDUFA9;H2AZ2;RRM1;KIDINS220;YIPF4;YIPF5;RPA1;PLXDC2;FKBP1A;ERP44;DPY19L1;GLB1;CAPZA2;PDCD4;YPEL5;CLUAP1
Up-regulated by SARS-CoV-2 in liver organoids from GSE151803	159/500	9.72727231755638e-10	1.96490900814639e-08	0	0	1.84848385304991	38.3577357690917	N6AMT1;IFITM3;NUP107;IFITM2;LPGAT1;MTRR;SYS1;NAB1;IFIT5;MRFAP1;UBE2L6;ENO1;ZFAND1;IFI30;CWC27;PWP1;ZDHHC2;ALKBH8;ICAM1;IL27RA;CCDC91;ZC3H12A;RUVBL1;C1RL;MAP3K8;KIF21B;SLC39A1;B2M;TRIM21;TRIM22;IFNAR2;DDX18;IL15RA;GIN1;SLC35C1;TAP2;GOLPH3L;RECQL;GTF2F2;HLA-E;PRPF4;MTAP;NEIL2;TMEM138;NCL;SUB1;MRTO4;CMPK1;SRSF3;ALPK1;GNE;UBA6;ANKRD12;BCL10;DDX60;HIGD1A;HIF1A;RASGRP3;SDCBP;LDHA;IRAK2;SSR1;ZNF146;ARSB;APOBEC3F;RAB27A;DSTN;GGH;NMI;PARP14;AP4B1;NFKB1;IL7;OSTC;BCL3;BHLHE40;RFXAP;PSMG1;SP140L;ZNF136;TNFAIP8;FKBP14;APIP;PITPNC1;PANX1;MAP1LC3B;CASP7;CASP10;KYNU;ENSA;PGM3;PGM2;TRIM69;NANS;IFT57;IKBKE;ZIK1;RAB8B;CAP1;KLF10;TPI1;BTN3A1;PARP1;RIPK2;TUBB;BTN3A3;BTN3A2;SENP2;LRRC42;ETV6;SENP1;PLSCR1;POC5;OAS2;MED21;IRF1;RASA2;MCM3;SNRPA1;NCOA7;NSRP1;SLFN5;SP100;PCNA;RGS19;TUBD1;DDX21;TFPI;HSPA13;NR2C1;TMA16;OGFRL1;HLA-DMA;ARL13B;IFI16;MTHFD1L;CHSY1;BMS1;TGS1;TAF1A;LEO1;STX6;CCL2;CHML;MTA3;APOL2;GBP3;IL32;NPM1;ERAP2;STAT1;MX1;PSMB9;NEDD1;SPCS3;NIN;OSTM1;KLHL5;PDCD2
