Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
combined oxidative phosphorylation deficiency	18/37	0.000116165440475828	0.0156823344642368	0	0	3.70053420599915	33.5286723070257	TSFM;AARS2;PNPT1;ELAC2;RMND1;MICOS13;MTO1;FARS2;TXN2;GTPBP3;MRPL44;TUFM;SLC25A26;ATP5F1A;LYRM4;C1QBP;NARS2;TARS2
disorder of organic acid metabolism	10/18	0.00108131464644547	0.0729887386350691	0	0	4.87644101054697	33.3040328438318	BCKDHA;MCCC2;GCDH;MCEE;PCCA;MMAB;IVD;BCKDHB;MMUT;ACAT1
familial adenomatous polyposis 1	4/5	0.00728614876901816	0.220201832668169	0	0	15.5885378398237	76.7233562966248	APC;MSH2;PMS2;MLH1
peroxisome biogenesis disorders	8/16	0.00799469304170032	0.220201832668169	0	0	3.89924000980632	18.8293416007316	PEX16;GNPAT;PEX7;PEX3;PEX6;AGPS;PEX1;PEX26
lynch syndrome	5/8	0.011424024241816	0.220201832668169	0	0	6.49599869345092	29.0503448940255	MSH2;PMS2;MLH1;PMS1;TGFBR2
noonan syndrome	5/8	0.011424024241816	0.220201832668169	0	0	6.49599869345092	29.0503448940255	MAP2K1;RIT1;BRAF;KRAS;PTPN11
acute myeloid leukemia	9/20	0.0114740937320207	0.220201832668169	0	0	3.19046769806946	14.2539360945777	NUP214;MLLT10;NPM1;NSD1;KRAS;JAK2;LPP;ETV6;RUNX1
rasopathy	7/14	0.0130489974914471	0.220201832668169	0	0	3.89852941176471	16.9158905310851	MAP2K1;RIT1;NF1;BRAF;PTPN11;KRAS;ARHGAP26
familial erythrocytosis	4/6	0.0183167807314108	0.248813801903509	0	0	7.79377908400686	31.1746304675172	EGLN1;VHL;JAK2;SH2B3
bardet-biedl syndrome	8/18	0.0184306519928525	0.248813801903509	0	0	3.11899975484187	12.4564744901505	BBS2;BBS1;BBS10;ARL6;MKS1;BBS9;BBS4;SDCCAG8
neurodegeneration with brain iron accumulation	5/9	0.0214104871897695	0.262765070056262	0	0	4.87169279764821	18.7261753337774	DCAF17;PANK2;ATP13A2;PLA2G6;FTL
carcinoma of colon	11/30	0.0295976389623944	0.308614785551832	0	0	2.25755384535923	7.94672653671357	FLCN;APC;MSH2;AKT1;PMS2;CTNNB1;MLH1;BUB1;PMS1;TGFBR2;BMPR1A
pontoneocerebellar hypoplasia	7/16	0.0297184608309171	0.308614785551832	0	0	3.0318082788671	10.6597980386224	RARS2;TSEN34;EXOSC9;VPS53;VRK1;TSEN2;EXOSC3
leigh syndrome	6/13	0.0331009501428132	0.319187733519985	0	0	3.34077782056219	11.3860165574014	PDHX;COX15;PDHB;SDHA;DLD;LRPPRC
familial colorectal cancer	7/17	0.041820481843946	0.361049493590341	0	0	2.72845588235294	8.66112594323017	APC;MSH2;PMS2;MLH1;PMS1;TGFBR2;BMPR1A
