Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
neutrophil activation involved in immune response (GO:0002283)	159/483	5.51458851200982e-11	2.55987198727496e-07	0	0	1.94759608131553	46.0042429648045	FCN1;CDA;GHDC;ATP8A1;TMEM179B;RAB3D;SRP14;STK10;PNP;PSMD2;TOM1;CPNE1;COTL1;CPNE3;OSTF1;B2M;GOLGA7;KCMF1;ARSA;SLC11A1;ADAM10;ATP11B;CYBA;ARMC8;ATP11A;SCAMP1;ATAD3B;UNC13D;ARHGAP45;EEF1A1;RAB31;TYROBP;DOK3;BIN2;RAB37;CSNK2B;PPIE;ADAM8;PPIA;FTL;RAB5C;BRI3;PSMD13;UBR4;IQGAP2;GNS;PLAC8;CNN2;TRPM2;SDCBP;CRACR2A;COMMD9;DPP7;ALDH3B1;NEU1;MLEC;NCKAP1L;LTA4H;RAB6A;ATG7;SLC15A4;ATP6V1D;ARSB;AP1M1;TXNDC5;ATP6V0A1;GSDMD;HSPA8;XRCC5;RAB27A;GGH;ADA2;PA2G4;ARPC5;LYZ;PRDX6;NFKB1;BST1;DIAPH1;TOLLIP;MAN2B1;CDK13;SIGLEC9;ITGAM;B4GALT1;HEXB;SNAP23;ITGB2;GDI2;LPCAT1;SLC2A3;HMGB1;SIRPB1;ALAD;HEBP2;GLIPR1;FCGR3B;GM2A;ADGRE5;ITGAX;PGM2;CTSH;CD36;RAC1;SNAP29;SPTAN1;CTSC;CTSB;CD53;CAP1;ACTR2;SERPINB1;MANBA;DBNL;ANXA2;SYK;DYNLT1;PGAM1;RNASET2;TUBB;PLAUR;COMMD3;TMC6;KCNAB2;TNFRSF1B;DDOST;SERPINB6;APRT;PSMA5;CAT;PECAM1;ALDOA;DOCK2;DNASE1L3;PAFAH1B2;CD44;ASAH1;PDXK;CANT1;CAB39;CLEC12A;MVP;LILRA2;PSMB7;CAND1;ALOX5;CD55;LILRB2;CPPED1;RAB10;ERP44;TSPAN14;FCGR2A;VAPA;RAB14;GLB1;S100P;YPEL5;CD68
neutrophil degranulation (GO:0043312)	156/479	2.04530566418037e-10	4.74715444656264e-07	0	0	1.91542498186598	42.7337130266269	FCN1;CDA;GHDC;ATP8A1;TMEM179B;RAB3D;SRP14;STK10;PNP;PSMD2;TOM1;CPNE1;COTL1;CPNE3;OSTF1;B2M;GOLGA7;KCMF1;ARSA;SLC11A1;ADAM10;ATP11B;CYBA;ARMC8;ATP11A;SCAMP1;ATAD3B;UNC13D;ARHGAP45;EEF1A1;RAB31;TYROBP;DOK3;BIN2;RAB37;CSNK2B;PPIE;ADAM8;PPIA;FTL;RAB5C;BRI3;PSMD13;UBR4;IQGAP2;GNS;PLAC8;CNN2;TRPM2;SDCBP;CRACR2A;COMMD9;DPP7;ALDH3B1;NEU1;MLEC;NCKAP1L;LTA4H;RAB6A;ATG7;SLC15A4;ATP6V1D;ARSB;AP1M1;TXNDC5;ATP6V0A1;GSDMD;HSPA8;XRCC5;RAB27A;GGH;ADA2;PA2G4;ARPC5;LYZ;PRDX6;NFKB1;BST1;DIAPH1;TOLLIP;MAN2B1;CDK13;SIGLEC9;ITGAM;B4GALT1;HEXB;SNAP23;ITGB2;GDI2;LPCAT1;SLC2A3;HMGB1;SIRPB1;ALAD;HEBP2;GLIPR1;FCGR3B;GM2A;ADGRE5;ITGAX;PGM2;CTSH;CD36;RAC1;SNAP29;SPTAN1;CTSC;CTSB;CD53;CAP1;ACTR2;SERPINB1;MANBA;DBNL;ANXA2;DYNLT1;PGAM1;RNASET2;TUBB;PLAUR;COMMD3;TMC6;KCNAB2;TNFRSF1B;DDOST;SERPINB6;APRT;PSMA5;CAT;PECAM1;ALDOA;DOCK2;PAFAH1B2;CD44;ASAH1;PDXK;CANT1;CAB39;CLEC12A;MVP;PSMB7;CAND1;ALOX5;CD55;LILRB2;CPPED1;RAB10;ERP44;TSPAN14;FCGR2A;VAPA;RAB14;GLB1;S100P;YPEL5;CD68
interferon-gamma-mediated signaling pathway (GO:0060333)	38/70	4.18106801053746e-10	6.4695059016383e-07	0	0	4.65761607804396	100.582542951671	SP100;CAMK2D;IFI30;ICAM1;OASL;TRIM8;TRIM5;JAK2;GBP2;B2M;TRIM21;GBP1;CAMK2G;TRIM22;HLA-DQA1;HLA-DPA1;JAK1;HLA-DRB5;STAT1;IFNGR2;HLA-B;HLA-A;HLA-F;HLA-G;PML;HLA-E;OAS1;IRF3;OAS2;IRF1;IRF2;HLA-DPB1;IRF8;HLA-DRA;IRF5;CD44;HLA-DRB1;HLA-DQB1
neutrophil mediated immunity (GO:0002446)	156/487	7.8422948391759e-10	9.10098316086364e-07	0	0	1.86817157907438	39.1686820756703	FCN1;CDA;GHDC;ATP8A1;TMEM179B;RAB3D;SRP14;STK10;PNP;PSMD2;TOM1;CPNE1;COTL1;CPNE3;OSTF1;B2M;GOLGA7;KCMF1;ARSA;SLC11A1;ADAM10;ATP11B;CYBA;ARMC8;ATP11A;SCAMP1;ATAD3B;UNC13D;ARHGAP45;EEF1A1;RAB31;TYROBP;DOK3;BIN2;RAB37;CSNK2B;PPIE;ADAM8;PPIA;FTL;RAB5C;BRI3;PSMD13;UBR4;IQGAP2;GNS;PLAC8;CNN2;TRPM2;SDCBP;CRACR2A;COMMD9;DPP7;ALDH3B1;NEU1;MLEC;NCKAP1L;LTA4H;RAB6A;ATG7;SLC15A4;ATP6V1D;ARSB;AP1M1;TXNDC5;ATP6V0A1;GSDMD;HSPA8;XRCC5;RAB27A;GGH;ADA2;PA2G4;ARPC5;LYZ;PRDX6;NFKB1;BST1;DIAPH1;TOLLIP;MAN2B1;CDK13;SIGLEC9;ITGAM;B4GALT1;HEXB;SNAP23;ITGB2;GDI2;LPCAT1;SLC2A3;HMGB1;SIRPB1;ALAD;HEBP2;GLIPR1;FCGR3B;GM2A;ADGRE5;ITGAX;PGM2;CTSH;CD36;RAC1;SNAP29;SPTAN1;CTSC;CTSB;CD53;CAP1;ACTR2;SERPINB1;MANBA;DBNL;ANXA2;DYNLT1;PGAM1;RNASET2;TUBB;PLAUR;COMMD3;TMC6;KCNAB2;TNFRSF1B;DDOST;SERPINB6;APRT;PSMA5;CAT;PECAM1;ALDOA;DOCK2;PAFAH1B2;CD44;ASAH1;PDXK;CANT1;CAB39;CLEC12A;MVP;PSMB7;CAND1;ALOX5;CD55;LILRB2;CPPED1;RAB10;ERP44;TSPAN14;FCGR2A;VAPA;RAB14;GLB1;S100P;YPEL5;CD68
establishment of protein localization to membrane (GO:0090150)	40/83	1.40622522582775e-08	1.23701659072205e-05	0	0	3.64783560604755	65.9520352276002	RTP4;MACF1;SYS1;NCF1;ARL6;ZDHHC24;ZDHHC7;ZDHHC21;ZDHHC2;SYNE3;ZDHHC3;ZDHHC4;RABGEF1;C16ORF70;SDCBP;GOLGA4;KIF13A;GOLGA7;SPTBN1;SEC63;BBS2;ATG3;BBS1;RAB3IP;RFTN1;GOLPH3L;BRAF;ZDHHC11B;RAB11A;RAB11B;RAB10;RAB31;MYO1C;NPC1;RILPL2;RILPL1;ATG4C;EXOC4;ATG4B;OPTN
protein complex assembly (GO:0006461)	72/189	1.59890123746925e-08	1.23701659072205e-05	0	0	2.42107481559536	43.4615954728754	DPAGT1;NCF1;PDCD6;AKR1B1;TNF;GOLGA2;PPP6C;CASP8;TFG;OPA1;RUVBL1;ZC3H12A;PPP6R3;TRAPPC12;DNM1L;CTSC;TLE2;SEC13;TLE1;TRAPPC2L;DBNL;AFG3L2;TRAPPC6A;TBC1D20;BIN2;TRAPPC6B;GORASP1;SEC22B;CRK;DGKH;KHDRBS1;CDC123;CAMK2D;AHNAK;CUL3;RAB1B;GOSR2;TCF7;LEF1;KLHL12;BCL10;RASGRP1;MALT1;LMAN1;SCFD1;SNX2;RBBP5;LEO1;NLRP3;STX5;HACL1;NLRP1;STX2;CAMK2G;SEC31A;ANKRD28;GSDMD;FARP2;TRAPPC3;TCF7L2;SEC24B;NPM1;TRAPPC4;SEC16A;TRAPPC10;TRAPPC5;TRAPPC9;SEC23IP;CNIH1;APC;BAX;CTNNB1
intracellular protein transport (GO:0006886)	114/347	3.22542064310984e-08	2.13891466075941e-05	0	0	1.93097398858605	33.3085624549918	VPS29;NUP107;PDCD6;CSE1L;RAB3D;HIKESHI;TNF;IPO7;RAB43;IPO9;STX16-NPEPL1;AKT1;TBC1D22A;VPS36;TBC1D10A;TBC1D22B;NUP214;RAB2B;STX8;STX7;TSC2;TBC1D2B;RAB31;RAB37;CDC37;KDELR2;TSNARE1;VPS28;TBC1D9B;RAB5C;FUT10;VPS26A;VPS26B;SNX1;NUP88;AP4S1;RAB6A;TBC1D17;TBC1D15;SEC31A;RABGAP1L;NUP155;SMURF1;SYNRG;RABL2A;RAB27A;NUP153;SNF8;AP4B1;EHD1;APPBP2;BCL3;RAB5A;CEP57;RPAIN;SNX13;XPO1;XPO4;XPO5;KIF13A;TLK1;TMED5;RAB8A;TNPO3;TMED4;RAB8B;EIF5A;SEC13;NUP133;STRADB;TBC1D8;AP3B1;ARFGAP3;TBC1D1;TBC1D2;CTTN;TBC1D4;TBC1D5;NUP50;PICK1;SLU7;NAPB;UNC93B1;RAB1B;TRAK1;NAPG;GGA2;GGA1;SNX27;RAB23;STX6;RAB29;STX5;RAB28;STX2;RANBP2;CD74;NPM1;RANBP3;STAT3;AP3D1;SORL1;RAB11A;RAB11B;RAB10;SEC23IP;MCM3AP;MYO1C;RAB14;RAB15;SGSM3;RANGRF;VPS45;RAN
endosomal transport (GO:0016197)	82/229	4.41490503882089e-08	2.56054446368109e-05	0	0	2.19591497023279	37.1893449057253	DENND1C;WASHC4;VPS29;DENND1B;SYS1;DENND1A;WASHC2C;GCC2;WASH2P;WASHC2A;KIF13A;TOM1;DENND5A;TRIM27;VPS36;TBC1D10A;VPS39;SCYL2;PLEKHJ1;STX8;VPS33A;VPS37C;VPS37A;AP5B1;BET1L;ARL4C;HEATR5B;HGS;TBC1D5;UBA52;STAM2;VPS28;VAMP3;ARF6;TMEM87A;BECN1;TSG101;GOSR2;GOSR1;CLEC16A;VPS26A;DENND3;VPS26B;TRAK1;SNX1;SNX2;AP5M1;SNX27;VPS53;UBC;VPS52;VTI1A;MICALL2;STX6;MVB12A;RAB29;STX5;VPS54;RAB6A;TBC1D17;RAB11FIP3;YKT6;SNX5;VPS16;MON2;ANKRD27;SNF8;NSG1;WASH3P;RAB11B;KLHL20;EHD1;RGP1;RAB10;EHD3;HOOK2;RAB14;ALMS1;CHMP2B;UBE2O;CORO7;RAB5A
response to cytokine (GO:0034097)	56/138	4.9644334711611e-08	2.56054446368109e-05	0	0	2.68206763437022	45.1080368377656	IFITM3;IFITM2;CALCOCO2;AFF3;NUB1;TBK1;CASP8;KHSRP;CASP3;KYNU;CCR7;LGALS9;JAK2;IL6R;TRIM21;JAK3;IKBKE;IFNAR2;SLC11A1;ADAM10;PRKCA;DDOST;SIGIRR;PLSCR1;MAPKAPK3;TRAF6;HDAC4;CSF1R;SP100;SHMT2;YTHDC2;SRF;LEF1;TNFRSF11A;MEFV;MAPK8;IRAK2;MAP4K3;PTPN18;JUN;SMAD3;GCH1;STAT1;MX2;MX1;STAT3;ISG15;IFNLR1;PTPN11;PML;KLHL20;CDK9;BCL2;XAF1;PTPN4;IL18R1
protein modification by small protein removal (GO:0070646)	89/261	1.5878450062904e-07	6.74450580061076e-05	0	0	2.03728172225648	31.8951079183011	USP36;KDM1B;KEAP1;AKR1B1;ARRB2;TOMM20;MYSM1;ACTB;SENP6;SENP5;PSMD2;ZC3H12A;UIMC1;RUVBL1;UFD1;SKP2;USP8;USP47;USP7;USP48;USP5;RIPK2;USP4;ACTR5;USP45;JOSD2;ACTR8;UCHL3;SENP2;RAD23B;UCHL5;TGFBR1;SENP1;PSMA5;CCNA2;PSMA6;PSMA3;HGS;TRAF6;STAMBP;UBA52;STAM2;OTUB1;BECN1;USP14;USP15;USP16;PSMD13;TNKS;ABRAXAS1;USP10;USP12;WDR20;FOXK2;COPS7A;FOXK1;GATA3;HIF1A;PSMA7;PSMB7;PSMB5;ATXN7;UBC;NLRP3;PSMF1;SMAD2;USP25;TOR1A;SMAD3;SMURF2;USP20;SIAH2;INO80;PSMB9;TADA2B;RNF146;CYLD;MAVS;PSMC6;APC;PSMC4;COPS2;TNIP3;CDK1;MDM4;TAB1;EIF3F;COPS8;OTUD3
