Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
nuclear body (GO:0016604)	202/618	2.88106298368825e-13	1.18699794927956e-10	0	0	1.93693322443322	55.9298124541429	RB1;TESK2;EHMT1;SMC6;MKI67;ALKBH8;PNN;ALKBH5;NAMPT;HABP4;TRIM22;DAXX;SFMBT2;NSMCE2;ACTN4;KNL1;SRRM1;UHMK1;CDC34;DDX39B;YME1L1;HOXB2;FAM76B;TRIM16;KIF20B;TELO2;ZBTB1;HIF1A;OSGEP;LHPP;BANP;ATP6V0A1;NFATC1;INO80;PUM1;FLI1;SETX;SMU1;HNRNPM;SNW1;INTS7;CDK12;CDK13;SUGP2;ATR;DENND1B;DAZAP2;GTF2H2C;AKR1B1;TCF20;TRIM8;COIL;RSRC1;UIMC1;UBXN7;NELFA;ACADM;ARIH1;IKBKE;RAB8B;TCF12;IL16;KIF22;TERF1;SIRT1;NCOR2;LSG1;KIF2A;SGK1;SLU7;SF3B2;SP100;PCNA;SATB1;CENPB;CENPC;PPP1R8;SF3B1;SUZ12;MBD4;MBD1;WDR19;RPA1;RPA2;GTF2H2;HIPK3;TARBP2;LYRM4;APEX1;AGGF1;DCLRE1B;MRE11;TMEM179B;GEMIN2;RORC;ZBTB20;STK19;NR3C1;TATDN2;BASP1;CWC22;NUDT19;CIR1;PNISR;BNIP3L;TLE2;USP7;IK;MORC3;DYRK1A;PRPF4B;PPP4R3B;PIAS2;THOC6;MORF4L1;PRPF4;MAU2;FANCD2;KAT6A;SRSF2;GEMIN4;SRSF3;PPIE;AAGAB;PPIG;SRSF6;GLYR1;MINDY1;TNKS;TCF7;TAF5L;TIMM50;NPAT;HMBOX1;GRK5;DVL2;SAFB2;PACSIN2;ZC3H18;ZC3H13;KLHDC2;SMURF2;API5;KLHL20;CDK9;ISG20;CNOT7;SON;BHLHE40;RFXAP;TPP2;UBE2O;TCF3;TAB1;WRAP53;USP36;HP1BP3;ZC3H8;ARRB1;AFF3;SART3;VPS72;SNAPC3;SUMO2;PMEPA1;TRIM69;POLI;UNC45A;REXO1;RBM15;PLRG1;SENP2;REXO4;ELF2;CRY2;TERF2IP;LUC7L3;SNRPA1;NCBP3;NSRP1;NUFIP2;ABRAXAS1;POMP;U2AF1;NSL1;IFI16;U2AF2;POLR2D;MKNK2;SNRPB2;ZNF621;NOP58;WTAP;CDC5L;PML;CHFR;MYO1C;POLE2;DRG1;ACIN1;EIF3E;S100P
mitochondrion (GO:0005739)	301/1026	2.20211904268472e-12	3.68106186538038e-10	0	0	1.66551469114888	44.7050808293101	TDRKH;IFI27L2;PANK2;ECI2;NUDT1;DCAF8;ABAT;GHITM;ALKBH3;LACTB;ALKBH1;ZMIZ2;BSG;CDK5RAP1;LONP1;CPNE3;MLYCD;FBXO7;MCCC2;GSTK1;RSAD2;ACSL1;ECH1;SLC11A2;MRPS18B;ACSL5;PRKCA;GTPBP3;AFG3L2;COX7A2L;SCO1;ETHE1;ACOT2;GUF1;YME1L1;TARS2;VDAC1;UQCRC2;LIPT2;GCDH;AARS2;SHMT2;SP140;ABCB8;XPC;MRPL10;PGS1;DHX30;PRDX5;GRPEL1;NTHL1;BLOC1S2;TRMT1L;PRELID1;MTERF4;RMDN3;BRAF;MRPL23;BRI3BP;GPN1;PRDX6;ACADSB;MRPL30;GLUD1;NDUFAF8;NDUFAF6;NDUFAF7;NDUFAF5;NDUFAF2;ECHDC1;OGDH;ECHDC2;SFXN1;NDUFAF1;DHX29;MRS2;TRMU;SLC35F6;FASTKD1;SLC44A1;FASTKD3;MCUB;MRPS10;MRPL37;MRPL35;MYOM2;BBC3;FARS2;MRPL42;MAP1LC3B;AUH;C1QBP;FLVCR1;CCR7;ACADM;ACAD8;MRPS28;MRPS26;PARP1;MRPS25;ACAD9;MRPL47;NME4;TFB2M;SIRT1;SREBF2;UCHL5;SIRT3;MRPL44;RPUSD4;VWA8;HADHA;RAD51C;PLSCR3;SDHAF2;IVD;AGPS;PICK1;MICU2;DLD;FH;TOMM40;MRPS31;NOL7;DLST;MALSU1;TRAK1;TYMS;GRAMD4;NAPG;TMEM71;AKAP1;MTHFD1L;UCP2;NT5M;DISC1;YKT6;TEFM;ERCC6L2;GATB;TCAIM;LRPPRC;DHRS4;GATM;APEX1;MTCH2;OXNAD1;ACAA2;NDUFA11;NDUFA12;NDUFA10;COX6A1;TOMM20;TXN2;THG1L;TMEM143;TOMM22;ABHD10;CHCHD2;CHCHD3;FPGS;NARS2;SACS;PMPCB;PMPCA;HADH;RARS2;BNIP3L;MAP2K1;MAP2K2;PUS1;SDHC;LIG3;ATAD3B;SDHA;TUFM;SELENOO;OXA1L;ILF3;PPIF;ISCU;DAP3;RTL10;FECH;COX15;DIABLO;ABHD6;HIGD1A;ACAT1;TIMM50;BCL2L13;BCL2L11;PITRM1;THEM4;COX11;STAP1;PNPT1;SMURF1;UROS;GOT2;NRDC;IDH2;DNAJC11;TIMM44;CRLS1;ACSF3;NFKB1;FANCG;COQ6;MAVS;FMC1;PXMP2;BCL2;CDK1;XAF1;GRSF1;GALK2;COX20;ACADVL;COX4I1;RMND1;ETFB;MTO1;SYNE2;HK1;DHTKD1;TCHP;HEBP2;CASP8;OPA1;TOP1MT;KYNU;UQCRFS1;ME3;DNM1L;COA7;HIBCH;IDH3A;POLG;BCKDHA;TSFM;USP48;GPX4;ELAC2;BCKDHB;QRSL1;SLC25A16;SARS2;TST;NOA1;HKDC1;CAT;BCAT1;SLC25A12;DCTPP1;MTRF1L;FXN;PPP1R15A;AGPAT5;NDUFB9;BECN1;POLDIP2;RAP1GDS1;AFG1L;PDHB;SPG7;MTIF3;MFF;BPHL;MRM1;FOXRED1;MRM2;MRM3;GK5;SLC25A26;CLN3;RAB29;D2HGDH;VHL;BAK1;S1PR4;MAPK3;NDUFA9;GADD45GIP1;PTCD3;METAP1D;NDUFA7;FAHD1;PTCD2;TXNRD3;MYO19;WARS2;SOD1;BCKDK;SUCLA2;TRIM39;RPS6KB1;DNAJA3;SLC25A30;BAX;CCM2
lysosome (GO:0005764)	147/422	2.68038485343232e-12	3.68106186538038e-10	0	0	2.12162990309183	56.5309576138052	SCARB2;PI4K2B;GUSBP11;SPPL2B;SPPL2A;IFI30;TIAL1;CRHBP;ZFYVE26;LAPTM4A;HLA-DOA;HLA-DOB;VPS39;AP2M1;CHID1;STARD3;ARSA;SZT2;USP5;USP4;VPS33A;SLC11A1;STX7;SLC11A2;TSC2;ATP11A;AP5B1;UNC13D;HGS;KCNQ1;TMEM79;NAAA;PHIP;UBA52;ARL8B;SIDT2;RAB5C;VPS26A;BCL10;GNS;TRPM2;SNX1;AP5M1;SNX2;NEU1;ATP6V0A2;ATP6V1H;SLC38A9;ARSG;SLC15A4;ATP6V1D;HLA-DQA1;ARSB;VPS16;AP1M1;TXNDC5;ATP6V0A1;UVRAG;CD164;HSPA8;HLA-DRB5;WDR59;ANKRD27;HPS1;TMEM192;CYBRD1;GLMP;RAB27A;LNPEP;TCN2;MAN2B2;CHMP2B;HLA-DRA;TPP1;MAN2B1;PPT2;HLA-DRB1;TECPR1;ITM2C;SLC35F6;PLEKHF1;RNF13;CPQ;HEXB;WDR41;ECE1;ARRB1;CTSW;SPPL3;BBC3;SLC2A8;SGSH;RPTOR;MFSD8;FYCO1;FLCN;GM2A;GNLY;AP1G1;ANXA6;CTSH;ACP2;SPG11;CTSC;HLA-DPA1;CTSB;SLC36A1;SEC13;MANBA;ANXA2;STARD3NL;SPHK2;RNASET2;AP3B1;ITFG2;VCAN;NPC1;ATP6V1B2;TMEM106B;DEPDC5;HLA-DQB1;ASAH1;AHNAK;UNC93B1;HM13;GBA;GNAI3;NAPG;CLN3;HLA-DMA;DRAM1;SLC17A5;LDLR;CD74;LAPTM5;AP3D1;MCOLN1;CLCN7;GALC;CLCN6;OSTM1;RAB14;GLB1;SNX14;HLA-DPB1;ATP13A2;LAMTOR4
nucleolus (GO:0005730)	213/676	3.58622256568848e-12	3.69380924265913e-10	0	0	1.83471021853616	48.3518094002194	EIF4A2;JPT1;EIF4A3;THUMPD3;ADARB1;MKI67;PWP1;RRP8;RABGEF1;GOLGA3;ENDOV;HABP4;CPNE3;TRIM27;SKP2;ABT1;DDX18;MAP1S;DDX11;WDR74;CIRBP;ACSL5;IMP4;RUNX3;COX7A2L;DDX39B;EWSR1;SUB1;XRN2;KIF20B;SLBP;L3MBTL3;MEAF6;CDCA8;XPC;ABCB8;NMD3;FXR1;RNF213;ERI1;DHX37;SURF6;DPH6;LYAR;ZNF146;SPTBN1;ARL14EP;NSUN5P1;MAD2L1BP;PA2G4;RAD17;SPATS2L;NOL10;GRB2;NOL11;ANP32B;SETD3;SETD7;WDR43;COIL;XPO1;UBXN8;RRP12;CTSB;DFFB;PARP1;PARP2;NSUN2;SIRT7;TERF1;SIRT1;SIRT2;GCFC2;PLSCR1;NSA2;SDHAF2;KIF2A;AGPS;PAFAH1B2;SLC29A2;SF3B3;NIP7;MRPS31;GNAI3;NOL7;CAPG;NOL9;EXOSC10;TCOF1;EXOSC9;RPS3;RPL13;RRP36;ZNF346;EXOSC3;EXOSC2;EXOSC1;CCT5;SUZ12;MBD4;NPM1;CRBN;STAT1;RRP1B;WDR12;APTX;RSL1D1;CENPH;APEX1;KLHL7;GZF1;NEK11;MPHOSPH6;ZNF330;NCF2;TMEM179B;GEMIN2;WASHC2C;NUCKS1;WASHC2A;TXN2;CCND2;ZNF207;MAF1;NOM1;SLC30A5;VRK1;LARP4B;SDHA;EEF1A1;EBNA1BP2;ILF3;FANCD2;KAT6A;NCL;MRTO4;CMPK1;IPPK;ZCCHC7;DDX6;TSG101;RPF2;RPF1;ORC4;EMG1;ATXN1;MDN1;NOP16;CCDC137;NUP153;FANCG;ISG20;RCL1;MOB1A;CDK8;RGCC;UBLCP1;STK24;RIOX1;CDK4;USP36;RBM28;ACADVL;NVL;CDCA7L;CHD2;OASL;PTBP1;SNAPC3;TOP1MT;UBTF;BUD23;SPG11;PELP1;GET4;UTP15;BCAS3;RBM19;DDX54;DDX51;DDX50;REXO4;ETV6;RBL2;METTL22;DDX19A;PPM1B;DDX19B;C1D;DTL;GTF3C1;ATF6B;TULP3;DDX21;MALT1;TMA16;MRM2;IFI16;RBBP5;TAF1C;ZNF506;BMS1;MXI1;DNAJB9;ZNF622;NOP56;NOP58;PML;NIN;KATNBL1;NOP53;EIF3A;RAN
lysosomal membrane (GO:0005765)	107/291	6.97354960276141e-11	5.7462048726754e-09	0	0	2.29817975748307	53.7459480571488	SCARB2;PI4K2B;ATP8A1;TMEM179B;RAB3D;SPPL2B;SPPL2A;ZFYVE26;LAPTM4A;CPNE1;TOM1;CPNE3;HLA-DOA;HLA-DOB;VPS39;AP2M1;STARD3;SZT2;VPS33A;SLC11A2;STX7;ATP11B;ATP11A;AP5B1;EEF1A1;RAB37;TMEM79;PHIP;UBA52;SIDT2;ARL8B;RAB5C;BRI3;CLEC16A;TRPM2;ATP6V0A2;ATP6V1H;SLC38A9;ATP6V1D;SLC15A4;HLA-DQA1;VPS16;ATP6V0A1;AP1M1;HSPA8;HLA-DRB5;WDR59;TMEM192;CYBRD1;LNPEP;HLA-DRA;TECPR1;HLA-DRB1;SLC35F6;B4GALT1;PLEKHF1;RNF13;WDR41;LPCAT1;ECE1;ARRB1;SPPL3;SLC2A8;RPTOR;MFSD8;GLIPR1;AP1G1;ANXA6;SNAP29;SPG11;HLA-DPA1;SLC36A1;SEC13;MANBA;ANXA2;STARD3NL;SPHK2;AP3B1;ITFG2;DDOST;NPC1;ATP6V1B2;TMEM106B;DEPDC5;HLA-DQB1;AHNAK;HM13;GBA;GNAI3;NAPG;CLN3;HLA-DMA;SLC17A5;LDLR;CD74;AP3D1;AP2B1;MCOLN1;CLCN7;CLCN6;OSTM1;VAPA;RAB14;HLA-DPB1;ATP13A2;LAMTOR4;CD68
Golgi subcompartment (GO:0098791)	155/479	3.94467380137555e-10	2.70867601027788e-08	0	0	1.89666851914648	41.0694826951748	SCARB2;PI4K2B;GALNT14;SYS1;PGAP2;CHPF;ATP8A1;PITPNB;XYLT2;GOLIM4;GCC2;GALNT10;GOLGA2;GOLGA3;GOLGA4;CNST;CCDC91;BSG;DENND5A;B2M;GOLGA7;PLEKHJ1;CHID1;CSGALNACT1;GABARAPL2;RAB2B;COG8;ST6GAL1;ENTPD4;STX8;SACM1L;CSGALNACT2;SLC35C1;COG3;GOLPH3L;COG2;HLA-B;VRK1;HLA-A;SCAMP1;FAM91A1;HLA-F;HLA-G;HLA-E;TPST2;RNF125;SLC9A8;GSAP;KDELR2;OPTN;RNF121;NOTCH2;FUT10;UGCG;ATXN2;FUT7;MAN2A2;MAN2A1;VTI1A;ST8SIA4;ST3GAL6;RAB6A;HLA-DQA1;ST3GAL3;AP1M1;HLA-DRB5;EDEM1;TRAPPC4;TRAPPC9;AP4B1;KLHL20;EXT1;IFT20;EXT2;C6ORF89;HLA-DRA;CORO7;HLA-DRB1;B4GALT1;SLC2A1;CBY1;ARRB1;HS2ST1;C16ORF70;AP1G1;GLIPR2;MAN1A2;MYO18A;PMEPA1;RAC1;SNAP29;RAB8A;HLA-DPA1;WIPI1;ZDHHC17;BET1L;SREBF2;DNM2;TAPBP;TRAPPC6A;TMBIM4;GORASP2;TRAPPC6B;GORASP1;BIRC6;MAN1B1;SEC22B;ST6GALNAC4;B4GALT4;HLA-DQB1;ST6GALNAC6;UNC93B1;RAB1B;GOSR2;GOSR1;GNAI3;ZDHHC21;AGPAT3;GGA2;CDC42;LMAN1;CLN3;CYTH4;CUX1;CHSY1;LMAN2;STX6;RAB29;STX5;VPS54;YKT6;ATP9B;CD55;CYTH1;CLASP2;CD74;ARFGEF2;GALNT6;MBTPS1;SLC35A3;YIPF1;B3GAT3;NOS3;C1GALT1;SORL1;RAB11A;FIG4;RAB10;RGP1;RAB14;MGAT4A;LPCAT2;HLA-DPB1;CHPT1;VPS45
recycling endosome (GO:0055037)	54/119	7.40701465033832e-10	4.35955719419913e-08	0	0	3.26457494897862	68.6325415464556	MCTP1;TFRC;TNF;WASH2P;ZFYVE27;AP1G1;RAC1;LDLRAP1;B2M;RAB8A;PLEKHJ1;RAB8B;STX8;STX7;SLC11A2;HLA-B;ATP11B;ATP11A;HLA-A;COMMD1;SCAMP1;HLA-F;HLA-G;HLA-E;FCHSD1;RAP2A;SLC9A9;DENND6A;OPTN;VAMP3;ARF6;NDRG1;INPP5F;VPS53;VPS52;PACSIN2;MICALL2;RAB29;TBC1D17;RAB11FIP3;VPS16;ARFGEF2;NSG1;SNF8;WASH3P;SORL1;RAB11A;RAB11B;EHD1;RAB10;EHD3;RAB14;AVL9;RAN
lytic vacuole membrane (GO:0098852)	86/233	4.0375590076591e-09	2.07934288894444e-07	0	0	2.30533523081815	44.5566560706785	SCARB2;PI4K2B;SLC35F6;PLEKHF1;RNF13;SPPL2B;SPPL2A;WDR41;ECE1;ARRB1;SPPL3;SLC2A8;RPTOR;MFSD8;ZFYVE26;LAPTM4A;AP1G1;ANXA6;HLA-DOA;HLA-DOB;SPG11;VPS39;AP2M1;HLA-DPA1;SLC36A1;STARD3;SEC13;SZT2;ANXA2;STARD3NL;SPHK2;VPS33A;SLC11A2;STX7;AP3B1;ATP11A;AP5B1;ITFG2;NPC1;TMEM79;ATP6V1B2;TMEM106B;PHIP;DEPDC5;UBA52;HLA-DQB1;SIDT2;ARL8B;RAB5C;AHNAK;HM13;GBA;GNAI3;NAPG;TRPM2;CLN3;HLA-DMA;ATP6V0A2;SLC17A5;ATP6V1H;SLC38A9;ATP6V1D;SLC15A4;HLA-DQA1;VPS16;ATP6V0A1;AP1M1;CD74;HSPA8;HLA-DRB5;WDR59;AP3D1;TMEM192;CYBRD1;LNPEP;MCOLN1;CLCN7;CLCN6;OSTM1;RAB14;HLA-DPB1;HLA-DRA;ATP13A2;LAMTOR4;TECPR1;HLA-DRB1
nuclear speck (GO:0016607)	102/296	1.10243494507257e-08	5.04670219299888e-07	0	0	2.0739344707602	38.0010319428576	TMEM179B;STK19;NR3C1;PNN;ALKBH5;TATDN2;BASP1;NAMPT;CWC22;HABP4;CIR1;PNISR;BNIP3L;IK;SFMBT2;DYRK1A;PRPF4B;PPP4R3B;SRRM1;UHMK1;THOC6;MORF4L1;PRPF4;CDC34;DDX39B;KAT6A;SRSF2;SRSF3;PPIE;FAM76B;HOXB2;AAGAB;PPIG;KIF20B;SRSF6;GLYR1;HIF1A;OSGEP;TAF5L;TIMM50;GRK5;PACSIN2;ZC3H18;ZC3H13;ATP6V0A1;LHPP;SMURF2;API5;PUM1;SMU1;SNW1;CNOT7;SON;RFXAP;CDK12;TCF3;TAB1;CDK13;DAZAP2;DENND1B;USP36;GTF2H2C;HP1BP3;AKR1B1;RSRC1;VPS72;TRIM69;POLI;ACADM;UNC45A;RBM15;TCF12;IL16;KIF22;PLRG1;REXO4;CRY2;LUC7L3;NCBP3;SNRPA1;SGK1;NSRP1;SLU7;SF3B2;POMP;U2AF1;NSL1;IFI16;U2AF2;PPP1R8;POLR2D;SNRPB2;ZNF621;SF3B1;MBD4;WTAP;MBD1;CDC5L;GTF2H2;APEX1;AGGF1;ACIN1
lytic vacuole (GO:0000323)	69/183	5.08053798459261e-08	2.09318164965216e-06	0	0	2.37992847973593	39.9715261317803	PLEKHF1;GUSBP11;CPQ;CTSW;IFI30;BBC3;SGSH;TIAL1;RPTOR;FYCO1;FLCN;CTSH;ACP2;HLA-DOB;CTSC;CTSB;CHID1;ARSA;MANBA;USP5;USP4;SLC11A1;RNASET2;STX7;TSC2;UNC13D;NPC1;HGS;KCNQ1;TMEM106B;DEPDC5;SIDT2;UNC93B1;GBA;VPS26A;BCL10;TRPM2;CLN3;SNX1;AP5M1;SNX2;DRAM1;NEU1;SLC17A5;SLC38A9;ARSG;LDLR;ARSB;VPS16;UVRAG;CD164;HSPA8;ANKRD27;HPS1;LAPTM5;GLMP;RAB27A;TMEM192;MCOLN1;GALC;RAB14;SNX14;CHMP2B;HLA-DRA;TPP1;ATP13A2;PPT2;LAMTOR4;ITM2C
