Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
RNA binding (GO:0003723)	443/1387	9.09181477777574e-26	9.15545748122017e-23	0	0	1.92772976008856	111.152585450989	MAPKBP1;POP7;TES;TFRC;RPL31;GPATCH1;ADARB1;ENO1;RRP8;ALKBH8;ALKBH5;ENDOV;ALKBH1;ZC3H12A;LUC7L;DDX18;DDX11;RPL22;FNDC3B;GTPBP1;SND1;RC3H2;DDX39B;EWSR1;TEP1;SRFBP1;RPL28;DUS3L;SF1;SLBP;ZC3HAV1;SAMSN1;MRPL10;RRP7A;GAR1;LTA4H;PRPF38B;JUN;PRPF38A;MTERF4;PA2G4;LARP4;MRPL23;SNUPN;EIF1;PRRC2A;HNRNPL;HNRNPM;HNRNPK;AGO2;L1TD1;CDK13;CPEB3;FARSA;CPEB2;ADK;SRP54;TCF20;MRPL37;SMG7;MRPL32;WDR43;SMG5;FARS2;MRPL42;TUBA1B;RRP12;ANXA2;NSUN2;NSUN6;MRPL44;WDR33;PSMA6;NSA2;ZNF598;SF3B2;SF3B3;AHNAK;NIP7;RPS27L;EXOSC10;UNK;TCOF1;SRP72;PPP1R8;RPS3;RPL13;RRP36;FLNB;RPL15;ZNF346;RPL17;SF3B1;SF3A3;YTHDF3;CDKN2A;ADAT1;GATB;GTF2H2;RRP1B;TARBP2;LRPPRC;ZNFX1;CCDC9;APEX1;SERBP1;TRMT6;RPL22L1;C1ORF131;THG1L;ZFP36;ZNF207;HMGN2;RARS2;PNISR;RPS8;PRPF4B;LARP4B;GTF2F1;EBNA1BP2;ILF3;NCL;MRTO4;SRSF2;FSCN1;NHP2;SRSF3;SRSF6;FKBP4;SRSF7;SNRPB;LRRC59;KHDRBS1;IREB2;KRCC1;HSP90B1;RAD51AP1;STIP1;ATXN2;HNRNPDL;G3BP1;G3BP2;SAFB2;EIF2B3;NOP16;API5;GOT2;QKI;CNOT4;LSM8;SON;CNOT1;RCAN3;EIF4G2;WRAP53;DIDO1;CELF2;ZC3H8;MTO1;PTBP1;SART3;SNRNP70;SUMO2;UBTF;WDR6;METTL16;LBR;PELP1;EIF5A;EIF5B;ELAC2;REXO4;PTBP3;SARS2;NEMF;NOA1;ZNF638;C1D;NAF1;SNRPA1;EIF4E2;NSRP1;HDAC2;NUFIP2;ROCK2;SRF;GTPBP10;U2AF1;MRM1;MRM3;MTHFSD;REPIN1;IFI16;POLR2A;FIP1L1;U2AF2;POLR2D;ZNF622;EIF4E;EIF4B;NOP56;PTPN1;NOP58;CDC5L;HNRNPAB;TPD52L2;EIF3L;EIF3E;P4HB;NOP53;PPIL4;EIF3A;TNRC6B;EIF4A2;RTCB;EIF4A3;NUDT1;IFIT5;CISD2;NUDT5;IFIT1;C14ORF93;MKI67;CCAR2;UBE2L3;NUDT4;TIAL1;PNN;MAGOH;LONP1;CPNE3;UBAP2L;EIF2A;SEC63;ABT1;AQR;ACTN1;CIRBP;IMP4;ACTN4;HLA-A;CRNKL1;CDC40;SRRM1;UHMK1;LACTB2;SUB1;XRN2;EIF1B;MACF1;AARS2;TWF2;NMD3;RTF1;TXN;HNRNPLL;GSPT1;HELZ2;FXR1;DHX30;C7ORF50;FXR2;DHX34;ERI1;DHX35;DHX36;DHX37;DHX38;SURF6;RBM12;LYAR;TRMT1L;SPTBN1;APOBEC3F;ZRANB2;XRCC5;RCC2;KNOP1;PUM1;PUM2;AIMP1;CCT6A;SNW1;FUBP3;FUBP1;KYAT3;SPATS2L;NOL10;GRB2;RNPS1;NOL11;DHX29;SUGP2;DAZAP1;FASTKD1;MRPS14;FASTKD3;GDI2;TFB1M;SYNCRIP;C1QBP;XPO5;KIF1C;MRPS28;MRPS26;PARP1;PRMT1;STRBP;TFB2M;PPHLN1;UCHL5;NME1;RPUSD4;KIN;CSDE1;STRAP;PABPC1;HNRNPH3;ALDOA;MAPRE1;DCP2;MRPS35;IGHMBP2;MRPS31;NOL7;AKAP1;EXOSC9;CTNNA1;EXOSC3;HEATR6;EXOSC2;EXOSC1;TEFM;TSNAX;NQO1;NPM1;RFTN1;RSRC2;APTX;RSL1D1;SEC23IP;NUDT7;AGGF1;HDGF;TARDBP;ACAA2;KDM1A;RPP30;BCCIP;NUCKS1;SRP14;KHSRP;CWC22;CAST;NOM1;PUS1;ANXA11;TUFM;PDIA4;EEF1A1;SLFN11;PSPC1;RPL7L1;PPIE;PPIG;PPIA;DAP3;DDX6;ZCCHC7;YTHDC2;DDX60;RPF2;PRPF8;RTN4;ZFP36L2;RPF1;EMG1;RNASEH1;DNAJC21;UBC;ZC3H18;ZC3H13;GCN1;SMAD2;HSPA8;PNPT1;SMAD3;CCDC137;HELZ;EIF2S1;DIAPH1;MKRN1;MKRN2;UBE2O;GRSF1;LSM14A;RBM28;USP36;NVL;PRR3;HMGB1;CHD2;ELAVL1;OASL;MYO18A;LRRFIP1;BUD23;RBM33;UTP15;TSFM;RBM15;RBM19;DDX54;DDX51;SAFB;DDX50;YWHAZ;OAS1;OAS2;LUC7L3;NCBP3;LUC7L2;USP10;DDX21;SLC3A2;MTIF3;SAMHD1;BMS1;FAM120A;DROSHA;RBM38;PTCD3;SPEN;TAF15;PTCD2;SSRP1;NAP1L4;ACIN1;BUD13;NAA15;VIM;RAN;SNTB2
cadherin binding (GO:0045296)	106/313	1.6447569935634e-08	8.28135146259171e-06	0	0	2.02026776948962	36.2094372078999	TES;MRE11;CTNND1;ENO1;GOLGA2;GOLGA3;BAIAP2L1;SLK;MPRIP;BSG;RUVBL1;TBC1D10A;TMPO;EIF2A;CAST;USP8;TMOD3;SWAP70;SND1;FSCN1;PHLDB2;MACF1;LRRC59;DDX6;PDXDC1;TWF2;ZC3HAV1;NDRG1;RTN4;CNN2;SDCBP;LDHA;SNX1;SNX2;PACSIN2;SNX5;SPTBN1;GCN1;HSPA8;PRDX6;PAICS;EHD1;DLG1;HNRNPK;STK24;CHMP2B;DHX29;FXYD5;CC2D1A;EIF4G2;ITGB1;YWHAB;OLA1;PTPRM;LASP1;CAPZB;EFHD2;LRRFIP1;SPTAN1;SCYL1;NCK1;UNC45A;ANXA1;DBNL;ANXA2;AHSA1;EPS15L1;YWHAZ;TBC1D2;CTTN;NUMB;EXOC3;PLIN3;ITGA6;ALDOA;MAPRE1;AHNAK;CAPG;SLC3A2;PDLIM1;CTNNA1;STX5;FLNB;RPL15;PAK2;YKT6;ABCF3;WASF2;NOP56;PTPN1;STAT1;MPP7;RAB11B;RAB10;RSL1D1;VAPA;CAPZA1;GLOD4;SERBP1;ABI1;CTNNB1;ESYT2;S100P;EIF3E;RAN;PFKP
ubiquitin protein ligase binding (GO:0031625)	94/284	3.44077932420349e-07	0.000115495492649097	0	0	1.94809601012298	28.9923394976344	RB1;PTPN22;ARRB1;SMC6;ARRB2;TRIOBP;SMG5;UBE2L3;ACTG1;MAP1LC3B;TUBA1B;CASP8;CASP10;SLC22A18;SUMO2;UBXN7;ARIH1;DNM1L;PRKACB;FBXO7;IKBKE;JAK1;KCNH2;PIAS4;GABARAPL2;DAXX;USP7;TPI1;TUBB;TNFRSF1B;YWHAZ;SCAMP3;CDC34;UBE2R2;PRKAR1A;TRAF6;UBE2V2;TRIB3;TMBIM6;EIF4E2;UBA52;OTUB1;RNF31;BECN1;TSG101;CUL5;CUL3;HM13;DERL1;CUL1;BCL10;NLK;UBE2J2;HIF1A;RTN4;UBE2J1;BAG6;POLR2A;BTBD2;UBC;ZNF746;TNFRSF14;NAE1;RFFL;UBE2F;SMAD2;HSPA8;USP25;JUN;SLF1;SLF2;SMAD3;XRCC5;PYHIN1;RPA2;ISG15;PA2G4;UBE2G2;BTBD6;BTBD9;PRDX6;SMAD5;LRPPRC;PML;CUL4A;DNAJA1;NPLOC4;APC;UBE2S;BCL2;UBE2O;STUB1;LTBR;ASB3
ubiquitin-like protein ligase binding (GO:0044389)	96/297	8.71649338397709e-07	0.000219437720941623	0	0	1.88029035479082	26.2354631072626	RB1;PTPN22;ARRB1;SMC6;ARRB2;TRIOBP;SMG5;UBE2L3;ACTG1;MAP1LC3B;TUBA1B;CASP8;CASP10;SLC22A18;SUMO2;UBXN7;ARIH1;DNM1L;PRKACB;FBXO7;IKBKE;JAK1;KCNH2;PIAS4;GABARAPL2;DAXX;USP7;TPI1;TUBB;TNFRSF1B;YWHAZ;SCAMP3;CDC34;UBE2R2;PRKAR1A;HGS;TRAF6;UBE2V2;TRIB3;TMBIM6;EIF4E2;UBA52;OTUB1;RNF31;BECN1;TSG101;CUL5;CUL3;HM13;DERL1;CUL1;BCL10;NLK;UBE2J2;HIF1A;RTN4;UBE2J1;BAG6;POLR2A;BTBD2;UBC;ZNF746;TNFRSF14;NAE1;RFFL;UBE2F;SMAD2;HSPA8;USP25;JUN;SLF1;SLF2;SMAD3;XRCC5;STAT1;PYHIN1;RPA2;ISG15;PA2G4;UBE2G2;BTBD6;BTBD9;PRDX6;SMAD5;LRPPRC;PML;CUL4A;DNAJA1;NPLOC4;APC;UBE2S;BCL2;UBE2O;STUB1;LTBR;ASB3
Rab guanyl-nucleotide exchange factor activity (GO:0017112)	25/51	4.83184476919059e-06	0.000973133536514984	0	0	3.76069954171874	46.0320237481583	DENND1C;DENND1B;DENND1A;WDR41;DENND3;RABGEF1;TRAPPC12;DENND5A;TRAPPC13;SBF2;DENND2D;TRAPPC3;TRAPPC2L;ANKRD27;TRAPPC10;TRAPPC4;DENND4C;TRAPPC5;RAB3IP;TRAPPC9;RGP1;TRAPPC6A;TRAPPC6B;RIN3;DENND6A
kinase activity (GO:0016301)	86/280	2.8181940827568e-05	0.00472986906889349	0	0	1.74161871903158	18.2466418183302	PANK2;DGKD;PRAG1;ADPGK;ADK;TESK2;PIK3CD;PIK3C2A;IKBKB;TBK1;RPS6KA5;RPS6KA2;NMRK1;AKT3;RPS6KA1;AKT1;RIOK2;SEPHS1;JAK2;PRKACB;IKBKE;MAP3K5;MAP2K4;MAP2K1;CSNK2A1;SYK;SPHK2;PDPK1;DYRK1A;PRKCA;VRK1;PRPF4B;COASY;TGFBR1;BCR;PRKD3;SHPK;PRKCQ;PRKD2;DGKH;IPPK;PDXK;STK39;NLK;STK3;GK5;GRK3;MAPK8;CCL5;CCL3;CCL2;PAK2;BUB1;MAP4K3;MAP2K5;NADK;MAPK3;LYN;MAP3K2;CDK11A;MAP3K1;MOK;CDC7;BRAF;GTF2H1;GTF2H2;PTK2;HIPK3;CDK9;BCKDK;CDK8;STK24;RPS6KB1;ERCC3;WNK1;ETNK2;STK17B;ETNK1;CDK1;POMK;CDK12;PKN1;CDK13;MAP3K14;GALK2;ATR
phosphotransferase activity, alcohol group as acceptor (GO:0016773)	79/254	3.61967278546878e-05	0.00520715784995294	0	0	1.7726005132592	18.1275733037663	PANK2;DGKD;PRAG1;ADPGK;ADK;TESK2;PIK3CD;PIK3C2A;HK1;IKBKB;TBK1;RPS6KA5;NMRK1;AKT3;AKT1;RIOK2;JAK2;IKBKE;MAP3K5;MAP2K4;MAP2K1;SYK;SPHK2;DYRK1A;PRKCA;VRK1;PRPF4B;COASY;TGFBR1;NT5C3A;SHPK;FAM20B;PRKCQ;PRKD2;GNE;DGKH;IPPK;PDXK;NOL9;NLK;STK3;GK5;GRK3;FGGY;CCL5;CCL3;CCL2;PAK2;BUB1;MAP4K3;MAP2K5;NADK;MAP3K2;CDK11A;MAP3K1;MOK;CDC7;BRAF;GTF2H1;GTF2H2;PTK2;HIPK3;CDK9;CDK8;STK24;RPS6KB1;ERCC3;WNK1;ETNK2;STK17B;ETNK1;CDK1;POMK;CDK12;PKN1;CDK13;MAP3K14;GALK2;ATR
translation factor activity, RNA binding (GO:0008135)	28/67	5.63907425552523e-05	0.00709818471914239	0	0	2.80776495410642	27.4689416877918	MTIF3;EIF4E;EIF4B;GCN1;EIF2A;EIF5A;EEFSEC;EIF5B;TSFM;EIF2B3;EIF2B2;GATB;GTF2H2;GTPBP1;EIF2S1;TUFM;EIF1;EEF1A1;EIF3L;EIF3I;AGO2;EIF3E;EIF3F;EIF4E2;CPEB3;CPEB2;EIF3A;EIF4G2
protein serine/threonine kinase activity (GO:0004674)	106/368	7.16846359838759e-05	0.00802071427064034	0	0	1.59057622945633	15.1792413358926	CCNT2;TESK2;STK10;TBK1;RPS6KA5;SLK;RPS6KA2;AKT3;RPS6KA1;AKT1;CPNE3;MAP3K8;PRKACB;STK32C;MAP3K5;MAP2K4;PRKAB2;MAP2K1;PRKCH;MAP2K2;CSNK2A1;PRKCB;DAPK2;DYRK1A;PRKCA;VRK1;PRPF4B;PASK;UHMK1;MAPKAPK3;PRKD3;CSNK2B;SIK3;PRKCQ;PRKD2;ALPK1;CSNK1G2;CSNK1G1;STK39;NLK;STK3;GRK5;IRAK2;MARK3;MAP2K5;CDC7;BRAF;CLK4;CDK9;CDK8;STK24;WNK1;CDK4;CDK1;AAK1;CDK12;CDK13;MNAT1;MAP3K14;ATR;BMPR1A;MAST4;IKBKB;DSTYK;TLK1;RAC1;IKBKE;SYK;RIPK2;PDPK1;STRADB;TGFBR1;TGFBR2;LATS2;PELI1;SGK1;CAMK2D;CAB39;ATP23;ROCK2;CAMKK1;CAMKK2;CDC42;MAPK8;MKNK1;MKNK2;PTK2B;PAK2;CAMK2G;MAP4K3;MAPK3;MAP3K2;CDK11A;MAP3K1;LIMK2;MOK;GTF2H1;GTF2H2;HIPK3;MAPK13;BCKDK;RPS6KB1;ERCC3;STK17B;PKN1;NEK11
nuclear hormone receptor binding (GO:0035257)	24/56	0.000116846540201074	0.0117664465982481	0	0	2.93151612109279	26.5438498259829	BCAS3;MBD4;TCF7L2;PRMT2;STAT1;NCOA3;ACTN4;MED16;MED4;SIRT1;HIF1A;MED17;OASL;MED25;NCOR1;RXRA;SNW1;MED30;ZNHIT3;CNOT1;NSD1;CTNNB1;NCOA7;HMGN3
