Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Allergic disease (asthma, hay fever or eczema)	62/172	1.43400236477287e-06	0.00213092751405248	0	0	2.21295539243365	29.7754059052958	RERE;TNFAIP8;RORC;IKZF1;ETS1;SPPL3;BACH2;KYNU;CCR7;JAK2;IL6R;HLA-DPA1;MANBA;RNASET2;HLA-B;AP5B1;RUNX3;ARID1B;RUNX1;TLR1;ITPKB;PSMA6;RASA2;FAM76B;GSAP;ANAPC1;HLA-DQB1;DDX6;RTEL1;STX18;CLEC16A;GATA3;TNFRSF11A;RTF1;ARHGAP15;TOB2;LPP;AIF1;ATXN2;BCL2L11;INPP5D;LMAN2;TNFRSF14;STAT6;D2HGDH;HLA-DQA1;MICA;ATG5;SMARCE1;STAT5B;SMAD3;NDFIP1;NFATC2;ARHGAP27;DIAPH1;GLB1;IL2RA;CDK2AP1;IL7R;MAP3K14;ZNF652;IL18R1
Primary sclerosing cholangitis	20/36	3.6699841946204e-06	0.00272679825660296	0	0	4.88597246127367	61.1495245115987	MANBA;BCL2A1;CLEC16A;HLA-B;BACH2;NFKB1;ATXN2;INPP5A;BCL2L11;SLCO3A1;IL2RA;CD28;TNFRSF14;PRKD2;CD226;PSMG1;UBASH3A;SH2B3;HLA-DQA1;HLA-DRB1
Rheumatoid arthritis	62/182	1.1719501998488e-05	0.0058050599899177	0	0	2.02725879917184	23.0180159239387	CEP57;CD83;ICAM3;PTPN22;AFF3;ETS1;BACH2;UBE2L3;LBH;CASP8;C1QBP;TAGAP;CTLA4;UBASH3A;IL6R;FADS1;EOMES;MED1;PRKCH;GIN1;ARL15;IFNGR2;VPS37C;TYK2;RUNX1;ILF3;CD200R1;TRAF6;MTF1;SLC9A9;ELMO1;ARHGEF3;IRF8;PRKCQ;CD226;IRF5;DNASE1L3;HLA-DQB1;DDX6;PVT1;ABHD6;GATA3;RASGRP1;INPP5B;TNFRSF14;ICOS;SH2B3;HLA-DQA1;ATG5;GCH1;PLCL2;PTPN11;CFLAR;FLI1;FCGR2A;CDK4;CD5;IL2RA;IL2RB;CD28;PPIL4;HLA-DRB1
Ankylosing spondylitis	22/47	4.41664071360936e-05	0.0164078202510588	0	0	3.43946863468635	34.4894302160457	EOMES;ERAP2;GPR65;ERAP1;HLA-B;LNPEP;TYK2;ANTXR2;RUNX3;BACH2;UBE2L3;NPEPPS;HHAT;FCGR2A;ZMIZ1;TBX21;PSMG1;KIF21B;LTBR;IL7R;IL6R;SH2B3
Sum eosinophil basophil counts	56/173	0.00014671752584793	0.0332929030789428	0	0	1.87558388302621	16.5557815850814	RERE;HBS1L;IFITM2;IKZF1;BACH2;XPO1;AUH;ENSA;JAK2;FADS1;JAK1;BRD3;IL4R;GPX4;LARP4B;RUNX1;APBB1IP;CD200R1;ELMO1;SIK3;RIN3;GLCCI1;EXOC2;ZNF398;BCL2A1;SP140;PVT1;TCF7;CLEC16A;LPP;ABO;ATXN2;BCL2L11;UNK;IRAK2;INPP5D;STAT6;D2HGDH;BAK1;PAK2;S1PR4;BPTF;FARP2;CCL24;SMAD3;NDFIP1;LIMK2;PLCL2;NFATC2;NFKB1;KANSL1;GLB1;BCL2;BAX;BUD13;IL18R1
Rheumatoid arthritis (ACPA-positive)	29/74	0.000165628102612366	0.0332929030789428	0	0	2.51997152401292	21.9382814789167	DDX6;ICAM3;PTPN22;GATA3;AFF3;ETS1;RASGRP1;UBE2L3;LBH;TAGAP;CTLA4;UBASH3A;ICOS;IL6R;EOMES;GIN1;ACTN1;TYK2;FLI1;RUNX1;FCGR2A;CD5;IL2RA;IL2RB;CD28;IRF8;IRF5;PRKCQ;DNASE1L3
Eosinophil percentage of granulocytes	50/152	0.000209314230846124	0.0332929030789428	0	0	1.91986380878832	16.2644601938973	IFITM3;RERE;HBS1L;IKZF1;BACH2;AUH;ENSA;HLA-DPA1;JAK1;BRD3;GPX4;EPS15L1;RUNX1;APBB1IP;TMEM259;ELMO1;PPARG;EXOC2;FKBP5;ZNF398;HLA-DQB1;BCL2A1;SP140;PVT1;CLEC16A;TUBD1;RTF1;LPP;CNN2;ATXN2;BCL2L11;IRAK2;INPP5D;STAT6;D2HGDH;S1PR4;MICA;BPTF;FARP2;CCL24;SMAD3;NDFIP1;LIMK2;NFKB1;KANSL1;GLB1;BCL2;HLA-DPB1;ZNF652;IL18R1
Systemic lupus erythematosus	103/365	0.000210253899284392	0.0332929030789428	0	0	1.54439609583372	13.0767024579474	CD86;NCF2;IKZF1;PRDM1;NADSYN1;TSEN2;ETS1;BACH2;UBE2L3;RNF114;IL6R;SKP1;GTF2I;EOMES;MED1;PDHX;HLA-B;HLA-A;ILF3;CSNK2B;MSH5;VDAC1;SKAP2;NOTCH2;DDX6;LRRC56;TNKS;TCF7;CLEC16A;MTMR9;ABHD6;GATA3;UBE2J2;LPP;RASGRP1;RASGRP3;SBNO2;ATXN2;ATXN1;ST8SIA4;SMYD3;SLC15A4;HLA-DQA1;ATG5;LYN;RABGAP1L;ARHGAP27;PRDX6;FLI1;LRRC63;CD28;GRB2;COPS8;XKR6;HLA-DRB1;ITGAM;APIP;PTPN22;SMG7;SPPL3;LYST;DDA1;DSTYK;XPO1;LBH;FCGR3B;TAGAP;ITGAX;JAK2;PGPEP1;IKBKE;TNPO3;KLF12;TYK2;ELF1;TET3;IRF8;PPARG;IRF5;LCP1;CD44;HLA-DQB1;PRIM2;PVT1;LEF1;PDHB;DDO;DRAM1;PERP;RAB23;CEPT1;SH2B3;CAMK2G;LRRC25;KDM4B;KDM4C;STAT1;STAT3;DEF6;GALC;FCGR2A;IL2RA;SSBP4
Eosinophil percentage of white cells	52/160	0.000221935726615115	0.0332929030789428	0	0	1.88595162696774	15.8667425151627	IFITM3;RERE;HBS1L;BACH2;ENSA;HLA-DPA1;JAK1;BRD3;KLF12;IL4R;GPX4;HLA-B;RUNX1;APBB1IP;ELMO1;SIK3;PPARG;EXOC2;FKBP5;ZNF398;BCL2A1;SP140;PVT1;CLEC16A;LPP;ATXN2;BCL2L11;IRAK2;INPP5D;STAT6;D2HGDH;BAK1;S1PR4;MICA;BPTF;FARP2;CCL24;SMAD3;NDFIP1;LIMK2;NFATC2;CDC7;NFKB1;KANSL1;WNK1;GLB1;BCL3;BCL2;HLA-DPB1;NDUFAF1;ZNF652;IL18R1
Eosinophil counts	62/199	0.000224043762307825	0.0332929030789428	0	0	1.7737897266174	14.9063420179001	RERE;HBS1L;IFITM2;IKZF1;BACH2;XPO1;AUH;ENSA;JAK2;FADS1;JAK1;PELP1;BRD3;IL4R;GPX4;HLA-B;UNC13D;EMSY;RUNX1;APBB1IP;CD200R1;SIK3;ELMO1;RIN3;PPARG;EXOC2;ZNF398;BCL2A1;SP140;PVT1;CLEC16A;GATA3;LPP;ATXN2;UNK;BCL2L11;IRAK2;INPP5D;SYMPK;STAT6;D2HGDH;BAK1;PAK2;S1PR4;SH2B3;MICA;BPTF;FARP2;CCL24;NDFIP1;SMAD3;SEC16A;LIMK2;NFKB1;RCL1;KANSL1;WNK1;GLB1;BCL2;BAX;IL18R1;ZNF652
