Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Epstein-Barr virus infection	80/201	2.28804280418481e-10	3.81118274287524e-08	0	0	2.60568797991944	57.8414634410806	RB1;PIK3CD;CD3D;TNF;ICAM1;IKBKB;TBK1;CCND2;CASP8;SIN3A;PSMD2;CASP3;AKT3;AKT1;CIR1;RAC1;POLK;SKP2;HLA-DOA;B2M;JAK3;IKBKE;HLA-DOB;HLA-DPA1;JAK1;IFNAR2;MAP2K4;ENTPD1;USP7;SYK;HLA-B;TAP2;HLA-A;TYK2;HLA-F;RUNX3;HLA-G;HLA-E;TAPBP;NCOR2;CCNA2;FCER2;OAS1;IRF3;OAS2;TRAF6;CD44;HLA-DQB1;IFNAR1;HDAC2;PSMD13;PIK3R1;MAPK9;HLA-DMA;MAPK8;BCL2L11;PLCG2;BAK1;HLA-DQA1;LYN;HLA-DRB5;JUN;STAT1;STAT3;ISG15;NFKB1;MAPK13;MAVS;SNW1;PSMC6;PSMC4;CDK4;HLA-DPB1;BCL2;HLA-DRA;BAX;TAB1;VIM;MAP3K14;HLA-DRB1
Th17 cell differentiation	51/107	2.49913622483623e-10	3.81118274287524e-08	0	0	3.57809624097409	79.1113707161788	RORC;CD3D;IL27RA;IKBKB;PPP3CA;PPP3CC;HLA-DOA;JAK2;HLA-DOB;IL6R;JAK3;HLA-DPA1;JAK1;IL4R;IFNGR2;TYK2;TGFBR1;RUNX1;TGFBR2;ZAP70;PRKCQ;HLA-DQB1;GATA3;HIF1A;MAPK9;PPP3R1;MAPK8;HLA-DMA;RXRA;TBX21;IL21R;STAT6;HLA-DQA1;MAPK3;SMAD2;STAT5B;HLA-DRB5;JUN;SMAD3;STAT1;STAT3;NFATC2;NFATC1;NFKB1;MAPK13;IL2RA;IL2RB;HLA-DPB1;HLA-DRA;HLA-DRB1;LAT
Osteoclast differentiation	55/127	4.22290124220057e-09	3.25572006725735e-07	0	0	3.00118152006173	57.8710132891236	NCF1;CSF1;NCF2;SIRPG;FHL2;PIK3CD;TNF;SIRPB1;IKBKB;PPP3CA;PPP3CC;FCGR3B;AKT3;AKT1;RAC1;JAK1;IFNAR2;MAP2K1;SYK;IFNGR2;CYBA;GAB2;TYK2;TGFBR1;TGFBR2;TYROBP;CREB1;TRAF6;LCP2;PPARG;IFNAR1;CSF1R;PIK3R1;TNFRSF11A;LILRA2;LILRA4;LILRA5;MAPK9;PPP3R1;MAPK8;PLCG2;MAPK3;JUN;STAT1;NFATC2;NFATC1;LILRB2;LILRB4;NFKB1;MAPK13;CYLD;FCGR2A;GRB2;TAB1;MAP3K14
Human T-cell leukemia virus 1 infection	82/219	4.26979680951783e-09	3.25572006725735e-07	0	0	2.35769521674549	45.4367939570617	RB1;CRTC2;CRTC3;ITGB2;SLC2A1;PIK3CD;CD3D;TNF;ETS1;ICAM1;IKBKB;PPP3CA;ZFP36;CDC23;PPP3CC;XPO1;CCND2;AKT3;AKT1;TSPO;HLA-DOA;B2M;PRKACB;JAK3;HLA-DOB;HLA-DPA1;JAK1;IL15RA;MAP2K4;MAP2K1;MAP2K2;HLA-B;HLA-A;HLA-F;HLA-G;TGFBR1;HLA-E;TGFBR2;CCNA2;CREB1;ANAPC4;VDAC1;ANAPC5;ANAPC1;HLA-DQB1;ATF6B;SRF;PIK3R1;ADCY7;MAPK9;PPP3R1;HLA-DMA;MAPK8;BUB3;HLA-DQA1;MAPK3;SMAD2;STAT5B;EGR1;HLA-DRB5;JUN;RANBP3;MAP3K1;SMAD3;CDKN2A;NFATC2;NFATC1;NFKB1;DLG1;CDK4;IL2RA;IL2RB;HLA-DPB1;HLA-DRA;BAX;KRAS;TCF3;LTBR;MAP3K14;HLA-DRB1;RAN;ATR
Th1 and Th2 cell differentiation	42/92	4.47928279773567e-08	2.73236250661876e-06	0	0	3.29417058096415	55.741377871283	NOTCH2;MAML2;GATA3;CD3D;IKBKB;PPP3CA;MAPK9;PPP3R1;MAPK8;HLA-DMA;PPP3CC;TBX21;STAT6;HLA-DOA;JAK2;HLA-DOB;JAK3;HLA-DQA1;HLA-DPA1;JAK1;MAPK3;STAT5B;JUN;HLA-DRB5;IL4R;STAT1;IFNGR2;NFATC2;NFATC1;TYK2;RUNX3;NFKB1;MAPK13;ZAP70;IL2RA;IL2RB;HLA-DPB1;HLA-DRA;PRKCQ;LAT;HLA-DRB1;HLA-DQB1
RNA transport	63/165	1.11595095919165e-07	5.6727507092242e-06	0	0	2.42684335165478	38.8498517633611	CYFIP2;EIF4A2;POP7;NUP107;GEMIN2;RPP30;EIF4A3;PHAX;PNN;XPO1;SUMO3;MAGOH;SUMO2;XPO5;NUP214;UPF2;EIF5B;PRMT5;SEC13;NUP210;NUP133;ELAC2;THOC3;SENP2;SRRM1;THOC6;EEF1A1;DDX39B;NUP50;GEMIN4;STRAP;NUP54;PABPC1;EIF4E2;EIF1B;NMD3;AAAS;FXR1;FXR2;TGS1;NUP88;NUP43;EIF4E;EIF4B;PAIP1;RANBP2;EIF2B3;EIF2B2;NUP155;NUP153;EIF2S1;SNUPN;EIF1;EIF3I;ACIN1;RNPS1;EIF3E;PABPC1L;EIF3F;EIF4G2;RAN;EIF3A;NUP37
T cell receptor signaling pathway	43/101	3.56643581929088e-07	1.55394703554817e-05	0	0	2.90666888365906	43.1539436532018	ITK;PIK3CD;PIK3R1;BCL10;TNF;RASGRP1;CD3D;MALT1;IKBKB;CDC42;PPP3CA;MAPK9;PPP3R1;PPP3CC;AKT3;AKT1;CTLA4;MAP3K8;ICOS;PAK2;NCK1;MAPK3;MAP2K1;JUN;MAP2K2;PDPK1;NFATC2;NFATC1;NFKB1;VAV1;MAPK13;ZAP70;DLG1;CDK4;CD28;PRKCQ;GRB2;LCP2;KRAS;MAP3K14;SOS2;CARD11;LAT
Endocytosis	83/244	4.5940577580266e-07	1.75148452024764e-05	0	0	2.02812094737561	29.5970422690411	WASHC4;VPS29;TFRC;WIPF2;ARPC1B;ARPC5L;WASHC2C;ARRB1;ARRB2;WASHC2A;ZFYVE27;CAPZB;PSD4;LDLRAP1;VPS36;RAB8A;AP2M1;USP8;PDCD6IP;HLA-B;VPS37C;VPS37A;HLA-A;EPS15L1;HLA-F;ARFGAP3;HLA-G;TGFBR1;HLA-E;DNM2;TGFBR2;ACAP2;RAB31;RABEP1;HGS;TRAF6;STAMBP;STAM2;VPS28;ARF5;ARF6;RAB5C;TSG101;VPS26A;VPS26B;CDC42;SNX1;GRK3;SNX2;CYTH4;GRK5;GRK6;MVB12A;PIP5K1C;RAB11FIP3;LDLR;SNX5;CYTH1;SMAD2;HSPA8;ARFGEF2;SMAD3;SMURF2;SMURF1;WWP1;SNF8;AP2B1;ARPC5;RAB11A;PML;RAB11B;EHD1;RAB10;EHD3;ARPC2;CAPZA1;IL2RA;CAPZA2;CHMP2B;IL2RB;VPS45;RAB5A;SMAP1
Apoptosis	55/143	5.28241010294657e-07	1.790150090443e-05	0	0	2.45303199404762	35.4554209086952	PIK3CD;CTSW;TNF;ACTB;ACTG1;BBC3;IKBKB;TUBA1C;CASP7;TUBA1B;CASP8;CASP6;CASP10;CASP3;AKT3;TNFSF10;AKT1;CASP2;CTSH;SPTAN1;CTSC;MAP3K5;CTSB;DFFB;DAXX;MAP2K1;DFFA;MAP2K2;PARP4;PARP1;PARP2;PDPK1;BIRC5;BIRC6;BECN1;BCL2A1;DIABLO;ITPR1;ITPR2;PIK3R1;MAPK9;MAPK8;BCL2L11;LMNA;BAK1;MAPK3;JUN;TNFRSF10A;CFLAR;EIF2S1;NFKB1;BCL2;BAX;KRAS;MAP3K14
Lysosome	49/123	6.41727510120667e-07	1.95726890586804e-05	0	0	2.59732206203231	37.0354803714955	SCARB2;HEXB;CTSW;NAGPA;SGSH;MFSD8;LAPTM4A;GM2A;AP1G1;CTSH;ACP2;AP3S1;CTSC;CTSB;ARSA;MANBA;ENTPD4;SLC11A1;SLC11A2;AP3B1;SUMF1;NPC1;ASAH1;GBA;GNS;GGA2;GGA1;CLN3;NEU1;ATP6V0A2;SLC17A5;ATP6V1H;AP4S1;ARSG;ARSB;ATP6V0A1;AP1M1;CD164;LAPTM5;AP3D1;NAGA;MCOLN1;AP4B1;GALC;GLB1;TPP1;MAN2B1;PPT2;CD68
