Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Interferon Gamma Response	91/200	1.03793653513389e-15	5.18968267566945e-14	0	0	3.3018431275312	113.91867852811	IFITM3;OGFR;CD86;LGALS3BP;RTP4;IFITM2;EIF4E3;SPPL2A;UBE2L6;IFIT1;IFI30;ICAM1;OASL;CASP7;PNP;CASP8;CASP3;NAMPT;TNFSF10;EPSTI1;PDE4B;JAK2;TRIM21;B2M;CMTR1;HERC6;ZBP1;IFNAR2;IL15RA;IL4R;RSAD2;SP110;RIPK2;NCOA3;HLA-B;HLA-A;HLA-G;TAPBP;PLSCR1;PSMA3;LATS2;OAS2;IRF1;IRF2;PELI1;TRIM14;IRF8;XCL1;LCP2;IRF5;RBCK1;RNF31;MVP;SRI;DDX60;SAMHD1;HIF1A;HELZ2;HLA-DMA;RNF213;CCL5;ST8SIA4;CCL2;HLA-DQA1;GBP4;CD74;PTPN1;PNPT1;GCH1;STAT1;IL10RA;MX2;STAT3;MX1;LYSMD2;ISG15;NMI;PARP14;TOR1B;NFKB1;PML;WARS1;PSMB9;ISG20;ZNFX1;IL7;IL2RB;CD69;XAF1;HLA-DRB1;PFKP
Interferon Alpha Response	46/97	2.29107005980949e-09	5.72767514952373e-08	0	0	3.54043602098102	70.4343081703959	IFITM3;LGALS3BP;RTP4;OGFR;RNF31;IFITM2;CSF1;GMPR;UBE2L6;IFI30;DDX60;OASL;HELZ2;NUB1;CASP8;TRIM5;EPSTI1;MVB12A;GBP2;TRIM21;B2M;CMTR1;GBP4;HERC6;CD74;IL4R;PNPT1;RSAD2;SP110;RIPK2;MX1;ISG15;NMI;PARP14;WARS1;PSMB9;ISG20;PLSCR1;PSMA3;ELF1;OAS1;IL7;IRF1;IRF2;TRIM14;NCOA7
Myc Targets V1	73/200	9.8662692555053e-08	1.64437820925088e-06	0	0	2.26054870943823	36.4661747662367	HDDC2;PWP1;UBE2L3;SYNCRIP;XPO1;YWHAQ;C1QBP;RUVBL2;AP3S1;DDX18;RFC4;RPL22;IFRD1;MRPS18B;RAD23B;NME1;TUFM;CCNA2;PSMA6;TFDP1;SRSF2;NHP2;SRSF3;VDAC1;SNRPA1;MCM5;PABPC1;PPIA;SRSF7;HDAC2;PCNA;SF3B3;KARS1;CUL1;DDX21;U2AF1;TYMS;COX5A;GSPT1;PSMA7;SRM;LDHA;G3BP1;FAM120A;RPS3;SNRPB2;BUB3;IARS1;CCT7;EIF4E;CCT5;NOP56;NPM1;RRM1;NOP16;GOT2;PA2G4;MRPL23;EIF2S1;AIMP2;RSL1D1;PSMC6;EPRS1;PSMC4;CDK4;APEX1;SERBP1;UBA2;RNPS1;HDGF;TARDBP;EIF4G2;RAN
Allograft Rejection	71/200	5.01683897767312e-07	6.2710487220914e-06	0	0	2.16317675036289	31.3775182019003	CD86;ITK;CSF1;GPR65;ITGB2;LY75;CD3D;TNF;ETS1;ICAM1;IL27RA;IKBKB;CCND2;AKT1;JAK2;HLA-DOA;B2M;HLA-DOB;NCK1;IFNAR2;EIF5A;CD96;RARS1;IL4R;PRKCB;RIPK2;IFNGR2;TAP2;IL16;HLA-A;HLA-G;DARS1;HLA-E;NME1;TAPBP;TLR1;NCR1;ZAP70;IRF8;LCP2;TLR6;LTB;BCAT1;IGSF6;CAPG;BCL10;HIF1A;HDAC9;HLA-DMA;CCL5;ST8SIA4;NLRP3;CCL2;APBB1;GBP2;HLA-DQA1;LYN;CD74;NPM1;FYB1;STAT1;CDKN2A;WARS1;IL7;IL2RA;ABI1;BCL3;IL2RB;CD28;HLA-DRA;EIF3A
IL-2/STAT5 Signaling	68/199	4.03215479859068e-06	4.03215479859068e-05	0	0	2.03836357454762	25.3189412726693	IFITM3;CD86;PHTF2;RNH1;CD83;BMPR2;CSF1;GPR65;SLC2A3;ITGAE;LCLAT1;PNP;CCND2;GLIPR2;CASP3;TNFSF10;CTLA4;DENND5A;MAP3K8;EOMES;PRKCH;IL4R;GPX4;NCOA3;PUS1;SWAP70;TNFRSF18;FLT3LG;RHOH;TNFRSF1B;SERPINB6;ADAM19;TIAM1;TWSG1;PLSCR1;IRF8;CD48;PLIN2;ITGA6;LTB;SMPDL3A;CD44;SLC29A2;ABCB1;AHCY;AHNAK;PTGER2;CAPG;NDRG1;AGER;SYNGR2;LRRC8C;LRIG1;ICOS;GBP4;RABGAP1L;POU2F1;IL10RA;HOPX;TTC39B;MYO1C;SNX14;IL2RA;BHLHE40;IL2RB;BCL2;GALM;IL18R1
mTORC1 Signaling	68/200	4.90244973674231e-06	4.08537478061859e-05	0	0	2.02279324722719	24.7302161872442	ERO1A;BTG2;TES;TFRC;PITPNB;ITGB2;ARPC5L;SLC2A1;SLC2A3;ENO1;IFI30;PNP;TBK1;NAMPT;CTSC;FADS1;PSPH;ACTR3;ACTR2;TPI1;IFRD1;SORD;ACSL3;UCHL5;SLC7A5;PSMA3;HMBS;TRIB3;ALDOA;BCAT1;PPIA;GAPDH;SKAP2;PPP1R15A;TOMM40;SHMT2;PSMD13;INSIG1;HSP90B1;GGA2;STIP1;LDHA;PSMB5;SSR1;LTA4H;ABCF2;YKT6;LDLR;ATP6V1D;SEC11A;BUB1;NIBAN1;CYB5B;HSPA4;EDEM1;NFYC;RPA1;GTF2H1;WARS1;CCT6A;SLC6A6;RIT1;PSMC6;EPRS1;PSMC4;BHLHE40;NMT1;PSMG1
G2-M Checkpoint	67/200	1.00399963449248e-05	7.17142596066056e-05	0	0	1.97744360902256	22.758267604803	JPT1;AMD1;MKI67;SYNCRIP;RPS6KA5;CHAF1A;XPO1;HMGN2;LBR;TMPO;PRMT5;LIG3;PRPF4B;KNL1;KIF22;RAD23B;CDC25B;CCNA2;SLC7A5;ILF3;TFDP1;RBL1;EWSR1;NCL;NUP50;MTF2;SRSF2;MCM3;BIRC5;MCM5;KIF20B;PAFAH1B1;NOTCH2;PRIM2;CUL5;CUL3;CUL1;PDS5B;HIF1A;GSPT1;ORC5;HIRA;RAD21;KATNA1;G3BP1;BUB3;E2F4;BUB1;SLC12A2;HSPA8;H2AZ2;DR1;SMAD3;ODF2;RPA2;CDC7;FANCC;FOXN3;PML;CUL4A;TPX2;STAG1;UBE2S;CDK4;BCL3;CDK1;MNAT1
Mitotic Spindle	66/199	1.67942341721226e-05	0.000104963963575767	0	0	1.94744508622963	21.4111361868734	CEP57;TRIO;PREX1;AKAP13;PCM1;CAPZB;CNTRL;TLK1;KNTC1;KIFAP3;SPTAN1;NCK1;MAP1S;ACTN4;KIF22;BCR;TIAM1;CLIP1;CTTN;RASA2;ARHGEF3;GEMIN4;FSCN1;BIRC5;ATG4B;KIF20B;MAPRE1;KPTN;DOCK2;ARF6;PAFAH1B1;NOTCH2;TUBGCP2;PXN;TUBD1;NEDD9;KLC1;CDC42;BCL2L11;EPB41L2;KATNA1;FLNB;RICTOR;PCNT;WASF1;WASF2;BUB1;SPTBN1;CLASP1;TBCD;MYO9B;ARHGAP27;SEPTIN9;LRPPRC;NET1;CCDC88A;TPX2;DLG1;NIN;APC;ALMS1;ABI1;NF1;TUBGCP5;CDK1;TUBGCP3
E2F Targets	66/200	2.0120959119537e-05	0.00011178310621965	0	0	1.93278942269503	20.9006988053565	DCLRE1B;JPT1;NUP107;POP7;MRE11;TFRC;DSCC1;CSE1L;SMC6;MKI67;IPO7;PNN;SYNCRIP;XPO1;LBR;TMPO;TCF19;EED;TUBB;KIF22;NME1;CDC25B;ILF3;RAD51C;MSH2;SRSF2;MCM3;BIRC5;LUC7L3;MCM5;DCTPP1;SNRPB;SLBP;PRIM2;DNMT1;PCNA;SHMT1;AK2;CDCA8;PDS5B;GSPT1;RAD51AP1;UBR7;RAD21;PPP1R8;PMS2;LYAR;NOP56;CDKN2A;GINS3;RPA1;DONSON;RPA2;NUP153;PA2G4;SSRP1;MLH1;PAICS;EIF2S1;STAG1;UBE2S;CDK4;CDK1;RAD1;RAN;SPC25
Myc Targets V2	25/58	7.57011286737921e-05	0.000378505643368961	0	0	2.96166987452069	28.1024487314741	NIP7;RABEPK;WDR43;SRM;TCOF1;RRP12;NOP56;DDX18;NPM1;NOP16;PUS1;PRMT3;WDR74;SORD;IMP4;TFB2M;PA2G4;RCL1;AIMP2;CDK4;MRTO4;MCM5;FARSA;DCTPP1;SLC29A2
