Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
T-Cell antigen Receptor (TCR)  Signaling Pathway WP69	46/90	9.61651934203199e-11	4.27935110720423e-08	0	0	4.10549818901712	94.6931253925649	ITK;CD83;ITPR1;PIK3R1;BCL10;GATA3;CD3D;MALT1;IKBKB;CDC42;MAPK9;PSTPIP1;MAPK8;AKT1;PTK2B;MAP3K8;ICOS;SH2B3;NCK1;MAPK3;IL15RA;MAP2K1;JUN;MAP2K2;DBNL;FYB1;RIPK2;PDPK1;NFATC2;PTPN11;NFATC1;GAB2;VAV1;NFKB1;ZAP70;CREB1;TRAF6;CD28;LCP2;PRKCQ;GRB2;VIM;CRK;MAP3K14;CARD11;LAT
Fas Ligand (FasL) pathway and Stress induction of Heat Shock Proteins (HSP) regulation WP314	25/42	3.45488483824361e-08	7.68711876509203e-06	0	0	5.75491644220465	98.8745956710723	RB1;TNF;ACTB;ACTG1;MAPK8;CASP7;CASP8;CASP6;CASP10;CASP3;LMNA;ARHGDIB;PAK2;SPTAN1;MAP2K4;DFFB;JUN;DFFA;DAXX;MAP3K1;PARP1;RIPK2;CFLAR;MAPKAPK3;BCL2
Ebola Virus Pathway on Host WP4217	51/129	5.05072080345158e-07	7.49190252511984e-05	0	0	2.56532553175269	37.193538158915	ITGB1;CLEC10A;ICAM3;PIK3CD;ACTB;ACTG1;TBK1;C1QBP;AKT1;RAC1;HLA-DOA;HLA-DOB;IKBKE;VPS39;KPNA1;CTSB;HLA-DPA1;ITGA4;ACTN1;VPS33A;ITGA1;HLA-B;ACTN4;HLA-A;HLA-F;HLA-G;HLA-E;TIAM1;NPC1;IRF3;RASA2;ITGA6;MFGE8;GAS6;HLA-DQB1;TSG101;PIK3R1;CDC42;HLA-DMA;FLNB;HLA-DQA1;VPS16;MAPK3;HLA-DRB5;STAT1;EIF2S1;NFKB1;HLA-DPB1;HLA-DRA;RAB5A;HLA-DRB1
Oncostatin M Signaling Pathway WP2374	31/65	7.7951164707482e-07	8.67206707370737e-05	0	0	3.5695048729551	50.203651835453	PXN;PIK3R1;HIF1A;MAPK9;CASP7;MAPK8;CASP3;AKT1;PTK2B;CCL2;RICTOR;JAK2;JAK3;LDLR;JAK1;MAPK3;STAT5B;EGR1;MAP2K1;PRKCH;MAP2K2;PRKCB;STAT1;STAT3;PRKCA;PTPN11;TYK2;NFKB1;CREB1;KRAS;GRB2
Ciliary landscape WP4352	74/216	1.38886362287896e-06	0.000123608862436227	0	0	2.04801648164592	27.6216488385039	RB1;BBS9;CEP170;RAC1;IFT57;SNAP29;BBS4;RAB8A;ZYG11B;EIF5B;NUP133;DYNLT1;EIPR1;ACSL3;ARMC8;ARFGAP3;LZTFL1;AFG3L2;IFT88;IFT43;MSH2;TBC1D4;TIPRL;EXOC4;MCM3;EXOC3;ANKS6;EXOC6;MCM5;EXOC2;PAFAH1B1;EXOC1;ARL8B;HDAC2;WDR26;PSMD13;SSNA1;COPS7A;IQGAP2;RMND5B;IFT74;DNPEP;RMND5A;EXOSC9;NUP88;SNRPB2;EXOSC2;BBS2;NEK8;NDUFA9;BBS1;RNGTT;CNOT10;FUZ;LRPPRC;NFKB1;AIMP1;IFT20;MKLN1;EHD3;PSMC6;APC;RAB14;WNK1;PSMC4;CNOT1;GLB1;COPS2;MKS1;CTNNB1;VIM;YPEL5;COPS8;CLUAP1
Interleukin-11 Signaling Pathway WP2332	23/44	2.8348081534841e-06	0.00016054063223794	0	0	4.28285526809149	54.7072072080722	MAP2K1;YES1;MAP2K2;STAT1;PDPK1;STAT3;PTPN11;PIK3R1;TYK2;RUNX2;ICAM1;IKBKB;PTPA;CREB1;RPS6KB1;RPS6KA1;BCL2;AKT1;BIRC5;GRB2;JAK2;MAPK3;JAK1
TGF-beta Signaling Pathway WP366	50/132	2.85848817324751e-06	0.00016054063223794	0	0	2.39114411208516	30.5234751037428	ITGB1;APP;ETS1;SIN3A;AKT1;RAC1;RNF111;SKP1;NUP214;MEF2A;KLF10;MAP2K4;MAP2K1;MAP2K2;RUNX2;PIAS2;UCHL5;TGFBR1;TGFBR2;RBL2;TFDP1;RBL1;HGS;TRAF6;STRAP;CUL1;NEDD9;PIK3R1;CDC42;MAPK9;MAPK8;E2F4;PAK2;SPTBN1;SMAD2;TRAP1;JUN;SMAD3;SMURF2;SMURF1;LIMK2;WWP1;NUP153;PTK2;PML;SNW1;SP1;CDK1;GRB2;TAB1
T-Cell antigen Receptor (TCR) pathway during Staphylococcus aureus infection WP3863	29/62	2.8861237256259e-06	0.00016054063223794	0	0	3.43892348820885	43.8655194730618	ITK;BCL10;TNF;CD3D;MALT1;IKBKB;MAPK9;AKT1;CTLA4;MAP3K8;ICOS;NCK1;MAPK3;MAP2K1;JUN;MAP2K2;AHSA1;NFATC2;NFKB1;ZAP70;DLG1;CDK4;CD28;LCP2;PRKCQ;GRB2;MAP3K14;CARD11;LAT
EGF/EGFR Signaling Pathway WP437	58/162	3.94176341848186e-06	0.00019489830235827	0	0	2.18827443343452	27.2306296355863	ERRFI1;RPS6KA5;RPS6KA2;RPS6KA1;AKT1;RAC1;JAK2;AP2M1;NCK1;JAK1;MEF2A;USP8;MAP2K1;MAP2K2;PRKCB;PDPK1;NCOA3;PRKCA;GAB2;EPS15L1;VAV1;PLSCR1;CREB1;HGS;STAMBP;STAM2;SOS2;CRK;ARF6;PCNA;PIK3R1;CDC42;MAPK9;ATXN2;MAPK8;INPP5D;PTK2B;RICTOR;RALGDS;MAP2K5;MAP3K2;STAT5B;JUN;MAP3K1;NOS3;STAT1;LIMK2;STAT3;BRAF;PTPN11;AP2B1;PTK2;RPS6KB1;SP1;ABI1;GRB2;KRAS;RAB5A
IL-2 Signaling Pathway WP49	22/42	4.45316065934887e-06	0.000198165649341025	0	0	4.30068880688807	52.9926421566591	STAT5B;JUN;MAP2K1;MAP2K2;SYK;STAT1;STAT3;PTPN11;PIK3R1;NMI;GAB2;CCND2;RPS6KB1;IL2RA;IL2RB;BCL2;AKT1;PTK2B;GRB2;JAK3;MAPK3;JAK1
