isoform	associated_gene	chrom	start	end
<<<<<<< HEAD
1ff91a05-9855-440c-8154-7e441b58b1d8	WASH7P	chr1	14403	29359
514d71b7-a378-4d1f-a959-2cf212f26f25	WASH7P	chr1	14403	29359
685f2c26-b4e3-4639-bc6a-138e2d8c864e	WASH7P	chr1	14403	29359
6f1e7183-993b-44ae-aaa6-68f9b9a31a05	WASH7P	chr1	14403	29359
d6fee0d0-22a3-41c4-b57c-ea5333ac8483	WASH7P	chr1	14403	29359
d925e77e-b16d-4a6e-bd57-45998cc71e27	WASH7P	chr1	14403	29359
f626459f-1f6e-48e9-a255-47b8a711ab16	WASH7P	chr1	14403	29359
639d3995-e369-42a5-8282-d05af55a1cd2	WASH7P	chr1	16441	29359
70248723-2374-410b-82af-bf80485f9ee8	WASH7P	chr1	16915	29359
84c6aacf-c5e2-4f8b-b41e-a18dc40f00e1	WASH9P	chr1	184919	199875
b8c1ad4e-e62a-4710-b42f-7c0dfabb9338	WASH9P	chr1	184919	199875
d61193ed-5e8d-40c3-900e-a3497f524418	LINC00115_RP11-206L10.8_RP11-206L10.2	chr1	743509	827522
b729ca61-a12d-4dad-808f-0bbe5f874fba	RP11-206L10.2	chr1	744774	778626
82bf7870-e8c4-4aca-b6d7-b054f602afb6	LINC00115_RP11-206L10.8_RP11-206L10.2	chr1	751789	827522
d2d401d1-af5c-4846-aa09-d944a12b98ce	LINC00115_RP11-206L10.8_RP11-206L10.2	chr1	751789	827522
ab0c1ae2-ec9a-4c54-84e8-ec667ac01e4c	LINC00115_RP11-206L10.8_RP11-206L10.2	chr1	759028	827522
faa09c78-b03a-43a2-ada5-ff8d0e59a16b	RP11-206L10.2	chr1	759028	778626
19b2f42f-4bae-4d03-b990-d0c6d381a8ea	RP11-206L10.2	chr1	768551	778626
5d21f8a3-728c-40f8-b22b-022f3ad07d45	RP11-206L10.2	chr1	768551	778626
05f35733-69f2-4b56-8de4-6f476dadfe6e	LINC00115_RP11-206L10.8	chr1	791647	827522
